nenadležnim	nenadležan	Agpfpiy
i	i	Cc
nakon	nakon	Sg
pravomoćnosti	pravomoćnost	Ncfsg
rješenja	rješenje	Ncnsg
ustupiti	ustupiti	Vmn
predmet	predmet	Ncmsan
nadležnom	nadležan	Agpmsdy
sudu	sud	Ncmsd
.	.	Z

Prigovor	prigovor	Ncmsn

Članak	članak	Ncmsn
476.	476.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
prijedlogu	prijedlog	Ncmsl
u	u	Sl
stvarima	stvar	Ncfpl
uzdržavanja	uzdržavanje	Ncnsg
djeteta	dijete	Ncnsg
mora	morati	Vmr3s
se	sebe	Px--sa
naznačiti	naznačiti	Vmn
iznos	iznos	Ncmsn
uzdržavanja	uzdržavanje	Ncnsg
čije	čiji	Pi-nsn
određivanje	određivanje	Ncnsn
se	sebe	Px--sa
predlaže	predlagati	Vmr3s
.	.	Z

Iznos	iznos	Ncmsn
uzdržavanja	uzdržavanje	Ncnsg
mora	morati	Vmr3s
biti	biti	Van
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tablicom	tablica	Ncfsi
o	o	Sl
prosječnim	prosječan	Agpfply
potrebama	potreba	Ncfpl
maloljetnog	maloljetan	Agpnsgy
djeteta	dijete	Ncnsg
sukladno	sukladno	Rgp
odluci	odluka	Ncfsl
koju	koji	Pi-fsa
donosi	donositi	Vmr3s
ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsann
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
temeljem	temelj	Sg
članka	članak	Ncmsg
314.	314.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Predlagatelj	predlagatelj	Ncmsn
može	moći	Vmr3s
povući	povući	Vmn
prijedlog	prijedlog	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
bez	bez	Sg
pristanka	pristanak	Ncmsg
protivne	protivan	Agpfsgy
stranke	stranka	Ncfsg
samo	samo	Rgp
do	do	Sg
podnošenja	podnošenje	Ncnsg
prigovora	prigovor	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
nisu	biti	Var3p
ispunjenje	ispunjenje	Ncnsn
pretpostavke	pretpostavka	Ncfsg
za	za	Sa
određivanje	određivanje	Ncnsa
uzdržavanja	uzdržavanje	Ncnsg
u	u	Sl
pojednostavnjenom	pojednostavniti	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
nastaviti	nastaviti	Vmn
postupak	postupak	Ncmsan
prema	prema	Sl
pravilima	pravilo	Ncnpl
postupka	postupak	Ncmsg
u	u	Sl
sporovima	spor	Ncmpl
o	o	Sl
uzdržavanju	uzdržavanje	Ncnsl
iz	iz	Sg
članaka	članak	Ncmpg
423.	423.	Mdo
do	do	Sg
432.	432.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

U	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
sud	sud	Ncmsn
će	htjeti	Var3s
odrediti	odrediti	Vmn
predlagatelju	predlagatelj	Ncmsd
rok	rok	Ncmsan
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
za	za	Sa
usklađivanje	usklađivanje	Ncnsa
njegova	njegov	Ps3msg
prijedloga	prijedlog	Ncmsg
s	sa	Si
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
o	o	Sl
sadržaju	sadržaj	Ncmsl
tužbe	tužba	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
suda	sud	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
ne	ne	Qz
prihvaća	prihvaćati	Vmr3s
prijedlog	prijedlog	Ncmsn
za	za	Sa
određivanje	određivanje	Ncnsa
uzdržavanja	uzdržavanje	Ncnsg
u	u	Sl
pojednostavnjenom	pojednostavniti	Agpmsly
postupku	postupak	Ncmsl
i	i	Cc
kojim	koji	Pi-msi
se	sebe	Px--sa
postupak	postupak	Ncmsn
nastavlja	nastavljati	Vmr3s
prema	prema	Sl
pravilima	pravilo	Ncnpl
postupka	postupak	Ncmsg
u	u	Sl
sporovima	spor	Ncmpl
o	o	Sl
uzdržavanju	uzdržavanje	Ncnsl
iz	iz	Sg
članaka	članak	Ncmpg
423.	423.	Mdo
do	do	Sg
432.	432.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
žalba	žalba	Ncfsn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
dostaviti	dostaviti	Vmn
prijedlog	prijedlog	Ncmsan
radi	radi	Sg
uzdržavanja	uzdržavanje	Ncnsg
protivnoj	protivan	Agpfsly
stranci	stranka	Ncfsl
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
zaprimanja	zaprimanje	Ncnsg
prijedloga	prijedlog	Ncmsg
.	.	Z

U	u	Sl
pozivu	poziv	Ncmsl
sud	sud	Ncmsn
će	htjeti	Var3s
protivnu	protivan	Agpfsay
stranku	stranka	Ncfsa
upozoriti	upozoriti	Vmn
na	na	Sa
pravne	pravni	Agpfpay
posljedice	posljedica	Ncfpa
iz	iz	Sg
stavaka	stavak	Ncmpg
7.	7.	Mdo
i	i	Cc
8.	8.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Protivna	protivan	Agpfsny
stranka	stranka	Ncfsn
može	moći	Vmr3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
prijedloga	prijedlog	Ncmsg
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ako	ako	Cs
protivna	protivan	Agpfsny
stranka	stranka	Ncfsn
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
podnese	podnijeti	Vmr3s
prigovor	prigovor	Ncmsan
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
bez	bez	Sg
održavanja	održavanje	Ncnsg
ročišta	ročište	Ncnsg
rješenjem	rješenje	Ncnsi
koje	koji	Pi-nsn
ne	ne	Qz
mora	morati	Vmr3s
imati	imati	Vmn
obrazloženje	obrazloženje	Ncnsa
prihvatiti	prihvatiti	Vmn
prijedlog	prijedlog	Ncmsan
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
protivna	protivan	Agpfsny
stranka	stranka	Ncfsn
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnese	podnijeti	Vmr3s
prigovor	prigovor	Ncmsan
,	,	Z
postupak	postupak	Ncmsan
će	htjeti	Var3s
se	sebe	Px--sa
nastaviti	nastaviti	Vmn
prema	prema	Sl
pravilima	pravilo	Ncnpl
postupka	postupak	Ncmsg
u	u	Sl
sporovima	spor	Ncmpl
o	o	Sl
uzdržavanju	uzdržavanje	Ncnsl
iz	iz	Sg
članaka	članak	Ncmpg
423.	423.	Mdo
do	do	Sg
432.	432.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

U	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
sud	sud	Ncmsn
će	htjeti	Var3s
odrediti	odrediti	Vmn
predlagatelju	predlagatelj	Ncmsd
rok	rok	Ncmsan
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
za	za	Sa
usklađivanje	usklađivanje	Ncnsa
njegova	njegov	Ps3msg
prijedloga	prijedlog	Ncmsg
s	sa	Si
odredbama	odredba	Ncfpi
Zakona	zakon	Ncmsg
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
o	o	Sl
sadržaju	sadržaj	Ncmsl
tužbe	tužba	Ncfsg
.	.	Z

Pravodobno	pravodobno	Rgp
podneseni	podnesen	Agpmsny
prigovor	prigovor	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
vrijedi	vrijediti	Vmr3s
kao	kao	Cs
odgovor	odgovor	Ncmsan
na	na	Sa
tužbu	tužba	Ncfsa
u	u	Sl
postupku	postupak	Ncmsl
nastavljenom	nastaviti	Appmsly
prema	prema	Sl
odredbama	odredba	Ncfpl
članaka	članak	Ncmpg
423.	423.	Mdo
do	do	Sg
432.	432.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
suda	sud	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
postupak	postupak	Ncmsn
nastavlja	nastavljati	Vmr3s
prema	prema	Sl
pravilima	pravilo	Ncnpl
postupka	postupak	Ncmsg
u	u	Sl
sporovima	spor	Ncmpl
o	o	Sl
uzdržavanju	uzdržavanje	Ncnsl
iz	iz	Sg
članaka	članak	Ncmpg
423.	423.	Mdo
do	do	Sg
432.	432.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
žalba	žalba	Ncfsn
.	.	Z

Pravni	pravni	Agpmpny
lijekovi	lijek	Ncmpn

Članak	članak	Ncmsn
477.	477.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
kojim	koji	Pi-msi
se	sebe	Px--sa
prihvaća	prihvaćati	Vmr3s
prijedlog	prijedlog	Ncmsn
u	u	Sl
pojednostavnjenom	pojednostavniti	Agpmsly
postupku	postupak	Ncmsl
u	u	Sl
stvarima	stvar	Ncfpl
uzdržavanja	uzdržavanje	Ncnsg
djeteta	dijete	Ncnsg
žalba	žalba	Ncfsn
se	sebe	Px--sa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
samo	samo	Rgp
zbog	zbog	Sg
bitnih	bitan	Agpfpgy
povreda	povreda	Ncfpg
odredbi	odredba	Ncfpg
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
354.	354.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
26/91.	26/91.	Mds
,	,	Z
53/91.	53/91.	Mds
,	,	Z
91/92.	91/92.	Mds
,	,	Z
112/99.	112/99.	Mds
,	,	Z
88/01.	88/01.	Mds
,	,	Z
117/03.	117/03.	Mds
,	,	Z
88/05.	88/05.	Mds
,	,	Z
2/07.	2/07.	Mdo
,	,	Z
84/08.	84/08.	Mds
,	,	Z
96/08.	96/08.	Mds
,	,	Z
123/08.	123/08.	Mds
,	,	Z
57/11.	57/11.	Mds
,	,	Z
148/11.	148/11.	Mds
,	,	Z
25/13.	25/13.	Mdo
,	,	Z
43/13.	43/13.	Mds
i	i	Cc
89/14.	89/14.	Mds
)	)	Z
ili	ili	Cc
pogrešne	pogrešan	Agpfsgy
primjene	primjena	Ncfsg
materijalnog	materijalan	Agpnsgy
prava	pravo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
kojim	koji	Pi-msi
se	sebe	Px--sa
prihvaća	prihvaćati	Vmr3s
prijedlog	prijedlog	Ncmsn
u	u	Sl
pojednostavnjenom	pojednostavniti	Agpmsly
postupku	postupak	Ncmsl
u	u	Sl
stvarima	stvar	Ncfpl
uzdržavanja	uzdržavanje	Ncnsg
djeteta	dijete	Ncnsg
prijedlog	prijedlog	Ncmsan
za	za	Sa
preinaku	preinaka	Ncfsa
ili	ili	Cc
ukidanje	ukidanje	Ncnsa
pravomoćnog	pravomoćan	Agpnsgy
rješenja	rješenje	Ncnsg
može	moći	Vmr3s
se	sebe	Px--sa
podnijeti	podnijeti	Vmn
samo	samo	Rgp
zbog	zbog	Sg
razloga	razlog	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
421.	421.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
do	do	Sg
7.	7.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
26/91.	26/91.	Mds
,	,	Z
53/91.	53/91.	Mds
,	,	Z
91/92.	91/92.	Mds
,	,	Z
112/99.	112/99.	Mds
,	,	Z
88/01.	88/01.	Mds
,	,	Z
117/03.	117/03.	Mds
,	,	Z
88/05.	88/05.	Mds
,	,	Z
2/07.	2/07.	Mdo
,	,	Z
84/08.	84/08.	Mds
,	,	Z
96/08.	96/08.	Mds
,	,	Z
123/08.	123/08.	Mds
,	,	Z
57/11.	57/11.	Mds
,	,	Z
148/11.	148/11.	Mds
,	,	Z
25/13.	25/13.	Mdo
,	,	Z
43/13.	43/13.	Mds
i	i	Cc
89/14.	89/14.	Mds
)	)	Z
.	.	Z

7.	7.	Mdo
POSEBNI	poseban	Agpmpny
POSTUPCI	postupak	Ncmpn
RADI	radi	Sg
OSTVARIVANJA	ostvarivanje	Ncnsg
RODITELJSKE	roditeljski	Agpfsgy
SKRBI	skrb	Ncfsg
I	i	Cc
OSOBNIH	osoban	Agpmpgy
ODNOSA	odnos	Ncmpg
S	sa	Si
DJETETOM	dijete	Ncnsi

Postupci	postupak	Ncmpn
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
pojedinih	pojedini	Agpmpgy
sadržaja	sadržaj	Ncmpg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
,	,	Z
povjeravanja	povjeravanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
zbog	zbog	Sg
smrti	smrt	Ncfsg
roditelja	roditelj	Ncmpg
,	,	Z
mirovanja	mirovanje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
i	i	Cc
ostvarivanju	ostvarivanje	Ncnsl
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi

Članak	članak	Ncmsn
478.	478.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
pojedinih	pojedini	Agpmpgy
sadržaja	sadržaj	Ncmpg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
odlučuje	odlučivati	Vmr3s
se	sebe	Px--sa
o	o	Sl
:	:	Z

1.	1.	Mdo
medicinskim	medicinski	Agpmpiy
postupcima	postupak	Ncmpi
povezanim	povezan	Agpmpiy
s	sa	Si
rizicima	rizik	Ncmpi
teških	težak	Agpfpgy
posljedica	posljedica	Ncfpg
za	za	Sa
zdravlje	zdravlje	Ncnsa
djeteta	dijete	Ncnsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
88.	88.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

2.	2.	Mdo
obrazovanju	obrazovanje	Ncnsl
djeteta	dijete	Ncnsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
94.	94.	Mdo
stavku	stavak	Ncmsl
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

3.	3.	Mdo
raspolaganju	raspolaganje	Ncnsd
prihodima	prihod	Ncmpi
od	od	Sg
imovine	imovina	Ncfsg
djeteta	dijete	Ncnsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
97.	97.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
upravljanju	upravljanje	Ncnsl
i	i	Cc
zastupanju	zastupanje	Ncnsl
djeteta	dijete	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
vrjednijom	vrijedan	Agcfsiy

