radom	rad	Ncmsi
za	za	Sa
opće	opći	Agpnsay
dobro	dobro	Ncnsa
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
40	40	Mdc
radnih	radni	Agpmpgy
dana	dan	Ncmpg
,	,	Z
zbog	zbog	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
zlouporabe	zlouporaba	Ncfsg
opojnih	opojan	Agpfpgy
droga	droga	Ncfpg
iz	iz	Sg
čl.	čl.	Y
173.	173.	Mdo
st.	st.	Y
5.	5.	Mdo
KZ	KZ	Y
–	–	Z
daje	davati	Vmr3s
se	sebe	Px--sa
prijevremena	prijevremen	Agpfsny
rehabilitacija	rehabilitacija	Ncfsn

MILE	MILE	Npmsn
JANKOVIĆ	Janković	Npmsn
,	,	Z
sin	sin	Ncmsn
Dragoljuba	dragoljub	Ncmsg
,	,	Z
rođen	roditi	Appmsnn
1959.	1959.	Mdo
u	u	Sl
Osijeku	Osijek	Npmsl

–	i	Agpnsny
za	za	Sa
izrečenu	izreći	Agpfsay
novčanu	novčan	Agpfsay
kaznu	kazna	Ncfsa
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
20	20	Mdc
dnevnih	dnevni	Agpmpgy
dohodaka	dohodak	Ncmpg
što	što	Pi3n-n
iznosi	iznositi	Vmr3s
3.933,00	3.933,00	Mdc
kn	KN	Ncmpg
,	,	Z
zbog	zbog	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
klevete	kleveta	Ncfsg
iz	iz	Sg
čl	ča	Ncfsg
200.	200.	Mdo
st.	st.	Y
1.	1.	Mdo
KZ	KZ	Y
–	–	Z
daje	davati	Vmr3s
se	sebe	Px--sa
prijevremena	prijevremen	Agpfsny
rehabilitacija	rehabilitacija	Ncfsn

JOŠKO	JOŠKO	Npmsn
KRIVIĆ	KRIVIĆ	Npmsn
,	,	Z
sin	sin	Ncmsn
Joška	Jošk	Npmsg
,	,	Z
rođen	roditi	Appmsnn
1966.	1966.	Mdo
u	u	Sl
Trogiru	Trogir	Npmsl

–	i	Agpnsny
za	za	Sa
izrečenu	izreći	Agpfsay
kaznu	kazna	Ncfsa
zatvora	zatvor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
2	2	Mdc
godine	godina	Ncfsg
i	i	Cc
1	1	Mdc
mjesec	mjesec	Ncmsan
,	,	Z
zbog	zbog	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
ubojstva	ubojstvo	Ncnsg
u	u	Sl
pokušaju	pokušaj	Ncmsl
iz	iz	Sg
čl.	čl.	Y
90.	90.	Mdo
u	u	Sl
vezi	veza	Ncfsl
čl.	čl.	Y
33.	33.	Mdo

KZ	KZ	Npmsn
i	i	Cc
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
nedozvoljenog	nedozvoljen	Agpnsgy
posjedovanja	posjedovanje	Ncnsg
oružja	oružje	Ncnsg
i	i	Cc
eksplozivnih	eksplozivan	Agpfpgy
tvari	tvar	Ncfpg
iz	iz	Sg
čl.	čl.	Y
335.	335.	Mdo
st.	st.	Y
1.	1.	Mdo
KZ	KZ	Y
–	–	Z
daje	davati	Vmr3s
se	sebe	Px--sa
prijevremena	prijevremen	Agpfsny
rehabilitacija	rehabilitacija	Ncfsn

TIHOMIR	TIHOMIR	Npmsn
POTOČIĆ	POTOČIĆ	Npmsn
,	,	Z
sin	sin	Ncmsn
Nikole	Nikola	Npmsg
,	,	Z
rođen	roditi	Appmsnn
1988.	1988.	Mdo
u	u	Sl
Zagrebu	Zagreb	Npmsl

–	i	Agpnsny
za	za	Sa
izrečenu	izreći	Agpfsay
kaznu	kazna	Ncfsa
zatvora	zatvor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
8	8	Mdc
mjeseci	mjesec	Ncmpg
,	,	Z
uvjetno	uvjetno	Rgp
na	na	Sa
2	2	Mdc
godine	godina	Ncfsg
,	,	Z
zbog	zbog	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
teške	težak	Agpfsgy
krađe	krađa	Ncfsg
iz	iz	Sg
čl.	čl.	Y
217.	217.	Mdo
st.	st.	Y
1.	1.	Mdo
toč	toč	Ncmsan
.	.	Z
1.	1.	Mdo
u	u	Sl
vezi	veza	Ncfsl
čl.	čl.	Y
216.	216.	Mdo
st.	st.	Y
1.	1.	Mdo
KZ	KZ	Y
–	–	Z
daje	davati	Vmr3s
