toka	toka	Ncfsn
statičkih	statički	Agpnpgy
magnetskih	magnetski	Agpnpgy
polja	polje	Ncnpg
kako	kako	Cs
su	biti	Var3p
utvrđene	utvrditi	Appfpny
u	u	Sl
tablici	tablica	Ncfsl
B4		Agpmply
.	.	Z

Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
odgovaraju	odgovarati	Vmr3p
proračunatim	proračunati	Rgp
ili	ili	Cc
izmjerenim	izmjeriti	Appfply
vrijednostima	vrijednost	Ncfpi
električnih	električan	Agpmpgy
i	i	Cc
magnetskih	magnetski	Agpnpgy
polja	polje	Ncnpg
na	na	Sl
mjestu	mjesto	Ncnsl
rada	rad	Ncmsg
u	u	Sl
odsutnosti	odsutnost	Ncfsl
radnika	radnik	Ncmpg
.	.	Z

Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
)	)	Z
za	za	Sa
izloženost	izloženost	Ncfsa
električnim	električan	Agpnply
poljima	polje	Ncnpl

Niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
tablica	tablica	Ncfsn
B1	ba	Ncfsg
.	.	Z
)	)	Z
za	za	Sa
vanjska	vanjski	Agpnpay
električna	električan	Agpnpay
polja	polje	Ncnpa
temelje	temeljiti	Vmr3p
se	sebe	Px--sa
na	na	Sl
ograničavanju	ograničavanje	Ncnsl
unutarnjih	unutarnji	Agpnpgy
električnih	električan	Agpnpgy
polja	polje	Ncnpg
ispod	ispod	Sg
graničnih	graničan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
izloženosti	izloženost	Ncfsg
(	(	Z
tablice	tablica	Ncfsg
A2	A2	Qr
.	.	Z
i	i	Cc
A3	A3	X
.	.	Z
)	)	Z
i	i	Cc
ograničavanju	ograničavanje	Ncnsl
pražnjenja	pražnjenje	Ncnsg
iskrom	iskra	Ncfsi
u	u	Sl
radnom	radni	Agpnsly
okruženju	okruženje	Ncnsl
.	.	Z

Ispod	ispod	Sg
visokih	visok	Agpfpgy
vrijednosti	vrijednost	Ncfpg
upozorenja	upozorenje	Ncnsg
,	,	Z
unutarnje	unutarnji	Agpnsny
električno	električan	Agpnsny
polje	polje	Ncnsn
ne	ne	Qz
prekoračuje	prekoračivati	Vmr3s
granične	graničan	Agpfpay
vrijednosti	vrijednost	Ncfpa
izloženosti	izloženost	Ncfsg
(	(	Z
tablice	tablica	Ncfsg
A2	A2	Qr
.	.	Z
i	i	Cc
A3	A3	X
.	.	Z
)	)	Z
te	te	Cc
se	sebe	Px--sa
sprečavaju	sprečavati	Vmr3p
neželjena	neželjen	Agpnpny
pražnjenja	pražnjenje	Ncnpn
iskrom	iskra	Ncfsi
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
su	biti	Var3p
poduzete	poduzet	Agpfpny
zaštitne	zaštitni	Agpfpny
mjere	mjera	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
Ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Tablica	tablica	Ncfsn
B1	B1	Qr
.	.	Z

Vrijednosti	vrijednost	Ncfpn
upozorenja	upozorenje	Ncnsg
za	za	Sa
izloženost	izloženost	Ncfsa
električnim	električan	Agpnply
poljima	polje	Ncnpl
od	od	Sg
1	1	Mdc
Hz	Hz	Y
do	do	Sg
10	10	Mdc
MHz	MHz	Y

Raspon	raspon	Ncmsn
frekvencije	frekvencija	Ncfsg
Niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
(	(	Z
E	e	I
))	))	Z
za	za	Sa
jakost	jakost	Ncfsa
električnog	električan	Agpnsgy
polja	polje	Ncnsg
(	(	Z
E	E	Npmsn
)	)	Z
[	[	Z
Vm-1	Vm-1	Mdc
]	]	Z
(	(	Z
RMS	RMS	Npmsn
)	)	Z
Visoke	visok	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
(	(	Z
ALs	ALs	Npmsn
(	(	Z
E	e	I
))	))	Z
za	za	Sa
jakost	jakost	Ncfsa
električnog	električan	Agpnsgy
polja	polje	Ncnsg
(	(	Z
E	E	Npmsn
)	)	Z
[	[	Z
Vm-1	Vm-1	Mdc
]	]	Z
(	(	Z
RMS	RMS	Npmsn
)	)	Z
1	1	Mdc
≤	≤	Z
f	f	X
<	<	Z
25	25	Mdc
Hz	Hz	Y
2,0	2,0	Mdc
×	×	Z
104	104	Mdc
2,0	2,0	Mdc
×	×	Z
104	104	Mdc
25	25	Mdc
≤	≤	Z
f	f	X
<	<	Z
50	50	Mdc
Hz	Hz	Y
5,0	5,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
2,0	2,0	Mdc
×	×	Z
104	104	Mdc
50	50	Mdc
Hz	Hz	Y
≤	≤	Z
f	f	X
<	<	Z
1,64	1,64	Mdc
kHz	kHz	Y
5,0	5,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
1,0	1,0	Mdc
×	×	Z
106	106	Mdc
/	/	Z
f	f	X
1,64	1,64	Mdc
≤	≤	Z
f	f	Cc
<3	<3	Mdc
kHz	kHz	Y
5,0	5,0	Mdc
×	×	Z
105	105	Mdc
/	/	Z
f	f	Rgp
6,1	6,1	Mdc
×	×	Z
102	102	Mdc
3	3	Mdc
kHz	kHz	Y
≤	≤	Z
f	f	Cc
≤	≤	Z
10	10	Mdc
MHz	MHz	Y
1,7	1,7	Mdc
×	×	Z
102	102	Mdc
6,1	6,1	Mdc
×	×	Z
102	102	Mdc

Napomena	napomena	Ncfsn
B1	B1	X
–	–	Z
1	1	Mdc
:	:	Z
f	f	Ncmsn
je	biti	Var3s
frekvencija	frekvencija	Ncfsn
izražena	izraziti	Appfsny
u	u	Sl
hercima	herk	Ncmpl
(	(	Z
Hz	Hz	Npmsn
)	)	Z
.	.	Z

Napomena	napomena	Ncfsn
B1	B	Npmsg
–	–	Z
2	2	Mdc
Niske	nizak	Agpfsgy
i	i	Cc
visoke	visok	Agpfpay
vrijednosti	vrijednost	Ncfpa
upozorenja	upozorenje	Ncnsg
su	biti	Var3p
efektivne	efektivan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
(	(	Z
RMS	RMS	Npmsn
)	)	Z
jakosti	jakost	Ncfpn
električnog	električan	Agpnsgy
polja	polje	Ncnsg
koje	koji	Pi-fpn
su	biti	Var3p
jednake	jednak	Agpfpny
vršnim	vršni	Agpfpdy
vrijednostima	vrijednost	Ncfpd
podijeljenim	podijeljen	Agpfpiy
s	sa	Si
√	√	Z
2	2	Mdc
za	za	Sa
sinusna	sinusni	Agpnpay
polja	polje	Ncnpa
.	.	Z

Kod	kod	Sg
ne	ne	Ncfsg
sinusnih	sinusni	Agpnpgy
polja	polje	Ncnpg
ocjena	ocjena	Ncfpg
izloženosti	izloženost	Ncfsg
provedena	provesti	Appfsny
sukladno	sukladno	Rgp
članku	članak	Ncmsd
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
metodi	metoda	Ncfsl
ponderirane	ponderirati	Appfsgy
