dvije	dva	Mlcf-n
godine	godina	Ncfsg
od	od	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
nakon	nakon	Sg
predaje	predaja	Ncfsg
računa	račun	Ncmsg
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
od	od	Sg
strane	strana	Ncfsg
Tijela	tijelo	Ncnsg
za	za	Sa
ovjeravanje	ovjeravanje	Ncnsa
,	,	Z
a	a	Cc
u	u	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
uključeni	uključiti	Appmpny
završni	završan	Agpmpny
izdaci	izdatak	Ncmpn
dovršene	dovršiti	Appfsgy
operacije	operacija	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
obavještava	obavještavati	Vmr3s
korisnike	korisnik	Ncmpa
o	o	Sl
godini	godina	Ncfsl
od	od	Sg
koje	koji	Pi-fsg
počinje	počinjati	Vmr3s
teći	teći	Vmn
rok	rok	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
voditi	voditi	Vmn
odvojeni	odvojiti	Agpmsayn
računovodstveni	računovodstveni	Agpmsayn
sustav	sustav	Ncmsan
ili	ili	Cc
primjereni	primjeren	Agpmsayn
računovodstveni	računovodstveni	Agpmsayn
kod	kod	Ncmsan
/	/	Z
oznaku	oznaka	Ncfsa
za	za	Sa
sve	sav	Agpfpay
transakcije	transakcija	Ncfpa
vezane	vezan	Agpmpay
uz	uz	Sa
operaciju	operacija	Ncfsa
za	za	Sa
koju	koji	Pi-fsa
mu	on	Pp3msd
je	biti	Var3s
dodijeljena	dodijeliti	Appfsny
potpora	potpora	Ncfsn
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
materijalnu	materijalan	Agpfsay
imovinu	imovina	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
predmet	predmet	Ncmsn
potpore	potpora	Ncfsg
ne	ne	Qz
smije	smjeti	Vmr3s
prodati	prodati	Vmn
,	,	Z
koristiti	koristiti	Vmn
protivno	protivno	Rgp
svrsi	svrha	Ncfsd
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
namijenjena	namijeniti	Appfsny
,	,	Z
dati	dati	Vmn
u	u	Sa
najam	najam	Ncmsan
ili	ili	Cc
dati	dati	Vmn
na	na	Sa
bilo	bilo	Qo
koje	koji	Pi-nsn
drugo	drugi	Mlonsa
raspolaganje	raspolaganje	Ncnsa
i	i	Cc
korištenje	korištenje	Ncnsa
drugim	drugi	Mlomsi
pravnim	pravni	Agpfpiy
ili	ili	Cc
fizičkim	fizički	Agpfpiy
osobama	osoba	Ncfpi
najmanje	malo	Rgs
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
zadnje	zadnji	Agpfsgy
primljene	primljen	Agpfsgy
uplate	uplata	Ncfsg
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
59.	59.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
morskom	morski	Agpnsly
ribarstvu	ribarstvo	Ncnsl
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
korisnik	korisnik	Ncmsn
uslijed	uslijed	Sg
nepredviđenih	nepredviđen	Agpfpgy
okolnosti	okolnost	Ncfpg
ili	ili	Cc
više	mnogo	Rgc
sile	sila	Ncfsg
može	moći	Vmr3s
obaviti	obaviti	Vmn
navedene	naveden	Agpfpay
radnje	radnja	Ncfpa
uz	uz	Sa
prethodno	prethodan	Agpnsay
pribavljeno	pribaviti	Agpnsay
odobrenje	odobrenje	Ncnsa
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
provoditi	provoditi	Vmn
mjere	mjera	Ncfpa
informiranja	informiranje	Ncnsg
i	i	Cc
promidžbe	promidžba	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
119.	119.	Mdo
i	i	Cc
Prilogu	prilog	Ncmsl
V.	vi	Agpfsgy
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
508/2014	508/2014	Mdc
te	te	Cc
odredbama	odredba	Ncfpi
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
763/2014	763/2014	Mdc
оd	оd	Sg
11.	11.	Mdo
srpnja	srpanj	Ncmsg
2014.	2014.	Mdo
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
pravila	pravilo	Ncnsg
za	za	Sa
primjenu	primjena	Ncfsa
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
508/2014	508/2014	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
o	o	Sl
Europskom	europski	Agpmsly
fondu	fond	Ncmsl
za	za	Sa
pomorstvo	pomorstvo	Ncnsa
i	i	Cc
ribarstvo	ribarstvo	Ncnsa
u	u	Sl
pogledu	pogled	Ncmsl
tehničkih	tehnički	Agpnpgy
obilježja	obilježje	Ncnpg
mjera	mjera	Ncfpg
informiranja	informiranje	Ncnsg
i	i	Cc
promidžbe	promidžba	Ncfsg
i	i	Cc
uputa	uputa	Ncfpg
za	za	Sa
izradu	izrada	Ncfsa
amblema	amblem	Ncmpg
Unije	unija	Ncfsg
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
209	209	Mdc
,	,	Z
16.07.2014.	16.07.2014.	Mds
)	)	Z
.	.	Z

Pravila	pravilo	Ncnpn
i	i	Cc
upute	uputa	Ncfpa
za	za	Sa
provedbu	provedba	Ncfsa
mjera	mjera	Ncfpg
informiranja	informiranje	Ncnsg
i	i	Cc
promidžbe	promidžba	Ncfsg
nalaze	nalaziti	Vmr3p
se	sebe	Px--sa
u	u	Sl
Prilogu	Prilog	Npmsl
II	ii	Mrc
.	.	Z

Pravilnika	pravilnik	Ncmpg
i	i	Cc
njegov	njegov	Ps3msn
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
omogućiti	omogućiti	Vmn
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
,	,	Z
Tijelu	tijelo	Ncnsl
za	za	Sa
ovjeravanje	ovjeravanje	Ncnsa
,	,	Z
Tijelu	tijelo	Ncnsl
za	za	Sa
reviziju	revizija	Ncfsa
,	,	Z
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
,	,	Z
Europskom	europski	Agpmsly
revizorskom	revizorski	Agpmsly
sudu	sud	Ncmsl
,	,	Z
Europskom	europski	Agpmsly
uredu	ured	Ncmsl
za	za	Sa
borbu	borba	Ncfsa
protiv	protiv	Sg
prijevara	prijevara	Ncfpg
(	(	Z
OLAF	OLAF	Npmsn
)	)	Z
i	i	Cc
drugim	drugi	Mlofpl
nadležnim	nadležan	Agpfply
nadzornim	nadzorni	Agpfply
/	/	Z
revizorskim	revizorski	Agpnply
tijelima	tijelo	Ncnpl
kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
ulaganja	ulaganje	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
ostvario	ostvariti	Vmp-sm
potporu	potpora	Ncfsa
temeljem	temelj	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
i	i	Cc
Natječaja	natječaj	Ncmsg
od	od	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
pa	pa	Cc
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
pet	pet	Mlc
godina	godina	Ncfpg
od	od	Sg
zadnje	zadnji	Agpfsgy
primljene	primljen	Agpfsgy
uplate	uplata	Ncfsg
financijskih	financijski	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
obavijestiti	obavijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
poljoprivrede	poljoprivreda	Ncfsg
,	,	Z
Upravu	uprava	Ncfsa
ribarstva	ribarstvo	Ncnsg
o	o	Sl
primopredaji	primopredaja	Ncfsl
opreme	oprema	Ncfsg
od	od	Sg
dobavljača	dobavljač	Ncmpg
ukoliko	ukoliko	Cs
istu	isti	Agpfsay
nije	biti	Var3s
moguće	moguć	Agpnsny
provjeriti	provjeriti	Vmn
u	u	Sl
kasnijoj	kasan	Agcfsly
fazi	faza	Ncfsl
kontrole	kontrola	Ncfsg
i	i	Cc
o	o	Sl
provođenju	provođenje	Ncnsl
»	»	Z
skrivenih	skriti	Agpmpgy
radova	rad	Ncmpg
«	«	Z
,	,	Z
odnosno	odnosno	Rgp
radova	rad	Ncmpg
koji	koji	Pi-mpn
ne	ne	Qz
mogu	moći	Vmr3p
biti	biti	Van
provjereni	provjeriti	Appmpny
u	u	Sl
kasnijoj	kasan	Agcfsly
fazi	faza	Ncfsl
,	,	Z
najkasnije	kasno	Rgs
sedam	sedam	Mlc
dana	dan	Ncmpg
prije	prije	Sg
provođenja	provođenje	Ncnsg
navedenih	naveden	Agpmpgy
radova	rad	Ncmpg
odnosno	odnosno	Rgp
datuma	datum	Ncmsg
isporuke	isporuka	Ncfsg
opreme	oprema	Ncfsg
,	,	Z
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
:	:	Z
eufondovi.ribarstvo@mps.hr	eufondovi.ribarstvo@mps.hr	X
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
obveznik	obveznik	Ncmsn
provedbe	provedba	Ncfsg
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
isti	isti	Agpmsny
je	biti	Var3s
dužan	dužan	Agpmsnn
za	za	Sa
nabavu	nabava	Ncfsa
roba	roba	Ncfpg
i	i	Cc
/	/	Z
ili	ili	Cc
radova	rad	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
usluga	usluga	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
potpore	potpora	Ncfsg
obvezno	obvezno	Rgp
provesti	provesti	Vmn
postupak	postupak	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
sukladno	sukladno	Rgp
Zakonu	Zakon	Npmsd
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
obveznik	obveznik	Ncmsn
provedbe	provedba	Ncfsg
nabave	nabava	Ncfsg
sukladno	sukladno	Rgp
Zakonu	Zakon	Npmsd
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
ili	ili	Cc
ukoliko	ukoliko	Cs
je	biti	Var3s
obveznik	obveznik	Ncmsn
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
ali	ali	Cc
ima	imati	Vmr3s
nabavu	nabava	Ncfsa
ispod	ispod	Sg
pragova	prag	Ncmpg
propisanih	propisati	Appmpgy
Zakonom	zakon	Ncmsi
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
postupati	postupati	Vmn
sukladno	sukladno	Rgp
postupcima	postupak	Ncmpd
definiranim	definirati	Agpmsiy
Natječajem	natječaj	Ncmsi
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
za	za	Sa
kojeg	koji	Pi-msay
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
sredstva	sredstvo	Ncnpa
potpore	potpora	Ncfsg
ostvario	ostvariti	Vmp-sm
na	na	Sl
temelju	temelj	Ncmsl
lažnih	lažan	Agpmpgy
podataka	podatak	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
izjava	izjava	Ncfsn
ili	ili	Cc
da	da	Cs
nije	biti	Var3s
postupao	postupati	Vmp-sm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
uvjetima	uvjet	Ncmpl
Natječaja	natječaj	Ncmsg
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
sva	sav	Agpnpay
primljena	primljen	Agpnpay
sredstva	sredstvo	Ncnpa
vratiti	vratiti	Vmn
u	u	Sa
državni	državni	Agpmsayn
proračun	proračun	Ncmsan
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
uključujući	uključivati	Rr
zakonske	zakonski	Agpfsgy
zatezne	zatezni	Agpfsgy
kamate	kamata	Ncfsg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
