Hrvatske	Hrvatska	Npfsg
i	i	Cc
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
te	te	Cc
poslove	posao	Ncmpa
uspostave	uspostava	Ncfsg
i	i	Cc
poboljšanja	poboljšanje	Ncnsg
funkcioniranja	funkcioniranje	Ncnsg
sustava	sustav	Ncmsg
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrole	kontrola	Ncfsg
na	na	Sl
razini	razina	Ncfsl
Posredničkog	posrednički	Agpnsgy
tijela	tijelo	Ncnsg
razine	razina	Ncfsg
1.	1.	Mdo
U	u	Sl
slučajevima	slučaj	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
je	biti	Var3s
Sektor	sektor	Ncmsn
za	za	Sa
pripremu	priprema	Ncfsa
programa	program	Ncmpg
i	i	Cc
provedbu	provedba	Ncfsa
projekata	projekat	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
korisnik	korisnik	Ncmsn
sredstava	sredstvo	Ncmsg
tehničke	tehnički	Agpfsgy
pomoći	pomoć	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
funkcija	funkcija	Ncfpg
Posredničkog	posrednički	Agpnsgy
tijela	tijelo	Ncnsg
razine	razina	Ncfsg
1	1	Mdc
,	,	Z
priprema	pripremati	Vmr3s
prijave	prijava	Ncfpa
za	za	Sa
korištenje	korištenje	Ncnsa
EU	E	Npmsg
sredstava	sredstvo	Ncnpg
,	,	Z
provodi	provoditi	Vmr3s
nabavu	nabava	Ncfsa
,	,	Z
osigurava	osiguravati	Vmr3s
prihvatljivost	prihvatljivost	Ncfsa
izdataka	izdatak	Ncmpg
,	,	Z
priprema	pripremati	Vmr3s
zahtjeve	zahtjev	Ncmpa
za	za	Sa
naknadom	naknada	Ncmsan
troškova	trošak	Ncmpg
te	te	Cc
ih	oni	Pp3-pa
dostavlja	dostavljati	Vmr3s
Posredničkom	posrednički	Agpnsly
tijelu	tijelo	Ncnsl
razine	razina	Ncfsg
2.	2.	Mdo
Služba	služba	Ncfsn
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
pripremi	priprema	Ncfsl
izvješća	izvješće	Ncnsg
o	o	Sl
praćenju	praćenje	Ncnsl
;	;	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
pripremi	priprema	Ncfsl
