najmanje	malo	Rgs
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
izdavanja	izdavanje	Ncnsg
računa	račun	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
može	moći	Vmr3s
operatoru	operator	Ncmsd
sustava	sustav	Ncmsg
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
na	na	Sa
račun	račun	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
izdavanja	izdavanje	Ncnsg
računa	račun	Ncmsg
.	.	Z

Članak	članak	Ncmsn
94.	94.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
neovlaštene	neovlašten	Agpfsgy
potrošnje	potrošnja	Ncfsg
električne	električan	Agpfsgy
energije	energija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
83.	83.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
je	biti	Var3s
na	na	Sa
zahtjev	zahtjev	Ncmsan
operatora	operator	Ncmsg
sustava	sustav	Ncmsg
dužan	dužan	Agpmsnn
omogućiti	omogućiti	Vmn
premještanje	premještanje	Ncnsa
obračunskog	obračunski	Agpnsgy
mjernog	mjerni	Agpnsgy
mjesta	mjesto	Ncnsg
ili	ili	Cc
zamjenu	zamjena	Ncfsa
oštećene	oštetiti	Agpfsgy
mjerne	mjerni	Agpfsgy
opreme	oprema	Ncfsg
te	te	Cc
ostalih	ostali	Agpfpgy
komponenata	komponenta	Ncfpg
priključka	priključak	Ncmsg
i	i	Cc
obračunskog	obračunski	Agpnsgy
mjernog	mjerni	Agpnsgy
mjesta	mjesto	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Troškove	trošak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
snosi	snositi	Vmr3s
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
.	.	Z

XV	xi	Agpnsny
.	.	Z

UVJETI	uvjet	Ncmpn
ZA	za	Sa
PRIMJENU	primjena	Ncfsa
POSTUPKA	postupak	Ncmsg
OGRANIČENJA	ograničenje	Ncnsg
ILI	ili	Cc
PRIVREMENE	privremen	Agpfsgy
OBUSTAVE	obustava	Ncfsg
ISPORUKE	isporuka	Ncfsg
ELEKTRIČNE	električan	Agpfsgy
ENERGIJE	energija	Ncfsg

Članak	članak	Ncmsn
95.	95.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Operator	operator	Ncmsn
sustava	sustav	Ncmsg
može	moći	Vmr3s
nakon	nakon	Sg
prethodne	prethodan	Agpfsgy
obavijesti	obavijest	Ncfsg
,	,	Z
kao	kao	Cs
krajnju	krajnji	Agpfsay
mjeru	mjera	Ncfsa
,	,	Z
privremeno	privremeno	Rgp
obustaviti	obustaviti	Vmn
isporuku	isporuka	Ncfsa
električne	električan	Agpfsgy
energije	energija	Ncfsg
krajnjem	krajnji	Agpmsdy
kupcu	kupac	Ncmsd
ako	ako	Cs
:	:	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
nije	biti	Var3s
postupio	postupiti	Vmp-sm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
23.	23.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
nije	biti	Var3s
otklonio	otkloniti	Vmp-sm
neispravnost	neispravnost	Ncfsa
na	na	Sl
unutrašnjem	unutrašnji	Agpmsly
dijelu	dio	Ncmsl
priključka	priključak	Ncmsg
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
24.	24.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
omogućuje	omogućivati	Vmr3s
korištenje	korištenje	Ncnsa
električne	električan	Agpfsgy
energije	energija	Ncfsg
drugoj	drugi	Mlofsl
pravnoj	pravni	Agpfsly
ili	ili	Cc
fizičkoj	fizički	Agpfsly
osobi	osoba	Ncfsl
protivno	protivno	Rgp
odredbama	odredba	Ncfpl
članka	članak	Ncmsg
26.	26.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
ni	ni	Cc
nakon	nakon	Sg
opomene	opomena	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
72.	72.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
nije	biti	Var3s
podmirio	podmiriti	Vmp-sm
dospjele	dospjeli	Agpfpay
novčane	novčan	Agpfpay
obveze	obveza	Ncfpa
operatoru	operator	Ncmsl
sustava	sustav	Ncmsg
,	,	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
nije	biti	Var3s
pristao	pristati	Vmp-sm
na	na	Sa
uvjete	uvjet	Ncmpa
plaćanja	plaćanje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
73.	73.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Agpmsny
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
nije	biti	Var3s
omogućio	omogućiti	Vmp-sm
operatoru	operator	Ncmsl
sustava	sustav	Ncmsg
provođenje	provođenje	Ncnsn
postupka	postupak	Ncmsg
utvrđivanja	utvrđivanje	Ncnsg
neovlaštene	neovlašten	Agpfsgy
potrošnje	potrošnja	Ncfsg
električne	električan	Agpfsgy
energije	energija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
83.	83.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
,	,	Z

–	–	Npmsn
je	biti	Var3s
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
