praćenje	praćenje	Ncnsn
i	i	Cc
stalni	stalan	Agpmsayn
nadzor	nadzor	Ncmsan
,	,	Z
u	u	Sa
svrhu	svrha	Ncfsa
da	da	Cs
svoje	svoj	Px-fpa
obveze	obveza	Ncfpa
ispunjavaju	ispunjavati	Vmr3p
u	u	Sl
potpunosti	potpunost	Ncfsl
,	,	Z
učinkovito	učinkovit	Agpnsny
i	i	Cc
na	na	Sa
vrijeme	vrijeme	Ncnsa
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

Članovi	član	Ncmpn
Komore	komora	Ncfsg
dužni	dužan	Agpmpny
su	biti	Var3p
odbiti	odbiti	Vmn
posao	posao	Ncmsan
ukoliko	ukoliko	Cs
su	biti	Var3p
uvjeti	uvjet	Ncmpn
takvi	takav	Pd-mpn
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
mogu	moći	Vmr3p
ispuniti	ispuniti	Vmn
ili	ili	Cc
ako	ako	Cs
ne	ne	Qz
postoje	postojati	Vmr3p
pretpostavke	pretpostavka	Ncfpa
za	za	Sa
njegovo	njegov	Agpnsay
izvršenje	izvršenje	Ncnsa
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
su	biti	Var3p
neovisni	neovisan	Agpmpny
savjetnici	savjetnik	Ncmpn
i	i	Cc
povjerljivi	povjerljiv	Agpmpny
zastupnici	zastupnik	Ncmpn
naručitelja	naručitelj	Ncmpg
.	.	Z

Oni	oni	Pp3mpn
objektivno	objektivno	Rgp
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pravnim	pravni	Agpmpiy
propisima	propis	Ncmpi
te	te	Cc
prema	prema	Sl
načelima	načelo	Ncnpl
vjernosti	vjernost	Ncfsg
i	i	Cc
povjerenja	povjerenje	Ncnsg
,	,	Z
zastupaju	zastupati	Vmr3p
prava	pravo	Ncnpa
naručitelja	naručitelj	Ncmpg
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
druge	drugi	Agpmpay
sudionike	sudionik	Ncmpa
u	u	Sl
gradnji	gradnja	Ncfsl
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
svojih	svoj	Px-fpg
zadaća	zadaća	Ncfpg
struke	struka	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Članovi	član	Ncmpn
Komore	komora	Ncfsg
prilikom	prilikom	Sg
preuzimanja	preuzimanje	Ncnsg
svakog	svaki	Pi-msg
posla	posao	Ncmsg
moraju	morati	Vmr3p
zaključiti	zaključiti	Vmn
(	(	Z
sklopiti	sklopiti	Vmn
)	)	Z
što	što	Qo
jasniji	jasan	Agcmsayn
i	i	Cc
detaljniji	detaljan	Agcmsny
pisani	pisan	Agpmsayn
ugovor	ugovor	Ncmsan
s	sa	Si
naručiteljem	naručitelj	Ncmsi
.	.	Z

Takav	takav	Pd-msan
ugovor	ugovor	Ncmsan
prije	prije	Sg
svega	sav	Agpnsgy
mora	morati	Vmr3s
obuhvatiti	obuhvatiti	Vmn
sljedeće	sljedeći	Agpnsay
:	:	Z

–		Agcmsayn
opseg	opseg	Ncmsan
posla	posao	Ncmsg
ili	ili	Cc
usluga	usluga	Ncfpg

–	–	Sa
raspodjelu	raspodjela	Ncfsa
i	i	Cc
ograničenja	ograničenje	Ncnsg
dužnosti	dužnost	Ncfsg

–	–	Agpmsny
proračunski	proračunski	Agpmsny
trošak	trošak	Ncmsn
gradnje	gradnja	Ncfsg
ili	ili	Cc
neko	neki	Pi-nsa
drugo	drugi	Mlonsa
ograničenje	ograničenje	Ncnsa

–	i	Agpfsay
naknadu	naknada	Ncfsa
za	za	Sa
posao	posao	Ncmsan
ili	ili	Cc
usluge	usluga	Ncfpa
,	,	Z
metodu	metoda	Ncfsa
izračuna	izračun	Ncmsg
te	te	Cc
