kunama	kuna	Ncfpi
po	po	Sl
tečaju	tečaj	Ncmsl
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
(	(	Z
ECB	ECB	Npmsn
)	)	Z
,	,	Z
u	u	Sl
mjesecu	mjesec	Ncmsl
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
iskazanom	iskazati	Ncfsi
na	na	Sa
šest	šest	Mlc
decimala	decimala	Ncfpg
(	(	Z
navedeni	naveden	Agpmsny
tečaj	tečaj	Ncmsn
se	sebe	Px--sa
može	moći	Vmr3s
dobiti	dobiti	Vmn
na	na	Sl
http://ec.europa.eu/budget/inforeuro/	http://ec.europa.eu/budget/inforeuroa	Ncfsl
)	)	Z

–	–	Pq3m-n
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
odabrani	odabrati	Agpmsny
korisnik	korisnik	Ncmsn
kupio	kupiti	Vmp-sm
strana	stran	Agpnpay
sredstva	sredstvo	Ncnpa
plaćanja	plaćanje	Ncnsg
po	po	Sl
nižem	nizak	Agpmsly
tečaju	tečaj	Ncmsl
od	od	Sg
ECB	ECB	Npmsn
u	u	Sl
mjesecu	mjesec	Ncmsl
zaprimanja	zaprimanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
iskazanom	iskazati	Ncfsi
na	na	Sa
šest	šest	Mlc
decimala	decimala	Ncfpg
,	,	Z
isplata	isplata	Ncfsn
potpore	potpora	Ncfsg
temeljit	temeljiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
ostvarenom	ostvariti	Agpmsly
tečaju	tečaj	Ncmsl
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
utvrdi	utvrditi	Vmr3s
nepravilnost	nepravilnost	Ncfsa
koja	koji	Pi-fsn
nema	nemati	Vmr3s
elemenata	element	Ncmpg
sumnje	sumnja	Ncfsg
na	na	Sa
prijevaru	prijevara	Ncfsa
,	,	Z
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
odbiti	odbiti	Vmn
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
troška	trošak	Ncmsg
i	i	Cc
donijeti	donijeti	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
biti	biti	Van
umanjen	umanjiti	Appmsnn
za	za	Sa
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
troška	trošak	Ncmsg
utvrđen	utvrditi	Appmsnn
u	u	Sl
tom	taj	Pd-msl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

Donošenje	donošenje	Ncnsn
odluka	odluka	Ncfpg

Članak	članak	Ncmsn
67.	67.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
administrativne	administrativan	Agpfsgy
kontrole	kontrola	Ncfsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
s	sa	Si
pripadajućom	pripadajući	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
će	htjeti	Var3s
donijeti	donijeti	Vmn
:	:	Z

a	a	Cc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
ili	ili	Cc

b	b	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
predujma	predujam	Ncmsg
ili	ili	Cc

c	C	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
ili	ili	Cc

d	d	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
donosi	donositi	Vmr3s
se	sebe	Px--sa
zbog	zbog	Sg
:	:	Z

1.	1.	Mdo
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
odnosno	odnosno	Rgp
Natječajem	natječaj	Ncmsi

2.	2.	Mdo
neprihvatljivosti	neprihvatljivost	Ncfsg
aktivnosti	aktivnost	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
svih	sav	Agpmpgy
troškova	trošak	Ncmpg
navedenih	naveden	Agpmpgy
u	u	Sl
listi	lista	Ncfsl
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
propisanoj	propisati	Appfsly
Natječajem	natječaj	Ncmsi
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
traži	tražiti	Vmr3s
javna	javan	Agpfsny
potpora	potpora	Ncfsn
u	u	Sl
obveznim	obvezan	Agpmply
Zahtjevima	zahtjev	Ncmpl
za	za	Sa
isplatu	isplata	Ncfsa

3.	3.	Mdo
nedostavljanja	nedostavljanje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
roku	rok	Ncmsl
propisanim	propisati	Appnply
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi

4.	4.	Mdo
onemogućavanja	onemogućavanje	Ncnsg
obavljanja	obavljanje	Ncnsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl

5.	5.	Mdo
korištenja	korištenje	Ncnsg
opreme	oprema	Ncfsg
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
namjenom	namjena	Ncfsi

6.	6.	Mdo
utvrđenih	utvrditi	Agpfpgy
razlika	razlika	Ncfpg
između	između	Sg
dokumenata	dokument	Ncmpg
priloženih	priložiti	Appmpgy
uz	uz	Sa
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
i	i	Cc
dokumenata	dokument	Ncmpg
zatečenih	zateći	Appmpgy
u	u	Sl
kontroli	kontrola	Ncfsl
na	na	Sl
terenu	teren	Ncmsl

7.	7.	Mdo
ukoliko	ukoliko	Cs
su	biti	Var3p
troškovi	trošak	Ncmpn
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
podnesen	podnijeti	Appmsnn
Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa
financirani	financirati	Appmpny
drugim	drugi	Agpnpiy
sredstvima	sredstvo	Ncnpi
proračuna	proračun	Ncmpg
EU	E	Npmsg

8.	8.	Mdo
nedostavljanja	nedostavljanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg
navedene	navesti	Appfpny
u	u	Sl
članku	članak	Ncmsl
66.	66.	Mdo
stavku	stavak	Ncmsl
10.	10.	Mdo
ovoga	ovaj	Ncmsg
Pravilnika	pravilnik	Ncmsg
u	u	Sl
roku	rok	Ncmsl
propisanom	propisati	Agpmsly
