kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
zatražiti	zatražiti	Vmn
od	od	Sg
korisnika	korisnik	Ncmpg
prava	pravo	Ncnpg
u	u	Sl
ostavljenom	ostaviti	Agpmsly
roku	rok	Ncmsl
dostavu	dostava	Ncfsa
potvrde	potvrda	Ncfsg
o	o	Sl
životu	život	Ncmsl
sa	sa	Si
ovjerenim	ovjeriti	Agpmsiy
osobnim	osoban	Agpmsiy
potpisom	potpis	Ncmsi
kod	kod	Sg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
države	država	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
korisnik	korisnik	Ncmsn
ima	imati	Vmr3s
prebivalište	prebivalište	Ncnsa
.	.	Z

Potvrda	potvrda	Ncfsn
o	o	Sl
životu	život	Ncmsl
sadrži	sadržati	Vmr3s
i	i	Qo
izjavu	izjava	Ncfsa
o	o	Sl
zaposlenju	zaposlenje	Ncnsl
,	,	Z
o	o	Sl
redovitom	redovit	Agpnsly
školovanju	školovanje	Ncnsl
,	,	Z
o	o	Sl
priznavanju	priznavanje	Ncnsl
prava	pravo	Ncnsg
na	na	Sa
mirovinu	mirovina	Ncfsa
i	i	Cc
o	o	Sl
zaključenju	zaključenje	Ncnsl
braka	brak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
do	do	Sg
ostavljenog	ostaviti	Agpmsgy
roka	rok	Ncmsg
od	od	Sg
korisnika	korisnik	Ncmpg
novčanog	novčan	Agpnsgy
prava	pravo	Ncnsg
ne	ne	Qz
zaprimi	zaprimiti	Vmr3s
potvrdu	potvrda	Ncfsa
o	o	Sl
životu	život	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
poduzeti	poduzeti	Vmn
mjere	mjera	Ncfpa
za	za	Sa
sprečavanje	sprečavanje	Ncnsa
isplate	isplata	Ncfsg
nepripadajućih	nepripadajući	Agpnpgy
novčanih	novčan	Agpnpgy
prava	pravo	Ncnpg
korisnicima	korisnik	Ncmpd
novčanih	novčan	Agpnpgy
prava	pravo	Ncnpg
od	od	Sg
kojih	koji	Pi-npg
nije	biti	Var3s
zaprimilo	zaprimiti	Vmp-sn
potvrdu	potvrda	Ncfsa
o	o	Sl
životu	život	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
provesti	provesti	Vmn
postupak	postupak	Ncmsan
utvrđen	utvrditi	Appmsnn
člankom	članak	Ncmsi
6.	6.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

VI	VI	Mrc
.	.	Z

POSTUPAK	postupak	Ncmsn
POVRATA	povrat	Ncmpg
NEPRIPADAJUĆIH	nepripadajući	Agpmpgy
IZNOSA	iznos	Ncmpg
NOVČANIH	novčan	Agpnpgy
PRIMANJA	primanje	Ncnpg
NA	na	Sl
TEMELJU	temelj	Ncmsl
ČLANKA	članak	Ncmsg
144.	144.	Mdo

ZAKONA	zakon	Ncmsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
ostvarila	ostvariti	Vmp-sf
pravo	pravo	Ncnsa
ili	ili	Cc
su	biti	Var3p
joj	on	Pp3fsd
isplaćena	isplatiti	Agpnpay
novčana	novčan	Agpnpay
prava	pravo	Ncnpa
po	po	Sl
Zakonu	zakon	Ncmsl
na	na	Sa
koja	koji	Pi-fsn
nije	biti	Var3s
imala	imati	Vmp-sf
pravo	pravo	Ncnsa
,	,	Z
dužna	dužan	Agpfsny
je	biti	Var3s
naknaditi	naknaditi	Vmn
štetu	šteta	Ncfsa
za	za	Sa
ostvareno	ostvariti	Agpnsay
nepripadajuće	nepripadajući	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
vratiti	vratiti	Vmn
primljene	primljen	Agpmpay
iznose	iznos	Ncmpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
144.	144.	Mdo

Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prvostupanjsko	prvostupanjski	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
obvezno	obvezan	Agpnsny
pozvati	pozvati	Vmn
korisnika	korisnik	Ncmpg
–	–	Z
dužnika	dužnik	Ncmpg
te	te	Cc
,	,	Z
ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
–	–	Z
dužnik	dužnik	Ncmsn
pristane	pristati	Vmr3s
,	,	Z
sačiniti	sačiniti	Vmn
potpisani	potpisati	Appmpny
i	i	Cc
ovjereni	ovjeriti	Ncfsl
zapisnik	zapisnik	Ncmsn
o	o	Sl
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
,	,	Z
u	u	Sl
kojem	koji	Pi-msl
će	htjeti	Var3s
osim	osim	Sg
općih	opći	Agpmpgy
podataka	podatak	Ncmpg
o	o	Sl
