Izračunavanja	izračunavanje	Ncnpn
poreza	porez	Ncmsg
za	za	Sa
svrhe	svrha	Ncfpa
pripremanja	pripremanje	Ncnsg
računovodstvenih	računovodstveni	Agpmpgy
unosa	unos	Ncmpg

Klijenti	klijent	Ncmpn
revizija	revizija	Ncfpg
koji	koji	Pi-mpn
nisu	biti	Var3p
subjekti	subjekt	Ncmpn
od	od	Sg
javnog	javan	Agpmsgy
interesa	interes	Ncmsg

290.181	290.18i	Agpnsny
Pripremanje	pripremanje	Ncnsn
izračuna	izračun	Ncmsg
tekućih	tekući	Agpmpgy
i	i	Cc
odgođenih	odgoditi	Appfpgy
poreznih	porezni	Agpfpgy
obveza	obveza	Ncfpg
(	(	Z
ili	ili	Cc
imovine	imovina	Ncfsg
)	)	Z
za	za	Sa
nekog	neki	Pi-msg
klijenta	klijent	Ncmsg
revizije	revizija	Ncfsg
za	za	Sa
svrhu	svrha	Ncfsa
pripremanja	pripremanje	Ncnsg
računovodstvenih	računovodstveni	Agpmpgy
unosa	unos	Ncmpg
koje	koji	Pi-mpa
će	htjeti	Var3s
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
naknadno	naknadno	Rgp
revidirati	revidirati	Vmn
stvara	stvarati	Vmr3s
prijetnju	prijetnja	Ncfsa
temeljem	temelj	Ncmsi
samoprovjere	samoprovjera	Ncfsg
.	.	Z

Važnost	važnost	Ncfsn
prijetnje	prijetnja	Ncfsg
ovisit	ovisiti	Vmn
će	htjeti	Var3s
o	o	Sl
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
složenosti	složenost	Ncfsg
relevantnog	relevantan	Agpmsgy
poreznog	porezni	Agpmsgy
zakona	zakon	Ncmsg
i	i	Cc
regulative	regulativa	Ncfsg
te	te	Cc
razmjera	razmjera	Ncfsn
prosuđivanja	prosuđivanje	Ncnsg
potrebnog	potreban	Agpmsgy
za	za	Sa
njihovo	njihov	Agpnsay
primjenjivanje	primjenjivanje	Ncnsa
;	;	Z

(	(	Z
b	b	X
)	)	Z
razine	razina	Ncfsg
stručnosti	stručnost	Ncfsg
osoblja	osoblje	Ncnsg
klijenta	klijent	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
poreznom	porezni	Agpfsiy
problematikom	problematika	Ncfsi
;	;	Z
i	i	Cc

(	(	Z
c	C	X
)	)	Z
značajnosti	značajnost	Ncfsg
iznosa	iznos	Ncmsg
za	za	Sa
financijske	financijski	Agpmpay
izvještaje	izvještaj	Ncmpa
.	.	Z

Zaštite	zaštita	Ncfpn
će	htjeti	Var3s
se	sebe	Px--sa
primijeniti	primijeniti	Vmn
kada	kada	Cs
je	biti	Var3s
to	taj	Pd-nsn
nužno	nužan	Agpnsny
za	za	Sa
uklanjanje	uklanjanje	Ncnsa
prijetnje	prijetnja	Ncfsg
ili	ili	Cc
njezino	njezin	Ps3nsa
smanjivanje	smanjivanje	Ncnsa
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
.	.	Z

Primjeri	primjer	Ncmpn
takvih	takav	Pd-fpg
zaštita	zaštita	Ncfpg
uključuju	uključivati	Vmr3p
:	:	Z

•	i	Agpnsny
korištenje	korištenje	Ncnsn
profesionalnih	profesionalan	Agpfpgy
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
nisu	biti	Var3p
članovi	član	Ncmpn
revizijskog	revizijski	Agpmsgy
tima	tim	Ncmsg
radi	radi	Sg
pružanja	pružanje	Ncnsg
usluge	usluga	Ncfsg
;	;	Z

•	•	Pq3n-n
ako	ako	Cs
je	biti	Var3s
uslugu	usluga	Ncfsa
obavio	obaviti	Vmp-sm
član	član	Ncmsn
revizijskog	revizijski	Agpmsgy
tima	tim	Ncmsg
,	,	Z
korištenje	korištenje	Ncnsa
partnera	partner	Ncmpg
ili	ili	Cc
iskusnijeg	iskusan	Agcmsgy
člana	član	Ncmsg
s	sa	Si
odgovarajućom	odgovarajući	Agpfsiy
stručnošću	stručnost	Ncfsi
koji	koji	Pi-msn
nije	biti	Var3s
član	član	Ncmsn
revizijskog	revizijski	Agpmsgy
tima	tim	Ncmsg
radi	radi	Sg
pregleda	pregled	Ncmsg
izračuna	izračun	Ncmsg
poreza	porez	Ncmsg
