poduzeća	poduzeće	Ncnpn
.	.	Z

Predlagalo	predlagati	Vmp-sn
se	sebe	Px--sa
da	da	Cs
se	sebe	Px--sa
to	taj	Pd-nsn
pitanje	pitanje	Ncnsn
riješi	riješiti	Vmr3s
barem	barem	Qo
davanjem	davanje	Ncnsi
uputa	uputa	Ncfpg
zemljišnoknjižnim	zemljišnoknjižni	Agpmpdy
sudovima	sud	Ncmpd
o	o	Sl
načinu	način	Ncmsl
postupanja	postupanje	Ncnsg
pri	pri	Sl
upisu	upis	Ncmsl
vlasništva	vlasništvo	Ncnsg
u	u	Sa
korist	korist	Ncfsa
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
nastalih	nastao	Agpnpgy
pretvorbom	pretvorba	Ncnpg
.	.	Z

Prema	prema	Sl
tome	taj	Pd-nsl
,	,	Z
očito	očito	Rgp
je	biti	Var3s
,	,	Z
čak	čak	Qo
i	i	Qo
iz	iz	Sg
ovako	ovako	Rgp
sažetog	sažet	Agpmsgy
prikaza	prikaz	Ncmsg
,	,	Z
da	da	Cs
je	biti	Var3s
pitanje	pitanje	Ncnsn
pretvorbe	pretvorba	Ncfsg
i	i	Cc
privatizacije	privatizacija	Ncfsg
,	,	Z
osobito	osobito	Rgp
primjene	primjena	Ncfpn
članka	članak	Ncmsg
47.	47.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
privatizaciji	privatizacija	Ncfsl
,	,	Z
a	a	Cc
sukladno	sukladno	Rgp
tome	taj	Pd-nsd
i	i	Qo
pitanje	pitanje	Ncnsn
upisa	upis	Ncmsg
prava	pravo	Ncnsg
vlasništva	vlasništvo	Ncnsg
stvari	stvar	Ncfsg
nastalih	nastao	Agpmpgy
pretvorbom	pretvorba	Ncfsi
(	(	Z
pa	pa	Cc
i	i	Qo
onih	onaj	Pd-mpg
koje	koji	Pi-fpn
su	biti	Var3p
procijenjene	procijeniti	Appfpny
u	u	Sa
društveni	društven	Agpmsayn
kapital	kapital	Ncmsan
pravnih	pravni	Agpfpgy
osoba	osoba	Ncfpg
nastalih	nastao	Agpfpgy
pretvorbom	pretvorba	Ncfsi
)	)	Z
izazvalo	izazvati	Vmp-sn
niz	niz	Ncmsan
prijepora	prijepor	Ncmpg
,	,	Z
dvojbi	dvojba	Ncfpg
i	i	Cc
međusobno	međusobno	Rgp
suprotstavljenih	suprotstaviti	Appnpgy
stajališta	stajalište	Ncnpg
,	,	Z
kako	kako	Cs
u	u	Sl
stručnoj	stručan	Agpfsly
literaturi	literatura	Ncfsl
,	,	Z
tako	tako	Rgp
i	i	Qo
u	u	Sl
praksi	praksa	Ncfsl
.	.	Z

Štoviše	štoviše	Rgp
,	,	Z
zbog	zbog	Sg
(	(	Z
dijametralno	dijametralno	Rgp
)	)	Z
suprotstavljenih	suprotstaviti	Appnpgy
stajališta	stajalište	Ncnpg
u	u	Sl
