načelima	načelo	Ncnpl
javnih	javan	Agpfpgy
dužnosti	dužnost	Ncfpg
,	,	Z
tijelo	tijelo	Ncnsn
koje	koji	Pi-nsn
vrši	vršiti	Vmr3s
procjenu	procjena	Ncfsa
da	da	Cs
li	li	Qq
kandidat	kandidat	Ncmsn
zadovoljava	zadovoljavati	Vmr3s
opće	opći	Agpmpay
uvjete	uvjet	Ncmpa
za	za	Sa
izbor	izbor	Ncmsan
,	,	Z
uputit	uputiti	Vmn
će	htjeti	Var3s
kandidata	kandidat	Ncmsay
da	da	Cs
od	od	Sg
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
pribavi	pribaviti	Vmr3s
mišljenje	mišljenje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dok	dok	Cs
Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
ne	ne	Qz
dostavi	dostaviti	Vmr3s
svoje	svoj	Px-nsa
mišljenje	mišljenje	Ncnsa
,	,	Z
kandidat	kandidat	Ncmsn
će	htjeti	Var3s
nesmetano	nesmetano	Rgp
nastaviti	nastaviti	Vmn
sa	sa	Si
učešćem	učešće	Ncnsi
u	u	Sl
postupku	postupak	Ncmsl
odabira	odabir	Ncmsg
,	,	Z
a	a	Cc
ako	ako	Cs
od	od	Sg
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
naknadno	naknadno	Rgp
dobije	dobiti	Vmr3s
mišljenje	mišljenje	Ncnsa
u	u	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
navodi	navoditi	Vmr3s
da	da	Cs
je	biti	Var3s
kandidat	kandidat	Ncmsn
u	u	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
,	,	Z
isti	isti	Agpmsny
će	htjeti	Var3s
izgubiti	izgubiti	Vmn
status	status	Ncmsan
kandidata	kandidat	Ncmpg
i	i	Cc
neće	htjeti	Var3s
moći	moći	Vmn
učestvovati	učestvovati	Vmn
u	u	Sl
daljnjem	daljnji	Agpmsly
postupku	postupak	Ncmsl
odabira	odabir	Ncmsg
.	.	Z

Konačan	konačan	Agpmsnn
odabir	odabir	Ncmsn
kandidata	kandidat	Ncmsg
neće	htjeti	Var3s
se	sebe	Px--sa
izvršiti	izvršiti	Vmn
prije	prija	Cs
nego	nego	Cs
što	što	Cs
Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
ne	ne	Qz
dostavi	dostaviti	Vmr3s
svoje	svoj	Px-nsa
mišljenje	mišljenje	Ncnsa
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Izabrani	izabran	Agpmsny
kandidat	kandidat	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
državljanin	državljanin	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
u	u	Sl
roku	rok	Ncmsl
6	6	Mdc
mjeseci	mjesec	Ncmpg
od	od	Sg
izbora	izbor	Ncmpg
dostaviti	dostaviti	Vmn
nadležnom	nadležan	Agpnsly
ministarstvu	ministarstvo	Ncnsl
dokaz	dokaz	Ncmsn
o	o	Sl
znanju	znanje	Ncnsl
hrvatskog	hrvatski	Agpmsgy
jezika	jezik	Ncmsg
razine	razina	Ncfsg
B2	b2	Ncfpg
po	po	Sl
Zajedničkom	zajednički	Agpmsly
europskom	europski	Agpmsly
referentnom	referentan	Agpmsly
