potencijali	potencijal	Ncmpn
«	«	Z
,	,	Z
»	»	Z
Program	program	Ncmsn
ruralnog	ruralan	Agpmsgy
razvoja	razvoj	Ncmsg
«	«	Z
i	i	Cc
operativnog	operativan	Agpmsgy
programa	program	Ncmsg
za	za	Sa
ribarstvo	ribarstvo	Ncnsa
kojim	koji	Pi-nsi
se	sebe	Px--sa
podržavaju	podržavati	Vmr3p
ciljevi	cilj	Ncmpn
Zajedničke	zajednički	Agpfsgy
ribarstvene	ribarstven	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
Integrirane	integrirati	Appfsgy
pomorske	pomorski	Agpfsgy
politike	politika	Ncfsg
financiranih	financirati	Agpfpgy
fondovima	fond	Ncmpi
EU	E	Npmsg
u	u	Sl
programskom	programski	Agpnsly
razdoblju	razdoblje	Ncnsl
2014.	2014.	Mdo
–	–	Z
2020.	2020.	Mdo
,	,	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
dodjelu	dodjela	Ncfsa
sredstava	sredstvo	Ncnpg
Fonda	fond	Ncmsg
mogu	moći	Vmr3p
podnijeti	podnijeti	Vmn
Korisnici	korisnik	Ncmpn
ako	ako	Cs
:	:	Z

–	a	Ncfpn
su	biti	Var3p
nositelji	nositelj	Ncmpn
EU	E	Npmsg
projekta	projekt	Ncmsg

–	a	Ncfpn
ulažu	ulagati	Vmr3p
vlastita	vlastit	Agpnpay
sredstva	sredstvo	Ncnpa
u	u	Sa
provedbu	provedba	Ncfsa
EU	E	Npmsg
projekta	projekt	Ncmsg
,	,	Z
s	sa	Si
time	taj	Pd-nsi
da	da	Cs
za	za	Sa
programsko	programski	Agpnsay
razdoblje	razdoblje	Ncnsa
2007.	2007.	Mdo
–	–	Z
2013.	2013.	Mdo
minimalno	minimalan	Agpnsny
zajedničko	zajednički	Agpnsny
učešće	učešće	Ncnsn
Korisnika	korisnik	Ncmpg
i	i	Cc
partnera	partner	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
15	15	Mdc
%	%	Z

–	–	Z
nisu	biti	Var3p
dobili	dobiti	Vmp-pm
bespovratna	bespovratan	Agpnpay
sredstva	sredstvo	Ncnpa
iz	iz	Sg
drugih	drugi	Mlofpg
javnih	javan	Agpmpgy
nacionalnih	nacionalan	Agpmpgy
izvora	izvor	Ncmpg
sa	sa	Sg
središnje	središnji	Agpfsgy
razine	razina	Ncfsg
(	(	Z
državni	državni	Agpmsny
proračun	proračun	Ncmsn
:	:	Z
od	od	Sg
proračunskih	proračunski	Agpfpgy
i	i	Cc
izvanproračunskih	izvanproračunski	Agpmpgy
korisnika	korisnik	Ncmpg
)	)	Z
za	za	Sa
sufinanciranje	sufinanciranje	Ncnsa
EU	E	Npmsg
projekta	projekt	Ncmsg
za	za	Sa
koja	koji	Pi-npa
traže	tražiti	Vmr3p
sredstva	sredstvo	Ncnpa
Fonda	fond	Ncmsg

–	i	Agpnsny
za	za	Sa
EU	EU	Npmsan
projekt	projekt	Ncmsan
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
traži	tražiti	Vmr3s
sufinanciranje	sufinanciranje	Ncnsa
sredstvima	sredstvo	Ncnpi
Fonda	fond	Ncmsg
nije	biti	Var3s
odobreno	odobren	Agpnsny
završno	završan	Agpnsny
izvješće	izvješće	Ncnsn
do	do	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
dodjelu	dodjela	Ncfsa
sredstava	sredstvo	Ncnpg
Fonda	fond	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
okviru	okvir	Ncmsl
programa	program	Ncmsg
Europske	europski	Agpfsgy
teritorijalne	teritorijalan	Agpfsgy
suradnje	suradnja	Ncfsg
u	u	Sl
kojima	koji	Pi-fpl
sudjeluje	sudjelovati	Vmr3s
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
(	(	Z
prekogranični	prekogranični	Agpmpny
,	,	Z
transnacionalni	transnacionalan	Agpmpny
i	i	Cc
međuregionalni	međuregionalan	Agpmpny
programi	program	Ncmpn
)	)	Z
,	,	Z
navedenih	navesti	Appmpgy
u	u	Sl
Zakonima	zakon	Ncmpl
u	u	Sl
članku	članak	Ncmsl
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
dodjelu	dodjela	Ncfsa
