prijelaznoj	prijelazan	Agpfsly
instituciji	institucija	Ncfsl
ili	ili	Cc
nositelju	nositelj	Ncmsl
upravljanja	upravljanje	Ncnsg
imovinom	imovina	Ncfsi

e	e	I
)	)	Z
za	za	Sa
plaćanje	plaćanje	Ncnsa
naknade	naknada	Ncfsg
štete	šteta	Ncfsg
dioničarima	dioničar	Ncmpd
ili	ili	Cc
vjerovnicima	vjerovnik	Ncmpd
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
108.	108.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

f	a	Ncfpn
)	)	Z
nadoknade	nadoknaditi	Vmr3p
instituciji	institucija	Ncfsl
u	u	Sl
sanaciji	sanacija	Ncfsl
iznosa	iznos	Ncmsg
nastalog	nastao	Agpmsgy
isključenjem	isključenje	Ncnsi
podložnih	podložan	Agpfpgy
obveza	obveza	Ncfpg
određenih	određen	Agpmpgy
vjerovnika	vjerovnik	Ncmpg
od	od	Sg
primjene	primjena	Ncfsg
instrumenta	instrument	Ncmsg
unutarnje	unutarnji	Agpfsgy
sanacije	sanacija	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
67.	67.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
i	i	Cc
člankom	članak	Ncmsi
68.	68.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
do	do	Sg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

g	g	Y
)	)	Z
za	za	Sa
pozajmljivanje	pozajmljivanje	Ncnsa
drugim	drugi	Agpmpiy
sanacijskim	sanacijski	Agpmpiy
fondovima	fond	Ncmpi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
121.	121.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

h	h	Y
)	)	Z
za	za	Sa
poduzimanje	poduzimanje	Ncnsa
bilo	bilo	Cc
koje	koji	Pi-fpn
kombinacije	kombinacija	Ncfpn
mjera	mjera	Ncfpg
iz	iz	Sg
točaka	točka	Ncfpg
a	a	Cc
)	)	Z
do	do	Sg
g	g	Ncfsg
)	)	Z
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg

i	i	Cc
)	)	Z
za	za	Sa
plaćanje	plaćanje	Ncnsa
svih	sav	Agpmpgy
opravdanih	opravdati	Agpmpgy
izdataka	izdatak	Ncmpg
sanacijskih	sanacijski	Agpnpgy
tijela	tijelo	Ncnpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
primjenom	primjena	Ncfsi
sanacijskih	sanacijski	Agpmpgy
instrumenata	instrument	Ncmpg
ili	ili	Cc
ovlasti	ovlast	Ncfpg
ako	ako	Cs
nisu	biti	Var3p
nadoknađeni	nadoknaditi	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
56.	56.	Mdo
stavkom	stavak	Ncmsi
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pri	pri	Sl
primjeni	primjena	Ncfsl
sanacijskog	sanacijski	Agpmsgy
instrumenta	instrument	Ncmsg
prodaje	prodaja	Ncfsg
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
može	moći	Vmr3s
koristiti	koristiti	Vmn
sredstva	sredstvo	Ncnpa
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
i	i	Cc
za	za	Sa
poduzimanje	poduzimanje	Ncnsa
mjera	mjera	Ncfpg
iz	iz	Sg
stavka	stavka	Ncfpg
1.	1.	Mdo
točaka	točka	Ncfpg
a	a	Cc
)	)	Z
do	do	Sg
h	h	Ncfsg
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
kupca	kupac	Ncmsay
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sredstva	sredstvo	Ncnsg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
ne	ne	Qz
koriste	koristiti	Vmr3p
se	sebe	Px--sa
izravno	izravan	Agpnsny
za	za	Sa
nadoknađivanje	nadoknađivanje	Ncnsa
gubitaka	gubitak	Ncmpg
ili	ili	Cc
za	za	Sa
dokapitalizaciju	dokapitalizacija	Ncfsa
institucije	institucija	Ncfsg
ili	ili	Cc
subjekta	subjekt	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
ili	ili	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
korištenje	korištenje	Ncnsn
sredstava	sredstvo	Ncnpg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
za	za	Sa
potrebe	potreba	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
neizravno	neizravno	Rgp
dovede	dovesti	Vmr3s
do	do	Sg
toga	taj	Pd-nsg
da	da	Cs
se	sebe	Px--sa
dio	dio	Ncmsn
gubitaka	gubitak	Ncmpg
institucije	institucija	Ncfsg
ili	ili	Cc
subjekta	subjekt	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
3.	3.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
ili	ili	Cc
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
pokrije	pokriti	Vmr3s
iz	iz	Sg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
,	,	Z
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
načela	načelo	Ncnpg
za	za	Sa
korištenje	korištenje	Ncnsa
sredstava	sredstvo	Ncnpg
sanacijskog	sanacijski	Agpmsgy
fonda	fond	Ncmsg
utvrđena	utvrditi	Appfsny
u	u	Sl
člancima	članak	Ncmpl
66.	66.	Mdo
do	do	Sg
68.	68.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

