prisutnosti	prisutnost	Ncfpa
uzročnika	uzročnik	Ncmpg
proljetne	proljetni	Agpfsgy
viremije	viremija	Ncfsg
šarana	šaran	Ncmpg
,	,	Z
Koi-herpes	koi-herpei	Agpfsgy
viroze	viroza	Ncfsg
,	,	Z
virusne	virusni	Agpfsgy
hemoragijske	hemoragijski	Agpfsgy
septikemije	septikemija	Ncfsg
i	i	Cc
zarazne	zarazan	Agpfsgy
hematopoetske	hematopoetski	Agpfsgy
nekroze	nekroza	Ncfsg
na	na	Sl
uzgajalištima	uzgajalište	Ncnpl
riba	ribati	Vmr3s
,	,	Z
te	te	Cc
bonamioze	bonamioz	Ncmpa
i	i	Cc
marteilioze	marteiliozi	Agpfpny
na	na	Sl
proizvodnim	proizvodni	Agpnply
područjima	područje	Ncnpl
za	za	Sa
uzgoj	uzgoj	Ncmsan
školjkaša	školjkaš	Ncmpg
,	,	Z
provode	provoditi	Vmr3p
se	sebe	Px--sa
sljedeći	sljedeći	Agpmpny
programi	program	Ncmpn
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
Program	program	Ncmsn
nadziranja	nadziranje	Ncnsg
zdravlja	zdravlje	Ncnsg
akvatičnih	akvatičan	Agpfpgy
životinja	životinja	Ncfpg
prijemljivih	prijemljiv	Agpfpgy
na	na	Sa
Koi-herpes	koi-herpes	Ncmsan
virozu	viroza	Ncfsa
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1913	01/1913	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0264	10/0264	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
;	;	Z

(	(	Z
b	b	X
)	)	Z
Program	program	Ncmsan
nadziranja	nadziranje	Ncnsg
zdravlja	zdravlje	Ncnsg
akvatičnih	akvatičan	Agpfpgy
životinja	životinja	Ncfpg
prijemljivih	prijemljiv	Agpfpgy
na	na	Sa
virusnu	virusni	Agpfsay
hemoragijsku	hemoragijski	Agpfsay
septikemiju	septikemija	Ncfsa
i	i	Cc
zaraznu	zarazan	Agpfsay
hematopoetsku	hematopoetski	Agpfsay
nekrozu	nekroza	Ncfsa
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1914	01/1914	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0264	10/0264	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
;	;	Z

(	(	Z
c	C	Npmsn
)	)	Z
Program	program	Ncmsan
nadziranja	nadziranje	Ncnsg
zdravlja	zdravlje	Ncnsg
akvatičnih	akvatičan	Agpfpgy
životinja	životinja	Ncfpg
prijemljivih	prijemljiv	Agpfpgy
na	na	Sa
infekciju	infekcija	Ncfsa
s	sa	Si
Marteilia	Marteili	Npmsay
refringens	refring	Ncmpi
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1915	01/1915	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0264	10/0264	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
;	;	Z

(	(	Z
d	d	Qr
)	)	Z
Program	program	Ncmsan
nadziranja	nadziranje	Ncnsg
zdravlja	zdravlje	Ncnsg
akvatičnih	akvatičan	Agpfpgy
životinja	životinja	Ncfpg
prijemljivih	prijemljiv	Agpfpgy
na	na	Sa
infekciju	infekcija	Ncfsa
s	sa	Si
Bonamia	Bonami	Npmsay
ostreae	ostreaa	Ncfsg
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1916	01/1916	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
10/0264	10/0264	Mdc
-	-	Z
14	14	Mdc
-	-	Z
1	1	Mdc
)	)	Z
,	,	Z

(	(	Z
e	e	I
)	)	Z
Program	program	Ncmsan
nadziranja	nadziranje	Ncnsg
zdravlja	zdravlje	Ncnsg
akvatičnih	akvatičan	Agpfpgy
životinja	životinja	Ncfpg
prijemljivih	prijemljiv	Agpfpgy
na	na	Sa
proljetnu	proljetni	Agpfsay
viremiju	viremija	Ncfsa
šarana	šaran	Ncmsg
(	(	Z
KLASA	klasa	Ncfsn
:	:	Z
322	322	Mdc
-	-	Z
01/14	01/14	Mdc
-	-	Z
01/1917	01/1917	Mdc
,	,	Z
URBROJ	urbroj	Ncmsn
:	:	Z
525	525	Mdc
-	-	Z
