ograničen	ograničiti	Appmsnn
pomoću	pomoć	Sg
fiksnih	fiksan	Agpmpgy
,	,	Z
ali	ali	Cc
prilagodljivih	prilagodljiv	Agpmpgy
graničnika	graničnik	Ncmpg
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
klinovi	klin	Ncmpn
ili	ili	Cc
zubi	zub	Ncmpn
.	.	Z

Slijed	slijed	Ncmsn
pokreta	pokret	Ncmsg
i	i	Cc
odabir	odabir	Ncmsan
putanje	putanja	Ncfsg
ili	ili	Cc
kutova	kut	Ncmpg
je	biti	Var3s
promjenjiv	promjenjiv	Agpmsnn
u	u	Sl
okviru	okvir	Ncmsl
fiksnog	fiksan	Agpmsgy
programiranog	programirati	Agpmsgy
uzorka	uzorak	Ncmsg
.	.	Z

Varijacije	varijacija	Ncfpn
ili	ili	Cc
izmjene	izmjena	Ncfpa
programiranog	programirati	Agpmsgy
uzorka	uzorak	Ncmsg
(	(	Z
npr.	npr.	Y
promjena	promjena	Ncfsn
klinova	klin	Ncmpg
ili	ili	Cc
zamjena	zamjena	Ncfsn
zuba	zub	Ncmpg
)	)	Z
u	u	Sl
jednoj	jedan	Mlcfsl
ili	ili	Cc
više	mnogo	Rgc
osi	os	Ncfsg
kretanja	kretanje	Ncnsg
postižu	postizati	Vmr3p
se	sebe	Px--sa
samo	samo	Rgp
mehaničkim	mehanički	Agpnsiy
djelovanjem	djelovanje	Ncnsi
;	;	Z

4.	4.	Mdo
Manipulacijski	manipulacijski	Agpmpny
mehanizmi	mehanizam	Ncmpn
bez	bez	Sg
nadzora	nadzor	Ncmsg
servo-uređaja	servo-uređaj	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
automatizirani	automatizirati	Appmpny
pokretni	pokretan	Agpmpny
uređaji	uređaj	Ncmpn
s	sa	Si
promjenjivom	promjenjiv	Agpfsiy
sekvencom	sekvenca	Ncfsi
(	(	Z
slijedom	slijed	Ncmsi
)	)	Z
koji	koji	Pi-mpn
rade	raditi	Vmr3p
sukladno	sukladno	Rgp
mehanički	mehanički	Agpmsayn
utvrđenim	utvrditi	Agpmpiy
programiranim	programirati	Agpmpiy
pokretima	pokret	Ncmpi
.	.	Z

Program	program	Ncmsn
može	moći	Vmr3s
biti	biti	Van
varijabilan	varijabilan	Agpmsnn
,	,	Z
ali	ali	Cc
sekvenca	sekvenca	Ncfsn
(	(	Z
slijed	slijed	Ncmsn
)	)	Z
se	sebe	Px--sa
odvija	odvijati	Vmr3s
samo	samo	Rgp
na	na	Sl
temelju	temelj	Ncmsl
binarnog	binaran	Agpmsgy
signala	signal	Ncmsg
od	od	Sg
mehanički	mehanički	Ncfpg
utvrđenih	utvrditi	Appmpgy
električnih	električan	Agpmpgy
binarnih	binaran	Agpmpgy
uređaja	uređaj	Ncmpg
ili	ili	Cc
podesivih	podesiv	Agpmpgy
graničnika	graničnik	Ncmpg
;	;	Z

5.	5.	Mdo
Skladišne	skladišni	Agpfpny
dizalice	dizalica	Ncfpn
(	(	Z
kranovi	kran	Ncmpn
)	)	Z
definirane	definirati	Vmr3p
kao	kao	Cs
Kartezijanski	kartezijanski	Agpmsny
koordinatni	koordinatni	Agpmpny
manipulacijski	manipulacijski	Agpmpny
mehanizmi	mehanizam	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
proizvedeni	proizvesti	Appmpny
kao	kao	Cs
integralni	integralan	Agpmsny
dio	dio	Ncmsn
vertikalnog	vertikalan	Agpnsgy
skladištenja	skladištenje	Ncnsg
na	na	Sl
policama	polica	Ncfpl
,	,	Z
i	i	Cc
konstruirani	konstruirati	Appmpny
su	biti	Var3p
za	za	Sa
dohvat	dohvat	Ncmsan
sadržaja	sadržaj	Ncmpg
u	u	Sl
pretincima	pretinac	Ncmpl
na	na	Sl
policama	polica	Ncfpl
u	u	Sa
svrhu	svrha	Ncfsa
pohrane	pohrana	Ncfsg
ili	ili	Cc
vađenja	vađenje	Ncnsg
.	.	Z

ML21	ML21	Mdm
.	.	Z

»	»	Z
Softver	softver	Ncmsn
«	«	Z

Skupina	skupina	Ncfsn
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
»	»	Z
programa	program	Ncmpg
«	«	Z
ili	ili	Cc
»	»	Z
mikroprograma	mikroprogram	Ncmpg
«	«	Z
fiksiranih	fiksirati	Appmpgy
na	na	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
opipljivom	opipljiv	Agpmsly
mediju	medij	Ncmsl
za	za	Sa
zapisivanje	zapisivanje	Ncnsa
.	.	Z

ML20	ML20	Mdm
.	.	Z

»	»	Z
Supervodljivi	supervodljiv	Agpmpny
«	«	Z

Odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
materijale	materijal	Ncmpa
(	(	Z
tj.	tj.	Y
metali	metati	Vmp-pm
,	,	Z
slitine	slitina	Ncfpn
ili	ili	Cc
spojevi	spoj	Ncmpn
)	)	Z
koji	koji	Pi-mpn
mogu	moći	Vmr3p
izgubiti	izgubiti	Vmn
cjelokupni	cjelokupan	Agpmsayn
električni	električan	Agpmsayn
otpor	otpor	Ncmsan
(	(	Z
tj.	tj.	Y
koji	koji	Pi-mpn
mogu	moći	Vmr3p
postići	postići	Vmn
beskonačnu	beskonačan	Agpfsay
električnu	električan	Agpfsay
vodljivost	vodljivost	Ncfsa
i	i	Cc
provoditi	provoditi	Vmn
vrlo	vrlo	Rgp
jake	jak	Agpfpay
električne	električan	Agpfpay
struje	struja	Ncfpa
bez	bez	Sg
Jouleovog	jouleov	Agpnsgy
zagrijavanja	zagrijavanje	Ncnsg
.	.	Z
)	)	Z

»	»	Z
Kritična	kritičan	Agpfsny
temperatura	temperatura	Ncfsn
«	«	Z
(	(	Z
ponekad	ponekad	Rgp
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
temperaturu	temperatura	Ncfsa
prijenosa	prijenos	Ncmsg
)	)	Z
određenog	određen	Agpmsgy
»	»	Z
supervodljivog	supervodljivog	Ncfpg
«	«	Z
materijala	materijal	Ncmpg
je	biti	Var3s
temperatura	temperatura	Ncfsn
pri	pri	Sl
kojoj	koji	Pi-fsl
materijal	materijal	Ncmsn
gubi	gubiti	Vmr3s
sav	sav	Agpmsann
otpor	otpor	Ncmsan
na	na	Sa
tok	tok	Ncmsan
izravne	izravan	Agpfsgy
električne	električan	Agpfsgy
struje	struja	Ncfsg
.	.	Z

Tehnička	tehnički	Agpfsny
napomena	napomena	Ncfsn

»	»	Z
Supervodljivo	supervodljiv	Agpnsny
«	«	Z
stanje	stanje	Ncnsn
materijala	materijal	Ncmsg
je	biti	Var3s
individualno	individualno	Rgp
karakterizirano	karakterizirati	Appnsny
»	»	Z
kritičnom	kritičan	Agpfsiy
temperaturom	temperatura	Ncfsi
«	«	Z
,	,	Z
kritičnim	kritičan	Agpnsiy
magnetskim	magnetski	Agpnsiy
poljem	polje	Ncnsi
koje	koji	Pi-nsn
je	biti	Var3s
funkcija	funkcija	Ncfsn
temperature	temperatura	Ncfsg
i	i	Cc
kritičnom	kritičan	Agpfsiy
gustoćom	gustoća	Ncfsi
struje	struja	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
,	,	Z
međutim	međutim	Rgp
,	,	Z
funkcija	funkcija	Ncfsn
i	i	Cc
magnetskog	magnetski	Agpnsgy
polja	polje	Ncnsg
i	i	Cc
temperature	temperatura	Ncfsg
.	.	Z

ML	ML	Npfsn
11.	11.	Mdo

»	»	Z
Svemirska	svemirski	Agpfsny
letjelica	letjelica	Ncfsn
«	«	Z

Aktivni	aktivan	Agpmsny
i	i	Cc
pasivni	pasivan	Agpmpny
sateliti	satelit	Ncmpn
i	i	Cc
svemirske	svemirski	Agpfsgy
sonde	sonda	Ncfsg
.	.	Z

ML22	ML22	Mdm
.	.	Z

»	»	Z
Tehnologija	tehnologija	Ncfsn
«	«	Z

Specifična	specifičan	Agpfsny
informacija	informacija	Ncfsn
nužna	nužan	Agpfsny
za	za	Sa
»	»	Agpmsayn
razvoj	razvoj	Ncmsan
«	«	Z
,	,	Z
»	»	Z
proizvodnju	proizvodnja	Ncfsa
«	«	Z
ili	ili	Cc
»	»	Z
uporabu	uporaba	Ncfsa
«	«	Z
određenog	određen	Agpmsgy
proizvoda	proizvod	Ncmsg
.	.	Z

Informacija	informacija	Ncfsn
ima	imati	Vmr3s
oblik	oblik	Ncmsan
‚	‚	Z
tehničkih	tehnički	Agpmpgy
podataka	podatak	Ncmpg
’	’	Z
ili	ili	Cc
‚	e	Ncnsl
tehničke	tehnički	Agpfsgy
ispomoći	ispomoć	Ncfsg
’	’	Z
.	.	Z

Kontrolirana	kontrolirati	Appfsny
»	»	Z
tehnologija	tehnologija	Ncfsn
«	«	Z
za	za	Sa
Zajednički	zajednički	Agpmsayn
popis	popis	Ncmsan
robe	roba	Ncfsg
vojne	vojni	Agpfsgy
namjene	namjena	Ncfsg
EU-a	EU	Npmsg
navedena	navesti	Appfsny
je	biti	Var3s
u	u	Sl
ML22	ml2a	Ncfsl
.	.	Z

Tehničke	tehnički	Agpfpny
napomene	napomena	Ncfpn

1.	1.	Mdo
,	,	Z
Tehnički	tehnički	Agpmpny
podaci	podatak	Ncmpn
’	’	Z
mogu	moći	Vmr3p
biti	biti	Van
u	u	Sl
oblicima	oblik	Ncmpl
kao	kao	Cs
što	što	Cs
su	biti	Var3p
nacrti	nacrt	Ncmpn
,	,	Z
planovi	plan	Ncmpn
,	,	Z
dijagrami	dijagram	Ncmpn
,	,	Z
modeli	model	Ncmpn
,	,	Z
formule	formula	Ncfpn
,	,	Z
tablice	tablica	Ncfpn
,	,	Z
inženjerski	inženjerski	Agpmpny
nacrti	nacrt	Ncmpn
i	i	Cc
specifikacije	specifikacija	Ncfpn
,	,	Z
priručnici	priručnik	Ncmpn
i	i	Cc
upute	uputa	Ncfpn
napisani	napisati	Appmpny
ili	ili	Cc
snimljeni	snimiti	Appmpny
na	na	Sl
drugim	drugi	Agpmply
medijima	medij	Ncmpl
ili	ili	Cc
uređajima	uređaj	Ncmpl
kao	kao	Cs
što	što	Cs
su	biti	Var3p
disk	disk	Ncmsn
,	,	Z
vrpca	vrpca	Ncfsn
,	,	Z
memorije	memorija	Ncfpn
samo	samo	Rgp
za	za	Sa
čitanje	čitanje	Ncnsa
.	.	Z

2.	2.	Mdo
,	,	Z
Tehnička	tehnički	Agpfsny
ispomoć	ispomoć	Ncfsn
’	’	Z
može	moći	Vmr3s
biti	biti	Van
u	u	Sl
obliku	oblik	Ncmsl
instrukcija	instrukcija	Ncfpg
,	,	Z
vještina	vještina	Ncfsn
,	,	Z
obuke	obuka	Ncfsg
,	,	Z
radnih	radni	Agpnpgy
znanja	znanje	Ncnpg
i	i	Cc
konzultantskih	konzultantski	Agpfpgy
usluga	usluga	Ncfpg
.	.	Z
,	,	Z
Tehnička	tehnički	Agpfsny
ispomoć	ispomoć	Ncfsn
’	’	Z
može	moći	Vmr3s
uključivati	uključivati	Vmn
prijenos	prijenos	Ncmsan
,	,	Z
tehničkih	tehnički	Agpmpgy
podataka	podatak	Ncmpg
’	’	Z
.	.	Z

ML22	ML22	Mdm
.	.	Z

»	»	Z
Temeljna	temeljan	Agpnpay
znanstvena	znanstven	Agpnpay
istraživanja	istraživanje	Ncnpa
«	«	Z

Eksperimentalna	eksperimentalan	Agpfsny
ili	ili	Cc
teoretska	teoretski	Agpnpay
istraživanja	istraživanje	Ncnpa
koja	koji	Pi-npn
se	sebe	Px--sa
načelno	načelno	Rgp
koriste	koristiti	Vmr3p
za	za	Sa
usvajanje	usvajanje	Ncnsa
novih	nov	Agpnpgy
znanja	znanje	Ncnpg
o	o	Sl
temeljnim	temeljan	Agpnply
načelima	načelo	Ncnpl
pojava	pojava	Ncfpg
ili	ili	Cc
uočenih	uočiti	Appfpgy
činjenica	činjenica	Ncfpg
,	,	Z
koja	koji	Pi-npn
nisu	biti	Var3p
izravno	izravno	Rgp
usmjerena	usmjeriti	Appfsny
ka	k	Ncfsn
nekom	neki	Pi-msl
specifičnom	specifičan	Agpmsly
cilju	cilj	Ncmsl
ili	ili	Cc
praktičnoj	praktičan	Agpfsly
primjeni	primjena	Ncfsl
.	.	Z

ML22	ML22	Mdm
.	.	Z

»	»	Z
U	u	Sl
javnoj	javan	Agpfsly
domeni	domena	Ncfsl
«	«	Z

Ovo	ovaj	Pd-nsn
znači	značiti	Vmr3s
»	»	Z
tehnologija	tehnologija	Ncfsn
«	«	Z
ili	ili	Cc
»	»	Z
softver	softver	Ncmsn
«	«	Z
koji	koji	Pi-mpn
su	biti	Var3p
dostupni	dostupan	Agpmpny
za	za	Sa
javnu	javan	Agpfsay
uporabu	uporaba	Ncfsa
bez	bez	Sg
ograničenja	ograničenje	Ncnsg
za	za	Sa
njihovu	njihov	Ps3fsa
daljnju	daljnji	Agpfsay
distribuciju	distribucija	Ncfsa
.	.	Z

Napomena	napomena	Ncfsn
:	:	Z
Ograničenja	ograničenje	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
autorskim	autorski	Agpnpiy
pravima	pravo	Ncnpi
ne	ne	Qz
izdvajaju	izdvajati	Vmr3p
»	»	Z
tehnologiju	tehnologija	Ncfsa
«	«	Z
ili	ili	Cc
»	»	Z
softver	softver	Ncmsn
«	«	Z
od	od	Sg
toga	taj	Pd-nsg
da	da	Cs
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
»	»	Z
u	u	Sl
javnoj	javan	Agpfsly
domeni	domena	Ncfsl
«	«	Z
.	.	Z

ML21	ML21	Mdm
.	.	Z
,	,	Z
22.	22.	Mdo

»	»	Z
Upotreba	upotreba	Ncfsn
«	«	Z

Korištenje	korištenje	Ncnsn
,	,	Z
ugradnja	ugradnja	Ncfsn
(	(	Z
uključujući	uključivati	Rr
ugradnju	ugradnja	Ncfsa
na	na	Sl
licu	lice	Ncnsl
mjesta	mjesto	Ncnsg
)	)	Z
,	,	Z
održavanje	održavanje	Ncnsn
(	(	Z
provjera	provjera	Ncfsn
)	)	Z
,	,	Z
popravak	popravak	Ncmsan
,	,	Z
remont	remont	Ncmsan
i	i	Cc
obnavljanje	obnavljanje	Ncnsa
.	.	Z

ML13	ML13	Mdm
.	.	Z

»	»	Z
Vlaknasti	vlaknast	Agpmsny
ili	ili	Cc
filamentni	filamentan	Agpmpny
materijali	materijal	Ncmpn
«	«	Z

Uključuju	uključivati	Vmr3p
:	:	Z

a.	a.	Ncfsn
neprekinute	neprekinut	Agpfsgy
monofilamente	monofilamenta	Ncfsg
;	;	Z

b.	b.	Y
neprekinute	neprekinut	Agpfsgy
pređe	pređa	Ncfsg
i	i	Cc
prediva	predivo	Ncnsg
;	;	Z

c.	c.	Mdo
vrpce	vrpca	Ncfsg
,	,	Z
tkanine	tkanina	Ncfsg
,	,	Z
nasumične	nasumičan	Agpfsgy
prostirke	prostirka	Ncfsg
i	i	Cc
pletenice	pletenica	Ncfsg
;	;	Z

d.	d.	Npfsn
rezana	rezati	Agpnpay
vlakna	vlakno	Ncnpa
,	,	Z
vlaknasta	vlaknast	Agpnpny
vlakna	vlakno	Ncnpn
i	i	Cc
koherentne	koherentan	Agpmpay
vlaknaste	vlaknast	Agpmpay
prekrivače	prekrivač	Ncmpa
;	;	Z

e.	e.	I
niti	niti	Qo
,	,	Z
monokristalne	monokristalan	Agpfsgy
ili	ili	Cc
polikristalne	polikristalan	Agpfpny
,	,	Z
bilo	bilo	Qo
koje	koji	Pi-fsg
duljine	duljina	Ncfsg
;	;	Z

f.	f.	Mro
aromatsku	aromatski	Agpfsay
poliamidnu	poliamidan	Agpfsay
kašu	kaša	Ncfsa
.	.	Z

ML10	ML10	Mdm
.	.	Z

»	»	Z
Vozila	vozilo	Ncnsg
lakša	lak	Agcfsny
od	od	Sg
