limfnog	limfni	Agpmsgy
čvora	čvor	Ncmsg
kod	kod	Sg
djeteta	dijete	Ncnsg
8,90	8,90	Mdc
1.958,00	1.958,00	Mdc
PE063	PE063	Mdo
Biopsija	biopsija	Ncfsn
kosti	kost	Ncfsg
kod	kod	Sg
djeteta	dijete	Ncnsg
9,02	9,02	Mdc
1.984,40	1.984,40	Mdc
PE064	pe06i	Agpnsny
Uzimanje	uzimanje	Ncnsn
koštane	koštan	Agpfsgy
srži	srž	Ncfsg
za	za	Sa
transplantaciju	transplantacija	Ncfsa
djetetu	dijete	Ncnsd
17,74	17,74	Mdc
3.902,80	3.902,80	Mdc
PE065	PE065	Mdc
Intratekalna	Intratekaln	Npmsg
i	i	Cc
intraventrikularna	intraventrikularni	Agpfsny
aplikacija	aplikacija	Ncfsn
kemoterapije	kemoterapija	Ncfsg
kod	kod	Sg
djeteta	dijete	Ncnsg
(	(	Z
11	11	Mdc
)	)	Z
3,23	3,23	Mdc
710,60	710,60	Mdc
PE066	pe06i	Agpnsny
Postavljanje	postavljanje	Ncnsn
urinarnog	urinarni	Agpmsgy
katetera	kateter	Ncmsg
novorođenčetu	novorođenče	Ncnsd
1,48	1,48	Mdc
325,60	325,60	Mdc
PE067	PE067	Mdc
Invazivni	invazivan	Agpmsny
monitorski	monitorski	Agpmsny
nadzor	nadzor	Ncmsn
vitalnih	vitalan	Agpfpgy
funkcija	funkcija	Ncfpg
djeteta	dijete	Ncnsg
Središnji	središnji	Agpmsny
venski	venski	Agpmsny
tlak	tlak	Ncmsn
,	,	Z
EKG	EKG	Npmsn
,	,	Z
respiracija	respiracija	Ncfsn
,	,	Z
invanzivni	invanzivan	Agpmsayn
aretrijski	aretrijski	Agpmsayn
tlak	tlak	Ncmsan
s	sa	Si
uvođenjem	uvođenje	Ncnsi
katetera	kateter	Ncmsg
i	i	Cc
monitoring	monitoring	Ncmsan
u	u	Sl
dnevno	dnevno	Rgp
bolničkoj	bolnički	Agpfsly
opskrbi	opskrba	Ncfsl
16,00	16,00	Mdc
3.520,00	3.520,00	Mdc
PE068	PE068	Mdc
Neinvanzivni	neinvanzivan	Agpmsny
monitorski	monitorski	Agpmsny
nadzor	nadzor	Ncmsn
vitalnih	vitalan	Agpfpgy
funkcija	funkcija	Ncfpg
kod	kod	Sg
djeteta	dijete	Ncnsg
Pulsna	pulsni	Agpfsny
oksimetrija	oksimetrija	Ncfsn
,	,	Z
EKG	EKG	Npmsn
,	,	Z
neinvanzivni	neinvanzivan	Agpmsayn
arterijski	arterijski	Agpmsayn
tlak	tlak	Ncmsan
i	i	Cc
monitoring	monitoring	Ncmsn
u	u	Sl
dnevnoj	dnevni	Agpfsly
bolničkoj	bolnički	Agpfsly
opskrbi	opskrba	Ncfsl
3,30	3,30	Mdc
726,00	726,00	Mdc
PE069	PE069	Mdo
Izrada	izrada	Ncfsn
protokola	protokol	Ncmsg
i	i	Cc
edukacija	edukacija	Ncfpg
kod	kod	Sg
djece	dijete	Ncnpg
oboljele	oboljeo	Agpfsgy
od	od	Sg
rijetkih	rijedak	Agpmpgy
metaboličkih	metabolički	Agpmpgy
ili	ili	Cc
rijetkih	rijedak	Agpfpgy
genetskih	genetski	Agpfpgy
bolesti	bolest	Ncfpg
Samo	samo	Rgp
u	u	Sl
klinici	klinika	Ncfsl
8,51	8,51	Mdc
1.872,20	1.872,20	Mdc
PE070	pe07i	Agpnsny
Savjetovanje	savjetovanje	Ncnsn
roditelja	roditelj	Ncmpg
/	/	Z
skrbnika	skrbnik	Ncmsg
vitalno	vitalno	Rgp
ugroženog	ugroziti	Appnsgy
ili	ili	Cc
maligno	maligno	Rgp
oboljelog	oboljeo	Agpnsgy
djeteta	dijete	Ncnsg
Provodi	provod	Agpmsny
liječnik	liječnik	Ncmsn
specijalist	specijalist	Ncmsn
/	/	Z
subspecijalist	subspecijalist	Ncmsn
koji	koji	Pi-msn
vodi	voditi	Vmr3s
liječenje	liječenje	Ncnsa
djeteta	dijete	Ncnsg
u	u	Sl
Klinikama	klinika	Ncfpl
.	.	Z

Može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
pregled	pregled	Ncmsan
i	i	Cc
u	u	Sl
dnevnoj	dnevni	Agpfsly
bolnici	bolnica	Ncfsl
.	.	Z
2,13	2,13	Mdc
468,60	468,60	Mdc
PE071	PE071	Mdc
Uroterapija	Uroterapi	Npmsg
s	sa	Si
biofeedbackom	biofeedbacka	Ncfsi
Uključuje	uključivati	Vmr3s
SK054	SK054	Mdc
,	,	Z
PE041	PE041	Mdc
,	,	Z
UZ018	UZ018	Mdc
14,14	14,14	Mdc
3.110,80	3.110,80	Mdc
PL001	PL001	Mdc
Psihodijagnostička	psihodijagnostički	Agpfsny
obrada	obrada	Ncfsn
psihologa	psiholog	Ncmsg
Uključuje	uključivati	Vmr3s
:	:	Z
intervju	intervju	Ncmsn
,	,	Z
opažanje	opažanje	Ncnsa
ponašanja	ponašanje	Ncnsg
,	,	Z
testiranje	testiranje	Ncnsn
inteligencije	inteligencija	Ncfsg
,	,	Z
ispitivanje	ispitivanje	Ncnsn
ličnosti	ličnost	Ncfsg
,	,	Z
analizu	analiza	Ncfsa
,	,	Z
interpretaciju	interpretacija	Ncfsa
i	i	Cc
integraciju	integracija	Ncfsa
rezultata	rezultat	Ncmpg
,	,	Z
pisanje	pisanje	Ncnsa
nalaza	nalaz	Ncmsg
i	i	Cc
mišljenja	mišljenje	Ncnsg
.	.	Z

Ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
obračunati	obračunati	Vmn
uz	uz	Sa
druge	drugi	Mlompa
DTP-ove	dtp-	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
rad	rad	Ncmsan
istog	isti	Agpmsgy
psihologa	psiholog	Ncmsg
.	.	Z

Provodi	provoditi	Vmr3s
klinički	klinički	Agpmsny
psiholog	psiholog	Ncmsn
/	/	Z
psiholog	psiholog	Ncmsn
.	.	Z
7,20	7,20	Mdc
1.584,00	1.584,00	Mdc
PL002	PL002	Mdc
Diferencijalna	diferencijalan	Agpfsny
psihodijagnostička	psihodijagnostički	Agpfsny
obrada	obrada	Ncfsn
psihologa	psiholog	Ncmsg
Uključuje	uključivati	Vmr3s
:	:	Z
intervju	intervju	Ncmsn
,	,	Z
testiranje	testiranje	Ncnsn
inteligencije	inteligencija	Ncfsg
,	,	Z
tehnike	tehnika	Ncfpa
za	za	Sa
procjenu	procjena	Ncfsa
drugih	drugi	Mlofpg
kognitivnih	kognitivan	Agpfpgy
funkcija	funkcija	Ncfpg
,	,	Z
upitnike	upitnik	Ncmpa
ličnosti	ličnost	Ncfsg
,	,	Z
upitnike	upitnik	Ncmpa
za	za	Sa
specifične	specifičan	Agpmpay
psihopatološke	psihopatološki	Agpmpay
poremećaje	poremećaj	Ncmpa
,	,	Z
projektivne	projektivan	Agpfpny
i	i	Cc
poluprojektivne	poluprojektivan	Agpfpay
tehnike	tehnika	Ncfpa
,	,	Z
opažanje	opažanje	Ncnsa
ponašanja	ponašanje	Ncnsg
,	,	Z
analizu	analiza	Ncfsa
,	,	Z
interpretaciju	interpretacija	Ncfsa
i	i	Cc
integraciju	integracija	Ncfsa
rezultata	rezultat	Ncmpg
,	,	Z
pisanje	pisanje	Ncnsa
nalaza	nalaz	Ncmsg
i	i	Cc
mišljenja	mišljenje	Ncnsg
.	.	Z

Ne	ne	Qz
može	moći	Vmr3s
