građevinskoj	građevinski	Agpfsly
inspekciji	inspekcija	Ncfsl
.	.	Z

II	ii	Mrc
.	.	Z

U	u	Sl
glavi	glava	Ncfsl
III	III	Mrc
.	.	Z

ZAJEDNIČKI	zajednički	Agpmpny
PRIHODI	prihod	Ncmpn
u	u	Sl
točki	točka	Ncfsl
2.	2.	Mdo
ZAJEDNIČKI	zajednički	Agpmsayn
PRIHOD	prihod	Ncmsan
DRŽAVNOGA	državni	Agpnsgy
,	,	Z
GRADSKIH	gradski	Agpfpgy
I	i	Cc
OPĆINSKIH	općinski	Agpmpgy
PRORAČUNA	proračun	Ncmpg
u	u	Sl
podtočki	podtočka	Ncfsl
2.4.	2.4.	Mds

Naknada	naknada	Ncfsn
za	za	Sa
koncesiju	koncesija	Ncfsa
za	za	Sa
zahvaćanje	zahvaćanje	Ncnsa
vode	voda	Ncfsg
za	za	Sa
javnu	javan	Agpfsay
vodoopskrbu	vodoopskrba	Ncfsa
iza	iza	Sg
PLOČA	ploča	Ncfpg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
POLIČNIK	poličnik	Ncmsn
a	a	Cc
iza	iza	Sg
RAVNE	ravan	Agpfsgy
GORE	Gora	Npfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
RAŽANAC	RAŽANAC	Npmsan
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR7910010051734528953	HR7910010051734528953	Mdc
POLIČNIK	poličnik	Ncmsn
HR3010010051737128950	HR3010010051737128950	X
RAŽANAC	RAŽANAC	Npmsan

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
2.9.	2.9.	Mds

Naknada	naknada	Ncfsn
za	za	Sa
koncesiju	koncesija	Ncfsa
za	za	Sa
zahvaćanje	zahvaćanje	Ncnsa
pitke	pitak	Agpfsgy
vode	voda	Ncfsg
i	i	Cc
prodaje	prodaja	Ncfsg
na	na	Sl
tržištu	tržište	Ncnsl
u	u	Sl
bocama	boca	Ncfpl
i	i	Cc
drugoj	drugi	Mlofsl
ambalaži	ambalaža	Ncfsl
iza	iza	Sg
OBROVCA	OBROVC	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
OTOČAC	OTOČAC	Npmsn
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR7910010051731329602	HR7910010051731329602	Npmsn
OTOČAC	OTOČAC	Npmsn

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
2.10.	2.10.	Mdo

Naknada	naknada	Ncfsn
za	za	Sa
skladištenje	skladištenje	Ncnsa
ugljikovodika	ugljikovodik	Ncmpg
u	u	Sl
geološkim	geološki	Agpfply
strukturama	struktura	Ncfpl
,	,	Z
ispred	ispred	Sg
KRIŽA	križ	Ncmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
GRUBIŠNO	grubišni	Agpnsny
POLJE	polje	Ncnsn
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR9010010051713929738	HR9010010051713929738	Mdc
GRUBIŠNO	grubišni	Agpnsny
POLJE	polje	Ncnsn

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
u	u	Sl
točki	točka	Ncfsl
3.	3.	Mdo
ZAJEDNIČKI	zajednički	Agpmsayn
PRIHOD	prihod	Ncmsan
DRŽAVNOGA	državni	Agpmsgy
,	,	Z
ŽUPANIJSKIH	županijski	Agpfpgy
,	,	Z
GRADSKIH	gradski	Agpmpgy
I	i	Cc
OPĆINSKIH	općinski	Agpmpgy
PRORAČUNA	proračun	Ncmpg
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
3.4.	3.4.	Mds

Prihod	prihod	Ncmsan
od	od	Sg
zakupa	zakup	Ncmsg
i	i	Cc
privremenog	privremen	Agpnsgy
korištenja	korištenje	Ncnsg
poljoprivrednog	poljoprivredni	Agpnsgy
zemljišta	zemljište	Ncnsg
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
države	država	Ncfsg
te	te	Cc
zakupa	zakup	Ncmsg
za	za	Sa
ribnjake	ribnjak	Ncmpa
,	,	Z
iza	iza	Sg
MALOG	mali	Agpmsgy
LOŠINJA	LOŠINJ	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
MARČANA	MARČANA	Npfsn
:	:	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR5110010051725464419	HR511001005172546441	Npmsg
MARČANA	MARČAN	Npmsg

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
3.7.	3.7.	Mds

Naknada	naknada	Ncfsn
za	za	Sa
koncesiju	koncesija	Ncfsa
za	za	Sa
korištenje	korištenje	Ncnsa
poljoprivrednog	poljoprivredni	Agpnsgy
zemljišta	zemljište	Ncnsg
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
države	država	Ncfsg
iza	iza	Sg
VELIKE	velik	Agpfsgy
GORICE	gorica	Ncfsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
VELIKA	VELIKA	Npfsn
KOPANICA	KOPANICA	Npfsn
:	:	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR5810010051747629181	HR5810010051747629181	Mdc
VELIKA	VELIKA	Npfsn
KOPANICA	KOPANICA	Npfsn

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
3.11.	3.11.	Mdo

Naknada	naknada	Ncfsn
za	za	Sa
otkopanu	otkopati	Agpfsay
količinu	količina	Ncfsa
neenergetskih	neenergetski	Agpfpgy
mineralnih	mineralan	Agpfpgy
sirovina	sirovina	Ncfpg
iza	iza	Sg
NOVOG	nov	Agpmsgy
MAROFA	MAROF	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
NOVI	nov	Agpmsny
VINODOLSKI	Vinodolski	Npmsn
:	:	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR6210010051729029456	HR6210010051729029456	Mdc
NOVI	nov	Agpmsayn
VINODOLSKI	vinodolski	Agpmsayn

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
3.12.	3.12.	Mdo

Naknada	naknada	Ncfsn
za	za	Sa
pridobivenu	pridobiti	Agpfsay
količinu	količina	Ncfsa
energetskih	energetski	Agpfpgy
mineralnih	mineralan	Agpfpgy
sirovina	sirovina	Ncfpg
za	za	Sa
plin	plin	Ncmsan
iza	iza	Sg
NAŠICA	NAŠIC	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
NOVA	nov	Agpfsny
RAČA	RAČA	Npfsn
a	a	Cc
iza	iza	Sg
PODRAVSKIH	podravski	Agpmpgy
SESVETA	sesvet	Ncmpg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
PODTUREN	PODTUREN	Npmsn
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR6910010051728729503	HR6910010051728729503	Pi-fsn
NOVA	nov	Agpfsny
RAČA	RAČA	Npfsn
HR4710010051734229508	HR4710010051734229508	Npfsn
PODTUREN	PODTUREN	Npfsn

U	u	Sl
istoj	isti	Agpfsly
glavi	glava	Ncfsl
i	i	Cc
istoj	isti	Agpfsly
točki	točka	Ncfsl
,	,	Z
u	u	Sl
podtočki	podtočka	Ncfsl
3.13.	3.13.	Mdo

Naknada	naknada	Ncfsn
za	za	Sa
pridobivenu	pridobiti	Agpfsay
količinu	količina	Ncfsa
energetskih	energetski	Agpfpgy
mineralnih	mineralan	Agpfpgy
sirovina	sirovina	Ncfpg
za	za	Sa
naftu	nafta	Ncfsa
i	i	Cc
kondenzat	kondenzat	Ncmsan
iza	iza	Sg
NAŠICA	NAŠIC	Npmsg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
NOVA	nov	Agpfsny
RAČA	RAČA	Npfsn
a	a	Cc
iza	iza	Sg
PODRAVSKIH	podravski	Agpmpgy
SESVETA	sesvet	Ncmpg
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
PODTUREN	PODTUREN	Npmsn
.	.	Z

IBAN	IBAN	Npmsn
Grad	grad	Ncmsn
/	/	Z
Općina	općina	Ncfsn
HR9410010051728729538	HR9410010051728729538	Pi-fsn
NOVA	nov	Agpfsny
RAČA	RAČA	Npfsn
HR7810010051734229532	HR7810010051734229532	Npfsn
PODTUREN	PODTUREN	Npfsn

III	III	Mrc
.	.	Z

U	u	Sl
glavi	glava	Ncfsl
VII	vii	Mrc
.	.	Z

OSTALI	ostali	Agpmpny
PRIHODI	prihod	Ncmpn
ZA	za	Sa
JAVNE	javan	Agpfpay
POTREBE	potreba	Ncfpa
u	u	Sl
točki	točka	Ncfsl
1.	1.	Mdo
