532/2014	532/2014	Mds
,	,	Z
članku	članak	Ncmsl
4.	4.	Mdo
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
2015/212	2015/212	Mdc
,	,	Z
u	u	Sl
okviru	okvir	Ncmsl
upravljanja	upravljanje	Ncnsg
Programom	program	Ncmsi
obavlja	obavljati	Vmr3s
i	i	Cc
sljedeće	sljedeći	Agpfsgy
funkcije	funkcija	Ncfsg
:	:	Z

1.	1.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
13.	13.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
nakon	nakon	Sg
savjetovanja	savjetovanje	Ncnsg
s	sa	Si
odgovarajućim	odgovarajući	Agpmpiy
dionicima	dionik	Ncmpi
,	,	Z
koordinira	koordinirati	Vmr3s
,	,	Z
sastavlja	sastavljati	Vmr3s
te	te	Cc
podnosi	podnositi	Vmr3s
Europskoj	europski	Agpfsly
komisiji	komisija	Ncfsl
godišnja	godišnji	Agpnpny
izvješća	izvješće	Ncnpn
i	i	Cc
završno	završan	Agpnsny
izvješće	izvješće	Ncnsn
o	o	Sl
provedbi	provedba	Ncfsl
;	;	Z

2.	2.	Mdo
u	u	Sa
svrhu	svrha	Ncfsa
učinkovitog	učinkovit	Agpmsgy
sustava	sustav	Ncmsg
praćenja	praćenje	Ncnsg
provedbe	provedba	Ncfsg
organizira	organizirati	Vmr3s
sastanke	sastanak	Ncmpa
s	sa	Si
Posredničkim	posrednički	Agpnsiy
tijelom	tijelo	Ncnsi
,	,	Z
partnerskim	partnerski	Agpfpiy
organizacijama	organizacija	Ncfpi
i	i	Cc
relevantnim	relevantan	Agpmpiy
dionicima	dionik	Ncmpi
najmanje	malo	Rgs
dva	dva	Mlc
puta	puta	Rgp
godišnje	godišnje	Rgp
;	;	Z

3.	3.	Mdo
sukladno	sukladno	Rgp
članku	članak	Ncmsl
14.	14.	Mdo

Uredbe	uredba	Ncfpn
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
sastaje	sastajati	Vmr3s
se	sebe	Px--sa
s	sa	Si
Europskom	europski	Agpfsiy
komisijom	komisija	Ncfsi
i	i	Cc
tijelima	tijelo	Ncnpl
u	u	Sl
Sustavu	sustav	Ncmsl
jednom	jednom	Rgp
godišnje	godišnje	Rgp
(	(	Z
osim	osim	Cs
ako	ako	Cs
je	biti	Var3s
drukčije	drugačije	Rgp
dogovoreno	dogovoriti	Appnsny
)	)	Z
,	,	Z
u	u	Sa
svrhu	svrha	Ncfsa
preispitivanja	preispitivanje	Ncnsg
ocjene	ocjena	Ncfsg
ostvarenog	ostvariti	Agpmsgy
napretka	napredak	Ncmsg
u	u	Sl
provedbi	provedba	Ncfsl
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
te	te	Cc
razmjene	razmjena	Ncfsg
mišljenja	mišljenje	Ncnsg
vezano	vezan	Agpnsny
uz	uz	Sa
poboljšanje	poboljšanje	Ncnsa
sustava	sustav	Ncmsg
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrole	kontrola	Ncfsg
;	;	Z

4.	4.	Mdo
poduzima	poduzimati	Vmr3s
mjere	mjera	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
važne	važan	Agpfpny
za	za	Sa
osiguravanje	osiguravanje	Ncnsa
komplementarnosti	komplementarnost	Ncfsg
s	sa	Si
Europskim	europski	Agpmsiy
socijalnim	socijalan	Agpmsiy
fondom	fond	Ncmsi
i	i	Cc
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
preklapanja	preklapanje	Ncnsg
i	i	Cc
dvostrukog	dvostruk	Agpnsgy
financiranja	financiranje	Ncnsg
operacija	operacija	Ncfpg
;	;	Z

5.	5.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
19.	19.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
osigurava	osiguravati	Vmr3s
informiranje	informiranje	Ncnsa
i	i	Cc
promidžbu	promidžba	Ncfsa
djelovanja	djelovanje	Ncnsg
;	;	Z

6.	6.	Mdo
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
28.	28.	Mdo
stavkom	stavka	Ncfsi
4.	4.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
223/2014	223/2014	Mdc
,	,	Z
provodi	provoditi	Vmr3s
aktivnosti	aktivnost	Ncfpa
prevencije	prevencija	Ncfsg
,	,	Z
otkrivanja	otkrivanje	Ncnsg
