vozila	vozilo	Ncnpa
.	.	Z

Vještine	vještina	Ncfpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
pokazati	pokazati	Vmn
zaštitnu	zaštitni	Agpfsay
opremu	oprema	Ncfsa

2.	2.	Mdo
pokazati	pokazati	Vmn
potrebnu	potreban	Agpfsay
opremu	oprema	Ncfsa
za	za	Sa
imobilizaciju	imobilizacija	Ncfsa
i	i	Cc
izvlačenje	izvlačenje	Ncnsa
ozlijeđenog	ozlijediti	Appnsgy

3.	3.	Mdo
pokazati	pokazati	Vmn
postupak	postupak	Ncmsan
postavljanja	postavljanje	Ncnsg
prsluka	prsluk	Ncmsg
za	za	Sa
imobilizaciju	imobilizacija	Ncfsa
i	i	Cc
izvlačenje	izvlačenje	Ncnsa

4.	4.	Mdo
demonstrirati	demonstrirati	Vmn
postupak	postupak	Ncmsan
izvlačenja	izvlačenje	Ncnsg
na	na	Sa
dugu	duga	Ncfsa
dasku	daska	Ncfsa
.	.	Z

3.	3.	Mdo
ODRŽAVANJE	održavanje	Ncnsn
ŽIVOTA	život	Ncmsg
ODRASLIH	odrastao	Agpmpgy

Završetkom	završetak	Ncmsi
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
opisati	opisati	Vmn
redoslijed	redoslijed	Ncmsan
postupaka	postupak	Ncmpg
i	i	Cc
primijeniti	primijeniti	Vmn
osnovne	osnovan	Agpfpay
mjere	mjera	Ncfpa
održavanja	održavanje	Ncnsg
života	život	Ncmsg
,	,	Z
zbrinuti	zbrinuti	Vmn
opstrukciju	opstrukcija	Ncfsa
dišnog	dišni	Agpmsgy
puta	put	Ncmsg
stranim	stran	Agpnsiy
tijelom	tijelo	Ncnsi
i	i	Cc
postaviti	postaviti	Vmn
osobu	osoba	Ncfsa
bez	bez	Sg
svijesti	svijest	Ncfsg
u	u	Sa
bočni	bočni	Agpmsayn
položaj	položaj	Ncmsan
.	.	Z

3.1.	3.1.	Mdo

Osnovne	osnovan	Agpfpay
mjere	mjera	Ncfpa
održavanja	održavanje	Ncnsg
života	život	Ncmsg
odraslih	odrastao	Agpmpgy

Znanja	znanje	Ncnpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
objasniti	objasniti	Vmn
značaj	značaj	Ncmsan
procjene	procjena	Ncfsg
mjesta	mjesto	Ncnsg
događaja	događaj	Ncmsg
s	sa	Si
