–	i	Agpnsgy
neispunjavanja	neispunjavanje	Ncnsg
drugih	drugi	Mlompg
uvjeta	uvjet	Ncmpg
i	i	Cc
kriterija	kriterij	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	Natječaj	Npmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odlukom	odluka	Ncfsi
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
najviši	visok	Agsmsny
iznos	iznos	Ncmsn
odobrene	odobren	Agpfsgy
potpore	potpora	Ncfsg
;	;	Z

b	b	Npmsn
)	)	Z
obveze	obveza	Ncfpa
korisnika	korisnik	Ncmpg
na	na	Sl
temelju	temelj	Ncmsl
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
Natječaja	natječaj	Ncmsg

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
obrade	obrada	Ncfsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
utvrdi	utvrditi	Vmr3s
nepravilnost	nepravilnost	Ncfsa
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
iznos	iznos	Ncmsan
od	od	Sg
50	50	Mdc
posto	posto	Rgp
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
odbiti	odbiti	Vmn
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
troška	trošak	Ncmsg
od	od	Sg
ukupnih	ukupan	Agpmpgy
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
i	i	Cc
izdati	izdati	Vmn
Odluku	odluka	Ncfsa
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
u	u	Sl
kojoj	koji	Pi-fsl
će	htjeti	Var3s
ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
za	za	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
dodjeljuje	dodjeljivati	Vmr3s
potpora	potpora	Ncfsn
biti	biti	Van
umanjen	umanjiti	Appmsnn
za	za	Sa
iznos	iznos	Ncmsan
nepravilnog	nepravilan	Agpmsgy
troška	trošak	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
izdavanja	izdavanje	Ncnsg
Odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
rang-lista	rang-lista	Ncfsn
će	htjeti	Var3s
se	sebe	Px--sa
izraditi	izraditi	Vmn
nakon	nakon	Sg
provedenog	provesti	Agpmsgy
postupka	postupak	Ncmsg
rješavanja	rješavanje	Ncnsg
po	po	Sl
prigovorima	prigovor	Ncmpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Izrađena	izraditi	Appfsny
rang-lista	rang-lista	Ncfsn
bit	biti	Van
će	htjeti	Var3s
dostupna	dostupan	Agpfsny
korisnicima	korisnik	Ncmpd
u	u	Sl
okviru	okvir	Ncmsl
Izvještaja	izvještaj	Ncmsg
o	o	Sl
provedenom	provesti	Agpmsly
Natječaju	natječaj	Ncmsl
.	.	Z

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
se	sebe	Px--sa
nakon	nakon	Sg
zaprimanja	zaprimanje	Ncnsg
svih	sav	Agpmpgy
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc
provjere	provjera	Ncfpa
ukupnoga	ukupan	Agpmsgy
traženog	tražen	Agpmsgy
iznosa	iznos	Ncmsg
potpore	potpora	Ncfsg
utvrdi	utvrditi	Vmr3s
da	da	Cs
nema	nemati	Vmr3s
