S	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
podnositelj	podnositelj	Ncmsn
upućuje	upućivati	Vmr3s
na	na	Sa
pristranost	pristranost	Ncfsa
drugostupanjske	drugostupanjski	Agpfsgy
sutkinje	sutkinja	Ncfsg
kao	kao	Cs
razlog	razlog	Ncmsn
povrede	povreda	Ncfsg
ustavnog	ustavan	Agpnsgy
prava	pravo	Ncnsg
zajamčenog	zajamčiti	Appnsgy
člankom	članak	Ncmsi
29.	29.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
napominje	napominjati	Vmr3s
da	da	Cs
uobičajena	uobičajiti	Appfsny
formulacija	formulacija	Ncfsn
o	o	Sl
nepristranosti	nepristranost	Ncfsl
,	,	Z
koju	koji	Pi-fsa
Europski	europski	Agpmsny
sud	sud	Ncmsn
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
u	u	Sl
Strasbourgu	Strasbourg	Npmsl
iznosi	iznositi	Vmr3s
u	u	Sl
svojim	svoj	Px-fpl
presudama	presuda	Ncfpl
i	i	Cc
odlukama	odluka	Ncfpl
,	,	Z
sadržana	sadržati	Appfsny
u	u	Sl
predmetu	predmet	Ncmsl
Parlov-Tkalčić	Parlov-Tkalčić	Npfsg
protiv	protiv	Sg
Hrvatske	Hrvatska	Npfsg
(	(	Z
presuda	presuda	Ncfsn
,	,	Z
22.	22.	Mdo
prosinca	prosinac	Ncmsg
2009.	2009.	Mdo
,	,	Z
zahtjev	zahtjev	Ncmsn
br.	br.	Y
24810/06	24810/06	Mdc
)	)	Z
,	,	Z
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
2.	2.	Mdo
Ocjena	ocjena	Ncfsn
Suda	sud	Ncmsg

78.	78.	Mdo

Sud	sud	Ncmsn
ponavlja	ponavljati	Vmr3s
da	da	Cs
se	sebe	Px--sa
,	,	Z
prema	prema	Sl
njegovoj	njegov	Ps3fsl
ustaljenoj	ustaliti	Agpfsly
sudskoj	sudski	Agpfsly
praksi	praksa	Ncfsl
,	,	Z
postojanje	postojanje	Ncnsa
nepristranosti	nepristranost	Ncfsg
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
mora	morati	Vmr3s
utvrditi	utvrditi	Vmn
primjenom	primjena	Ncfsi
subjektivnog	subjektivan	Agpmsgy
testa	test	Ncmsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
mora	morati	Vmr3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
osobno	osoban	Agpnsay
uvjerenje	uvjerenje	Ncnsa
i	i	Cc
ponašanje	ponašanje	Ncnsa
konkretnog	konkretan	Agpmsgy
suca	sudac	Ncmsg
,	,	Z
to	taj	Pd-nsn
jest	biti	Var3s
je	biti	Var3s
li	li	Qq
sudac	sudac	Ncmsn
imao	imati	Vmp-sm
neke	neki	Pi-fpa
osobne	osoban	Agpfpay
predrasude	predrasuda	Ncfpa
ili	ili	Cc
pristranosti	pristranost	Ncfsg
u	u	Sl
tom	taj	Pd-msl
predmetu	predmet	Ncmsl
,	,	Z
a	a	Cc
isto	isto	Rgp
tako	tako	Rgp
i	i	Qo
primjenom	primjena	Ncfsi
objektivnog	objektivan	Agpmsgy
testa	test	Ncmsg
,	,	Z
to	taj	Pd-nsn
jest	biti	Var3s
tako	tako	Cs
da	da	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
je	biti	Var3s
li	li	Qq
sam	sam	Agpmsny
sud	sud	Ncmsn
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
između	između	Sg
ostalih	ostali	Agpmpgy
aspekata	aspekt	Ncmpg
i	i	Cc
njegov	njegov	Ps3msan
sastav	sastav	Ncmsan
,	,	Z
pružio	pružiti	Vmp-sm
dovoljno	dovoljno	Rgp
jamstava	jamstvo	Ncnpg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
isključila	isključiti	Vmp-sf
svaka	svaki	Pi-fsn
objektivna	objektivan	Agpfsny
sumnja	sumnja	Ncfsn
u	u	Sl
pogledu	pogled	Ncmsl
njegove	njegov	Ps3fsg
nepristranosti	nepristranost	Ncfsg
(	(	Z
vidjeti	vidjeti	Vmn
,	,	Z
inter	inter	Ncmsan
alia	ali	Ncmpg
,	,	Z
Fey	Fey	Npmsn
protiv	protiv	Sg
Austrije	Austrija	Npfsg
,	,	Z
24.	24.	Mdo
veljače	veljača	Ncfsg
1993.	1993.	Mdo
,	,	Z
§	§	Z
27.	27.	Mdo
,	,	Z
28.	28.	Mdo
i	i	Cc
30	30	Mdc
...	...	Z
,	,	Z
te	te	Cc
Wettstein	Wettstein	Npfsg
protiv	protiv	Sg
Švicarske	Švicarska	Npfsg
,	,	Z
br.	br.	Y
33958/96	33958/96	Mdc
,	,	Z
§	§	Z
42.	42.	Mdo
,	,	Z
ESLJP	ESLJP	Npmsn
2000-XII	2000-xia	Ncfsl
)	)	Z
.	.	Z

79.	79.	Mdo

U	u	Sl
pogledu	pogled	Ncmsl
subjektivnog	subjektivan	Agpmsgy
testa	test	Ncmsg
,	,	Z
osobna	osoban	Agpfsny
nepristranost	nepristranost	Ncfsn
suca	sudac	Ncmsg
mora	morati	Vmr3s
se	sebe	Px--sa
pretpostaviti	pretpostaviti	Vmn
dok	dok	Cs
se	sebe	Px--sa
ne	ne	Qz
dokaže	dokazati	Vmr3s
suprotno	suprotno	Rgp
(	(	Z
vidjeti	vidjeti	Vmn
Wettstein	Wettstein	Npfsi
,	,	Z
…	…	Z
§	§	Z
43.	43.	Mdo
)	)	Z
.	.	Z

80.	80.	Mdo

U	u	Sl
pogledu	pogled	Ncmsl
objektivnog	objektivan	Agpmsgy
testa	test	Ncmsg
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
utvrditi	utvrditi	Vmn
postoje	postojati	Vmr3p
li	li	Cs
činjenice	činjenica	Ncfpn
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
potvrditi	potvrditi	Vmn
(	(	Z
ascertainable	ascertainable	Xf
facts	facts	Xf
)	)	Z
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
mogu	moći	Vmr3p
pobuditi	pobuditi	Vmn
sumnju	sumnja	Ncfsa
u	u	Sa
nepristranost	nepristranost	Ncfsa
suca	sudac	Ncmsg
koji	koji	Pi-msn
odlučuje	odlučivati	Vmr3s
u	u	Sl
predmetu	predmet	Ncmsl
.	.	Z

To	taj	Pd-nsn
podrazumijeva	podrazumijevati	Vmr3s
da	da	Cs
kad	kad	Cs
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
tome	taj	Pd-nsl
postoji	postojati	Vmr3s
li	li	Qq
u	u	Sl
određenom	određen	Agpmsly
predmetu	predmet	Ncmsl
opravdani	opravdati	Agpmsny
razlog	razlog	Ncmsn
za	za	Sa
bojazan	bojazan	Ncfsa
da	da	Cs
sud	sud	Ncmsn
nije	biti	Var3s
nepristran	nepristran	Agpmsnn
,	,	Z
stajalište	stajalište	Ncnsa
same	sam	Agpfsgy
osobe	osoba	Ncfsg
jest	biti	Var3s
važno	važan	Agpnsny
,	,	Z
ali	ali	Cc
nije	biti	Var3s
odlučno	odlučan	Agpnsny
.	.	Z

Odlučno	odlučan	Agpnsny
je	biti	Var3s
može	moći	Vmr3s
li	li	Cs
se	sebe	Px--sa
ta	taj	Pd-fsn
bojazan	bojazan	Ncfsn
smatrati	smatrati	Vmn
objektivno	objektivno	Rgp
opravdanom	opravdati	Ncfsi
(	(	Z
vidjeti	vidjeti	Vmn
Wettstein	Wettstein	Npfsi
,	,	Z
…	…	Z
§	§	Z
44.	44.	Mdo
,	,	Z
te	te	Cc
Ferrantelli	Ferrantella	Npfsl
i	i	Cc
Santangelo	Santangelo	Npmsn
protiv	protiv	Sg
Italije	Italija	Npfsg
,	,	Z
7.	7.	Mdo
Kolovoza	kolovoz	Ncmsg
1996.	1996.	Mdo
,	,	Z
§	§	Z
58.	58.	Mdo
)	)	Z
«	«	Z
.	.	Z

7.	7.	Mdo
Primjenjujući	primjenjivati	Rr
navedena	naveden	Agpnpay
načelna	načelan	Agpnpay
stajališta	stajalište	Ncnpa
na	na	Sa
konkretni	konkretan	Agpmsayn
slučaj	slučaj	Ncmsan
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
prvo	prvo	Rgp
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
netočna	netočan	Agpfsny
podnositeljeva	podnositeljev	Agpfsny
tvrdnja	tvrdnja	Ncfsn
da	da	Cs
mu	on	Pp3msd
je	biti	Var3s
sudila	suditi	Vmp-sf
sutkinja	sutkinja	Ncfsn
protiv	protiv	Sg
koje	koji	Pi-fsg
je	biti	Var3s
vodio	voditi	Vmp-sm
»	»	Z
kazneni	kazneni	Agpmsayn
postupak	postupak	Ncmsan
kao	kao	Cs
oštećenik	oštećenik	Ncmsn
a	a	Cc
koji	koji	Pi-msn
kazneni	kazneni	Agpmsny
postupak	postupak	Ncmsn
je	biti	Var3s
u	u	Sl
tijeku	tijek	Ncmsl
«	«	Z
.	.	Z

Podnositelj	podnositelj	Ncmsn
nije	biti	Var3s
vodio	voditi	Vmp-sm
takav	takav	Pd-msan
postupak	postupak	Ncmsan
te	te	Cc
isti	isti	Agpmsny
,	,	Z
suprotno	suprotno	Rgp
njegovim	njegov	Ps3fpl
tvrdnjama	tvrdnja	Ncfpl
,	,	Z
nikada	nikada	Rgp
nije	biti	Var3s
bio	biti	Vap-sm
u	u	Sl
tijeku	tijek	Ncmsl
.	.	Z

Podnositelj	podnositelj	Ncmsn
je	biti	Var3s
,	,	Z
naime	naime	Qo
,	,	Z
neuspješno	neuspješno	Rgp
pokušao	pokušati	Vmp-sm
voditi	voditi	Vmn
takav	takav	Pd-msan
kazneni	kazneni	Agpmsayn
postupak	postupak	Ncmsan
u	u	Sl
svojstvu	svojstvo	Ncnsl
oštećenika	oštećenik	Ncmpg
kao	kao	Cs
tužitelja	tužitelj	Ncmpg
,	,	Z
ali	ali	Cc
je	biti	Var3s
njegov	njegov	Ps3msn
optužni	optužni	Agpmsny
prijedlog	prijedlog	Ncmsn
odbačen	odbaciti	Appmsnn
prvostupanjskim	prvostupanjski	Agpnsiy
rješenjem	rješenje	Ncnsi
jer	jer	Cs
nije	biti	Var3s
imao	imati	Vmp-sm
potrebno	potreban	Agpnsay
odobrenje	odobrenje	Ncnsa
Državnog	državni	Agpnsgy
sudbenog	sudbeni	Agpnsgy
vijeća	vijeće	Ncnsg
.	.	Z

Prvostupanjsko	prvostupanjski	Agpnsny
je	biti	Var3s
rješenje	rješenje	Ncnsn
postalo	postati	Vmp-sn
pravomoćno	pravomoćan	Agpnsny
17.	17.	Mdo
veljače	veljača	Ncfsg
2010.	2010.	Mdo
,	,	Z
danom	dan	Sg
donošenja	donošenje	Ncnsg
drugostupanjskog	drugostupanjski	Agpnsgy
rješenja	rješenje	Ncnsg
kojim	koji	Pi-msi
je	biti	Var3s
odbijena	odbiti	Appfsny
podnositeljeva	podnositeljev	Aspfsny
žalba	žalba	Ncfsn
protiv	protiv	Sg
prvostupanjskog	prvostupanjski	Agpnsgy
rješenja	rješenje	Ncnsg
.	.	Z

