crtežu	crtež	Ncmsd
svake	svaki	Pi-fsg
varijante	varijanta	Ncfsg
.	.	Z

3.1.7.	3.1.7.	Mdo

Šarža	šarža	Ncfsn
posuda	posuda	Ncfpg
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
najviše	mnogo	Rgs
3	3	Mdc
000	000	Mdc
posuda	posuda	Ncfpg
istog	isti	Agpmsgy
tipa	tip	Ncmsg
uzorka	uzorak	Ncmsg
.	.	Z

3.1.8.	3.1.8.	Mdo

Serijska	serijski	Agpfsny
proizvodnja	proizvodnja	Ncfsn
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
postoji	postojati	Vmr3s
ako	ako	Cs
se	sebe	Px--sa
tijekom	tijekom	Sg
određenog	određen	Agpnsgy
vremenskog	vremenski	Agpnsgy
razdoblja	razdoblje	Ncnsg
proizvede	proizvesti	Vmr3s
više	mnogo	Rgc
od	od	Sg
jedne	jedan	Agpfsgy
posude	posuda	Ncfsg
istog	isti	Agpmsgy
tipa	tip	Ncmsg
u	u	Sl
okviru	okvir	Ncmsl
neprekinutog	neprekinut	Agpmsgy
postupka	postupak	Ncmsg
proizvodnje	proizvodnja	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
istom	isti	Agpfsiy
konstrukcijom	konstrukcija	Ncfsi
i	i	Cc
korištenjem	korištenje	Ncnsi
istih	isti	Agpmpgy
postupaka	postupak	Ncmpg
proizvodnje	proizvodnja	Ncfsg
.	.	Z

3.1.9.	3.1.9.	Mdo

Zapisnik	zapisnik	Ncmsn
o	o	Sl
kontroli	kontrola	Ncfsl
:	:	Z
dokument	dokument	Ncmsn
kojim	koji	Pi-msi
proizvođač	proizvođač	Ncmsn
materijala	materijal	Ncmsg
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
isporučeni	isporučiti	Appmpny
proizvodi	proizvod	Ncmpn
ispunjavaju	ispunjavati	Vmr3p
zahtjeve	zahtjev	Ncmpa
narudžbe	narudžba	Ncfsg
,	,	Z
pogotovo	pogotovo	Rgp
kemijskog	kemijski	Agpmsgy
sastava	sastav	Ncmsg
i	i	Cc
mehaničkih	mehanički	Agpnpgy
svojstava	svojstvo	Ncnpg
,	,	Z
i	i	Cc
u	u	Sl
kojem	koji	Pi-msl
utvrđuje	utvrđivati	Vmr3s
rezultate	rezultat	Ncmpa
rutinskog	rutinski	Agpmsgy
kontrolnog	kontrolan	Agpmsgy
testa	test	Ncmsg
u	u	Sl
tvornici	tvornica	Ncfsl
,	,	Z
provedenog	provesti	Appmsgy
na	na	Sl
proizvodima	proizvod	Ncmpl
kod	kod	Sg
kojih	koji	Pi-mpg
je	biti	Var3s
korišten	koristiti	Appmsnn
isti	isti	Agpmsny
postupak	postupak	Ncmsn
