obzirom	obzir	Ncmsi
na	na	Sa
broj	broj	Ncmsan
i	i	Cc
predmet	predmet	Ncmsan
nadzora	nadzor	Ncmsg
.	.	Z

Stupci	stupac	Ncmpn
tablice	tablica	Ncfsg
se	sebe	Px--sa
ispunjavaju	ispunjavati	Vmr3p
na	na	Sa
sljedeći	sljedeći	Agpmsayn
način	način	Ncmsan
:	:	Z

1.	1.	Mdo
redni	redni	Agpmsny
broj	broj	Ncmsn
:	:	Z
daje	davati	Vmr3s
se	sebe	Px--sa
svakom	svaki	Pi-msl
predmetu	predmet	Ncmsl
nadzora	nadzor	Ncmsg
;	;	Z

2.	2.	Mdo
predmet	predmet	Ncmsn
nadzora	nadzor	Ncmsg
:	:	Z
navedeni	navesti	Appmpny
su	biti	Var3p
svi	sav	Agpmpny
predmeti	predmet	Ncmpn
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
koji	koji	Pi-mpn
podliježu	podlijegati	Vmr3p
inspekcijskom	inspekcijski	Agpmsly
nadzoru	nadzor	Ncmsl
mjeriteljskog	mjeriteljski	Agpmsgy
inspektora	inspektor	Ncmsg
,	,	Z
temeljem	temelj	Ncmsi
Zakona	zakon	Ncmsg
o	o	Sl
mjeriteljstvu	mjeriteljstvo	Ncnsl
i	i	Cc
Zakona	zakon	Ncmsg
o	o	Sl
nadzoru	nadzor	Ncmsl
predmeta	predmet	Ncmsg
od	od	Sg
plemenitih	plemenit	Agpfpgy
kovina	kovina	Ncfpg
.	.	Z

3.	3.	Mdo
inspekcijski	inspekcijski	Agpmsny
nadzor	nadzor	Ncmsn
:	:	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
zapisnika	zapisnik	Ncmpg
o	o	Sl
inspekcijskom	inspekcijski	Agpmsly
nadzoru	nadzor	Ncmsl
po	po	Sl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
nadzora	nadzor	Ncmsg
;	;	Z

4.	4.	Mdo
rješenje	rješenje	Ncnsn
:	:	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
izdanih	izdan	Agpnpgy
rješenja	rješenje	Ncnpg
po	po	Sl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
nadzora	nadzor	Ncmsg
;	;	Z

5.	5.	Mdo
nadzor	nadzor	Ncmsan
izvršenja	izvršenje	Ncnsg
rješenja	rješenje	Ncnsg
:	:	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
zapisnika	zapisnik	Ncmpg
o	o	Sl
nadzoru	nadzor	Ncmsl
izvršenja	izvršenje	Ncnsg
rješenja	rješenje	Ncnsg
po	po	Sl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
nadzora	nadzor	Ncmsg
;	;	Z

6.	6.	Mdo
optužni	optužni	Agpmpny
prijedlozi	prijedlog	Ncmpn
i	i	Cc
obavezni	obavezan	Agpmpny
prekršajni	prekršajni	Agpmpny
nalozi	nalog	Ncmpn
:	:	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
podnijetih	podnijeti	Appmpgy
optužnih	optužni	Agpmpgy
prijedloga	prijedlog	Ncmpg
za	za	Sa
pokretanje	pokretanje	Ncnsa
prekršajnog	prekršajni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
broj	broj	Ncmsn
izdanih	izdan	Agpmpgy
obaveznih	obavezan	Agpmpgy
prekršajnih	prekršajni	Agpmpgy
naloga	nalog	Ncmpg
;	;	Z

7.	7.	Mdo
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
:	:	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
sudskih	sudski	Agpfpgy
presuda	presuda	Ncfpg
po	po	Sl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
nadzora	nadzor	Ncmsg
;	;	Z

8.	8.	Mdo
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
za	za	Sa
prošle	prošli	Agpfsgy
godine	godina	Ncfsg
:	:	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
sudskih	sudski	Agpfpgy
presuda	presuda	Ncfpg
po	po	Sl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
nadzora	nadzor	Ncmsg
za	za	Sa
prošle	prošli	Agpfsgy
godine	godina	Ncfsg
;	;	Z

9.	9.	Mdo
nadzor	nadzor	Ncmsan
izvršenja	izvršenje	Ncnsg
za	za	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
:	:	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
zapisnika	zapisnik	Ncmpg
o	o	Sl
nadzoru	nadzor	Ncmsl
izvršenja	izvršenje	Ncnsg
rješenja	rješenje	Ncnsg
po	po	Sl
pojedinom	pojedini	Agpmsly
predmetu	predmet	Ncmsl
nadzora	nadzor	Ncmsg
za	za	Sa
rješenja	rješenje	Ncnsa
izdana	izdati	Appfsny
za	za	Sa
prethodnu	prethodan	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Nakon	nakon	Sg
ispunjavanja	ispunjavanje	Ncnsg
TABLICE	tablica	Ncfsg
8.	8.	Mdo
u	u	Sl
donjem	donji	Agpmsly
dijelu	dio	Ncmsl
se	sebe	Px--sa
automatski	automatski	Agpmsny
(	(	Z
excel	excel	Ncmsn
)	)	Z
pojavljuju	pojavljivati	Vmr3p
tri	tri	Mlc
podatka	podatak	Ncmsg
važna	važan	Agpfsny
za	za	Sa
pripravu	priprava	Ncfsa
izvješća	izvješće	Ncnsg
o	o	Sl
radu	rad	Ncmsl
inspektora	inspektor	Ncmsg
a	a	Cc
to	taj	Pd-nsn
su	biti	Var3p
:	:	Z

–	–	Agpmsny
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
sudskih	sudski	Agpfpgy
presuda	presuda	Ncfpg
(	(	Z
za	za	Sa
predmete	predmet	Ncmpa
iz	iz	Sg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
i	i	Cc
prošlih	prošli	Agpfpgy
godina	godina	Ncfpg
)	)	Z

–	–	Z
ukupni	ukupan	Agpmsayn
broj	broj	Ncmsan
nadzora	nadzor	Ncmsg
izvršenja	izvršenje	Ncnsg
(	(	Z
za	za	Sa
predmete	predmet	Ncmpa
iz	iz	Sg
tekuće	tekući	Agpfsgy
godine	godina	Ncfsg
i	i	Cc
prethodne	prethodan	Agpfsgy
godine	godina	Ncfsg
)	)	Z

–	–	Z
sveukupni	sveukupan	Agpmsayn
broj	broj	Ncmsan
nadzora	nadzor	Ncmsg
inspektora	inspektor	Ncmpg
u	u	Sl
tekućoj	tekući	Agpfsly
godini	godina	Ncfsl
(	(	Z
zbrojeni	zbrojiti	Appmpny
su	biti	Var3p
i	i	Qo
svi	sav	Agpmpny
nadzori	nadzor	Ncmpn
izvršenja	izvršenje	Ncnsg
rješenja	rješenje	Ncnsg
)	)	Z

TABLICA	tablica	Ncfsn
8.	8.	Mdo
a.	a.	Agpmsayn
PLAN	plan	Ncmsan
I	i	Cc
REALIZACIJA	realizacija	Ncfsn
INSPEKTORA	inspektor	Ncmpg
U	u	Sl
TEKUĆOJ	tekući	Agpfsly
GODINI	godina	Ncfsl
–	–	Z
INSPEKTOR	inspektor	Ncmsn
(	(	Z
ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
)	)	Z

Tablica	tablica	Ncfsn
8	8	Mdc
a.	a.	Y
se	sebe	Px--sa
formira	formirati	Vmr3s
automatski	automatski	Rgp
(	(	Z
