kontejnerima	kontejner	Ncmpi
iznad	iznad	Sg
5	5	Mdc
tona	tona	Ncfpg
–	–	Z
200,00	200,00	Mdc
kuna	kuna	Ncfpg

4.	4.	Mdo
brodske	brodski	Agpfsgy
pošiljke	pošiljka	Ncfsg
do	do	Sg
1000	1000	Mdc
tona	tona	Ncfpg
1.000,00	1.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
za	za	Sa
brodske	brodski	Agpfpay
pošiljke	pošiljka	Ncfpa
od	od	Sg
1.000	1.000	Mdc
do	do	Sg
10.000	10.000	Mdc
tona	tona	Ncfpg
naknada	naknada	Ncfsn
iznosi	iznositi	Vmr3s
2.000,00	2.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
a	a	Cc
za	za	Sa
brodske	brodski	Agpfpay
pošiljke	pošiljka	Ncfpa
preko	preko	Sg
10.000	10.000	Mdc
tona	tona	Ncfpg
naknada	naknada	Ncfsn
iznosi	iznositi	Vmr3s
4.000,00	4.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

5.	5.	Mdo
vagonske	vagonski	Agpfsgy
pošiljke	pošiljka	Ncfsg
:	:	Z
za	za	Sa
prvi	prvi	Mlomsan
vagon	vagon	Ncmsan
100,00	100,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
za	za	Sa
svaki	svaki	Pi-msan
sljedeći	sljedeći	Agpmsayn
vagon	vagon	Ncmsan
naknada	naknada	Ncfsn
iznosi	iznositi	Vmr3s
50,00	50,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
ali	ali	Cc
ukupni	ukupan	Agpmsny
iznos	iznos	Ncmsn
naknade	naknada	Ncfsg
ne	ne	Qz
može	moći	Vmr3s
biti	biti	Van
veći	velik	Agcmsny
od	od	Sg
2.000,00	2.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Visina	visina	Ncfsn
naknade	naknada	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
hranu	hrana	Ncfsa
i	i	Cc
predmete	predmet	Ncmpa
opće	opći	Agpfsgy
