Pravilnika	pravilnik	Ncmpg
.	.	Z

6.3.	6.3.	Mdo

Pojam	pojam	Ncmsn
skupni	skupni	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg

Članak	članak	Ncmsn
45.	45.	Mdo

Skupni	skupni	Agpmsny
ugovor	ugovor	Ncmsn
o	o	Sl
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
podrazumijeva	podrazumijevati	Vmr3s
ugovor	ugovor	Ncmsan
o	o	Sl
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
kojeg	koji	Pi-msg
se	sebe	Px--sa
:	:	Z

1.	1.	Mdo
osiguravaju	osiguravati	Vmr3p
fizičke	fizički	Agpfpay
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
su	biti	Var3p
povezane	povezati	Appfpny
putem	put	Sg
poslodavca	poslodavac	Ncmsg
,	,	Z
trgovinskog	trgovinski	Agpnsgy
udruženja	udruženje	Ncnsg
,	,	Z
sindikata	sindikat	Ncmpg
ili	ili	Cc
drugog	drugi	Agpnsgy
udruženja	udruženje	Ncnsg
ili	ili	Cc
skupine	skupina	Ncfsg
i	i	Cc

2.	2.	Mdo
izračunava	izračunavati	Vmr3s
premija	premija	Ncfsn
za	za	Sa
svakog	svaki	Pi-msg
člana	član	Ncmsg
skupine	skupina	Ncfsg
(	(	Z
ili	ili	Cc
člana	član	Ncmsg
kategorije	kategorija	Ncfsg
unutar	unutar	Sg
skupine	skupina	Ncfsg
)	)	Z
koja	koji	Pi-fsn
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
zdravstvene	zdravstven	Agpfpay
karakteristike	karakteristika	Ncfpa
pojedinca	pojedinac	Ncmsg
,	,	Z
osim	osim	Sg
godina	godina	Ncfpg
starosti	starost	Ncfsg
,	,	Z
spola	spol	Ncmsg
i	i	Cc
pušačkih	pušački	Agpfpgy
navika	navika	Ncfpg
člana	član	Ncmsg
(	(	Z
ili	ili	Cc
kategoriji	kategorija	Ncfsl
članova	član	Ncmpg
)	)	Z
skupine	skupina	Ncfsg
.	.	Z

6.4.	6.4.	Mdo

Pojam	pojam	Ncmsn
skupni	skupni	Agpmsayn
ugovor	ugovor	Ncmsan
