vođenje	vođenje	Ncnsn
LRSR	LRSR	Npfsg
umanjiti	umanjiti	Vmn
za	za	Sa
25	25	Mdc
posto	posto	Rgp
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa
za	za	Sa
operacije	operacija	Ncfpa
u	u	Sl
okviru	okvir	Ncmsl
provedbe	provedba	Ncfsg
LRSR	LRSR	Npmsn

(	(	Z
1	1	Mdc
)	)	Z
Sredstva	sredstvo	Ncnpn
potpore	potpora	Ncfsg
za	za	Sa
provedbu	provedba	Ncfsa
operacija	operacija	Ncfpg
u	u	Sl
okviru	okvir	Ncmsl
LRSR	LRSR	Npmsn
isplaćuju	isplaćivati	Vmr3p
se	sebe	Px--sa
korisniku	korisnik	Ncmsd
na	na	Sl
temelju	temelj	Ncmsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
,	,	Z
jednokratno	jednokratno	Rgp
ili	ili	Cc
u	u	Sl
ratama	rata	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
u	u	Sa
ime	ime	Ncnsa
korisnika	korisnik	Ncmpg
podnosi	podnositi	Vmr3s
FLAG	FLAG	Npmsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
sredstva	sredstvo	Ncnpn
isplaćuju	isplaćivati	Vmr3p
jednokratno	jednokratno	Rgp
,	,	Z
FLAG	FLAG	Npmsn
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
dostavlja	dostavljati	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
za	za	Sa
operacije	operacija	Ncfpa
u	u	Sl
okviru	okvir	Ncmsl
provedbe	provedba	Ncfsg
LRSR	LRSR	Npmsn
sa	sa	Si
sadržanim	sadržan	Agpmpiy
ukupnim	ukupan	Agpmpiy
troškovima	trošak	Ncmpi
operacije	operacija	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
sredstva	sredstvo	Ncnpn
isplaćuju	isplaćivati	Vmr3p
u	u	Sl
ratama	rata	Ncfpl
,	,	Z
FLAG	flai	Agpnsny
za	za	Sa
svaku	svaki	Pi-fsa
ratu	rata	Ncfsa
Upravljačkom	upravljački	Agpnsly
tijelu	tijelo	Ncnsl
dostavlja	dostavljati	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
za	za	Sa
operacije	operacija	Ncfpa
u	u	Sl
okviru	okvir	Ncmsl
provedbe	provedba	Ncfsg
LRSR	LRSR	Npmsn
sa	sa	Si
sadržanim	sadržan	Agpmpiy
troškovima	trošak	Ncmpi
operacije	operacija	Ncfsg
nastalima	nastao	Agpmpdy
u	u	Sl
obračunskom	obračunski	Agpnsly
razdoblju	razdoblje	Ncnsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Obračunsko	obračunski	Agpnsny
razdoblje	razdoblje	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
traje	trajati	Vmr3s
najmanje	malo	Rgs
90	90	Mdc
dana	dan	Ncmpg
,	,	Z
a	a	Cc
počinje	počinjati	Vmr3s
teći	teći	Vmn
istekom	istek	Ncmsi
prethodnog	prethodan	Agpnsgy
,	,	Z
osim	osim	Sg
prvog	prvi	Mlomsg
obračunskog	obračunski	Agpnsgy
razdoblja	razdoblje	Ncnsg
koje	koji	Pi-nsn
počinje	počinjati	Vmr3s
teći	teći	Vmn
početkom	početkom	Sg
razdoblja	razdoblje	Ncnsg
prihvatljivosti	prihvatljivost	Ncfsg
troškova	trošak	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
