multidisciplinaran	multidisciplinaran	Agpmsann
način	način	Ncmsan
liječenja	liječenje	Ncnsg
koji	koji	Pi-msn
znatno	znatno	Rgp
poboljšava	poboljšavati	Vmr3s
kvalitetu	kvaliteta	Ncfsa
zdravstvene	zdravstven	Agpfsgy
zaštite	zaštita	Ncfsg
.	.	Z

U	u	Sl
dnevnim	dnevni	Agpfply
bolnicama	bolnica	Ncfpl
trebao	trebati	Vmp-sm
bi	biti	Vaa3s
se	sebe	Px--sa
rješavati	rješavati	Vmn
najveći	velik	Agsmsny
dio	dio	Ncmsn
zdravstvenih	zdravstven	Agpmpgy
problema	problem	Ncmpg
stanovništva	stanovništvo	Ncnsg
,	,	Z
uključujući	uključivati	Rr
i	i	Qo
manje	malo	Rgc
kirurške	kirurški	Agpmpay
zahvate	zahvat	Ncmpa
.	.	Z

Optimalan	optimalan	Agpmsnn
razvoj	razvoj	Ncmsn
dnevnih	dnevni	Agpfpgy
bolnica	bolnica	Ncfpg
podrazumijeva	podrazumijevati	Vmr3s
i	i	Qo
građevinske	građevinski	Agpfpay
preinake	preinaka	Ncfpa
koje	koji	Pi-fpn
bi	biti	Vaa3p
dovele	dovesti	Vmp-pf
do	do	Sg
toga	taj	Pd-nsg
da	da	Cs
su	biti	Var3p
zdravstveni	zdravstven	Agpmpny
radnici	radnik	Ncmpn
bliže	bližiti	Vmr3p
pacijentima	pacijent	Ncmpi
umjesto	umjesto	Sg
da	da	Cs
pacijenti	pacijent	Ncmpn
obilaze	obilaziti	Vmr3p
bolnice	bolnica	Ncfpa
u	u	Sl
potrazi	potraga	Ncfsl
za	za	Si
sljedećom	sljedeći	Agpfsiy
uslugom	usluga	Ncfsi
ili	ili	Cc
osobom	osoba	Ncfsi
koja	koji	Pi-fsn
će	htjeti	Var3s
mu	on	Pp3msd
tu	taj	Pd-fsa
uslugu	usluga	Ncfsa
pružiti	pružiti	Vmn
.	.	Z

Paziti	paziti	Vmn
treba	trebati	Vmr3s
da	da	Cs
se	sebe	Px--sa
izbjegnu	izbjeći	Vmr3p
»	»	Z
megalomanski	megalomanski	Agpmpny
«	«	Z
projekti	projekt	Ncmpn
jer	jer	Cs
se	sebe	Px--sa
uz	uz	Sa
dobru	dobar	Agpfsay
organizaciju	organizacija	Ncfsa
jedinice	jedinica	Ncfsg
dnevne	dnevni	Agpfsgy
bolnice	bolnica	Ncfsg
u	u	Sl
velikoj	velik	Agpfsly
većini	većina	Ncfsl
slučajeva	slučaj	Ncmpg
mogu	moći	Vmr3p
inicijalno	inicijalno	Rgp
organizirati	organizirati	Vmn
u	u	Sl
postojećim	postojeći	Agpmply
uvjetima	uvjet	Ncmpl
.	.	Z

Građevinske	građevinski	Agpfpny
preinake	preinaka	Ncfpn
u	u	Sl
bolnicama	bolnica	Ncfpl
općenito	preopćenito	Rgp
trebaju	trebati	Vmr3p
biti	biti	Van
usmjerene	usmjeriti	Appfpny
na	na	Sa
povećanje	povećanje	Ncnsa
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
te	te	Cc
smanjenje	smanjenje	Ncnsa
onečišćenja	onečišćenje	Ncnsg
radnog	radni	Agpnsgy
okruženja	okruženje	Ncnsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
poboljšalo	poboljšati	Vmp-sn
zdravlje	zdravlje	Ncnsn
i	i	Cc
sigurnost	sigurnost	Ncfsa
na	na	Sl
radu	rad	Ncmsl
;	;	Z

4.	4.	Mdo
reorganizaciju	reorganizacija	Ncfsa
ustroja	ustroj	Ncmsg
i	i	Cc
djelovanja	djelovanje	Ncnsg
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
u	u	Sl
smislu	smisao	Ncmsl
integracije	integracija	Ncfsg
izvanbolničke	izvanbolnički	Agpfsgy
i	i	Cc
bolničke	bolnički	Agpfpay
službe	služba	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
postiglo	postići	Vmp-sn
optimalno	optimalan	Agpnsny
zbrinjavanje	zbrinjavanje	Ncnsn
svih	sav	Agpfpgy
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
zbog	zbog	Sg
iznenadne	iznenadan	Agpfsgy
bolesti	bolest	Ncfsg
ili	ili	Cc
pogoršanja	pogoršanje	Ncnsg
bolesti	bolest	Ncfsg
,	,	Z
ozljede	ozljeda	Ncfsg
ili	ili	Cc
otrovanja	otrovanje	Ncnsg
životno	životno	Rgp
ugrožene	ugroziti	Appfpny
.	.	Z

Horizontalno	horizontalan	Agpnsny
povezivanje	povezivanje	Ncnsn
mreže	mreža	Ncfsg
hitne	hitan	Agpfsgy
medicine	medicina	Ncfsg
s	sa	Si
objedinjenim	objediniti	Agpmpiy
hitnim	hitan	Agpmsiy
bolničkim	bolnički	Agpmsiy
prijmom	prijam	Ncmsi
racionalizirat	racionalizirati	Vmn
će	htjeti	Var3s
poslovanje	poslovanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
