arterio-venske	arterio-venski	Agpfpny
fistule	fistula	Ncfpn
pluća	pluća	Ncnpg
(	(	Z
I71-I72	I71-I72	Mds
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
63.	63.	Mdo
*	*	Z
Ateroskleroza	ateroskleroza	Ncfsn
(	(	Z
I70	I70	X
)	)	Z
,	,	Z
Bolesti	bolest	Ncfpn
perifernih	periferan	Agpfpgy
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
(	(	Z
I73	I73	X
)	)	Z
,	,	Z
Kongenitalne	kongenitalan	Agpfpny
(	(	Z
Q27	Q27	X
,	,	Z
Q28	Q28	X
)	)	Z
i	i	Cc
aneurizme	aneurizma	Ncfpn
perifernih	periferan	Agpfpgy
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
(	(	Z
I77-I79	I77-I79	X
)	)	Z
1.	1.	Mdo
Lakši	lak	Agcmsayn
stupanj	stupanj	Ncmsan
OS	OS	Npmsan
4	4	Mdc
4	4	Mdc
3,4	3,4	Mdc
3,4	3,4	Mdc
3,4	3,4	Mdc
2.	2.	Mdo
Teži	težak	Agcmsayn
stupanj	stupanj	Ncmsan
OS	OS	Npmsan
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
64.	64.	Mdo
*	*	Z
Bolesti	bolest	Ncfpn
vena	vena	Ncfpg
,	,	Z
limfnih	limfni	Agpfpgy
žila	žila	Ncfpg
i	i	Cc
čvorova	čvor	Ncmpg
1.	1.	Mdo
Proširene	proširiti	Appfpny
vene	vena	Ncfpn
na	na	Sl
potkoljenicama	potkoljenica	Ncfpl
,	,	Z
flebitis	flebiti	Ncmsl
,	,	Z
tromboflebitis	tromboflebitis	Ncmsn
(	(	Z
I80	I80	X
,	,	Z
I83	I83	Mds
)	)	Z
N	N	Y
4	4	Mdc
4	4	Mdc
3,4	3,4	Mdc
3,4	3,4	Mdc
3,4	3,4	Mdc
2.	2.	Mdo
Proširene	proširiti	Appfpny
vene	vena	Ncfpn
s	sa	Si
varikozitetima	varikozitet	Ncmpi
na	na	Sl
kolateralama	kolaterala	Ncfpl
,	,	Z
veni	vena	Ncfsl
saphaeni	saphaen	Ncfsg
magni	magna	Ncfsl
,	,	Z
pigmentacija	pigmentacija	Ncfsn
kože	koža	Ncfsg
oko	oko	Sg
gležnja	gležanj	Ncmsg
,	,	Z
kronični	kroničan	Agpmpny
edemi	edem	Ncmpn
potkoljenice	potkoljenica	Ncfsg
,	,	Z
ulcus		Agsmsayn
cruris	cruris	Agpmsayn
varicosum	varicosum	Ncmsan
,	,	Z
tromboza	tromboza	Ncmsn
dubokih	dubok	Agpfpgy
vena	vena	Ncfpg
i	i	Cc
druge	drugi	Mlofpn
promjene	promjena	Ncfpa
(	(	Z
I81	I81	X
,	,	Z
I82	I82	Mds
)	)	Z
N	N	Y
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
65.	65.	Mdo
*	*	Z
Hemoroidi	hemoroid	Ncmpn
(	(	Z
I84	I84	X
)	)	Z
1.	1.	Mdo
Nakon	nakon	Sg
liječenja	liječenje	Ncnsg
,	,	Z
bez	bez	Sg
posljedica	posljedica	Ncfpg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
Nakon	nakon	Sg
liječenja	liječenje	Ncnsg
,	,	Z
s	sa	Si
posljedicama	posljedica	Ncfpi
(	(	Z
insuficijencija	insuficijencija	Ncfsn
funkcije	funkcija	Ncfsg
analnog	analni	Agpmsgy
sfinktera	sfinkter	Ncmsg
)	)	Z
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
66.	66.	Mdo
*	*	Z
Varikokela	Varikokel	Npmsg
(	(	Z
I86	I86	X
.	.	Z
1	1	Mdc
)	)	Z
OS	os	Ncfsn
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
1,4	1,4	Mdc
67.	67.	Mdo
*	*	Z
1.	1.	Mdo
Elefantijaza	elefantijaza	Ncfsn
i	i	Cc
drugi	drugi	Mlompn
kronični	kroničan	Agpmpny
edemi	edem	Ncmpn
ekstremiteta	ekstremitet	Ncmpg
s	sa	Si
izraženim	izraziti	Agpfpiy
funkcionalnim	funkcionalan	Agpfpiy
smetnjama	smetnja	Ncfpi
(	(	Z
I89	I89	X
)	)	Z
N	N	Y
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
2.	2.	Mdo
Ostale	ostali	Agpfpny
bolesti	bolest	Ncfpn
cirkulacijskog	cirkulacijski	Agpmsgy
sustava	sustav	Ncmsg
(	(	Z
I85-I99	I85-I99	Mds
)	)	Z
OS	os	Ncfsn
1,4	1,4	Mdc
1,4	1,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
X.	X.	Y
BOLESTI	bolest	Ncfsg
DIŠNOG	dišni	Agpmsgy
SUSTAVA	sustav	Ncmsg
(	(	Z
J00-J99	J00-J99	Mds
)	)	Z
68.	68.	Mdo

Akutna	akutan	Agpfsny
respiratorna	respiratoran	Agpfsny
bolest	bolest	Ncfsn
1.	1.	Mdo
Akutni	akutan	Agpmpny
i	i	Cc
recidivirajući	recidivirajući	Agpmsny
akutni	akutan	Agpmsny
bronhitis	bronhitis	Ncmsn
i	i	Cc
druge	drugi	Mlofpn
bolesti	bolest	Ncfpn
(	(	Z
J00-J22	J00-J22	Mds
)	)	Z
OS	os	Ncfsn
#	#	Z
#	#	Z
#	#	Z
#	#	Z
#	#	Z
2.	2.	Mdo
Apces	apce	Agpnpgy
pluća	pluća	Ncnpg
,	,	Z
teži	težiti	Vmr3s
oblici	oblik	Ncmpn
upale	upala	Ncfsg
pluća	pluća	Ncnpg
,	,	Z
plućnih	plućni	Agpfpgy
ovojnica	ovojnica	Ncfpg
i	i	Cc
medijastinuma	medijastinum	Agpfsny
s	sa	Si
izljevom	izljev	Ncmsi
(	(	Z
J85	J85	X
,	,	Z
J86	J86	X
,	,	Z
J90-J94	J90-J94	Mds
)	)	Z
OS	os	Ncfsn
#	#	Z
#	#	Z
#	#	Z
#	#	Z
#	#	Z
69.	69.	Mdo
*	*	Z
Kronične	kroničan	Agpfpny
bolesti	bolest	Ncfpn
i	i	Cc
posljedice	posljedica	Ncfsg
kroničnih	kroničan	Agpfpgy
bolesti	bolest	Ncfpg
dišnih	dišni	Agpmpgy
putova	put	Ncmpg
i	i	Cc
pluća	pluća	Ncnpg
netuberkuloznog	netuberkulozan	Agpnsgy
porijekla	porijeklo	Ncnsg
,	,	Z
Kronični	kroničan	Agpmsny
bronhitis	bronhitis	Ncmsn
(	(	Z
J40-J44	J40-J44	Mds
,	,	Z
J60-J70	J60-J70	Mds
)	)	Z
1.	1.	Mdo
Bez	bez	Sg
oštećenja	oštećenje	Ncnsg
funkcije	funkcija	Ncfsg
pluća	pluća	Ncnsg
i	i	Cc
oštećenja	oštećenje	Ncnsg
lakšeg	lak	Agcmsgy
stupnja	stupanj	Ncmsg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
S	sa	Si
oštećenjem	oštećenje	Ncnsi
funkcije	funkcija	Ncfsg
pluća	pluća	Ncnsg
(	(	Z
srednja	srednji	Agpfsny
i	i	Cc
teža	teža	Ncfsn
oštećenja	oštećenje	Ncnsg
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
3.	3.	Mdo
Emfizem	emfizem	Ncmsn
pluća	pluća	Ncnpg
(	(	Z
I43	I43	Mds
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
4.	4.	Mdo
Bolesti	bolest	Ncfsg
pluća	pluća	Ncnsg
izazvane	izazvati	Appfpny
anorganskom	anorganski	Agpfsiy
i	i	Cc
organskom	organski	Agpfsiy
prašinom	prašina	Ncfsi
(	(	Z
J60-J67	J60-J67	Mds
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
5.	5.	Mdo
Cistična	cističan	Agpfsny
fibroza	fibroza	Ncfsn
pluća	pluća	Ncnpg
(	(	Z
J98	J98	Mds
.	.	Z
4	4	Mdc
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
70.	70.	Mdo
*	*	Z
Sistemske	sistemski	Agpfpny
,	,	Z
imunitetne	imunitetni	Agpfsgy
i	i	Cc
granulomatozne	granulomatozan	Agpfpay
bolesti	bolest	Ncfpa
pluća	pluća	Ncnpg
:	:	Z
1.	1.	Mdo
Sarkoidoza	sarkoidoza	Ncfsn
(	(	Z
D86	D86	X
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
2.	2.	Mdo
Wegenerova	wegenerov	Aspmsgn
granulomatoza	granulomatoz	Ncmsg
,	,	Z
histiocistozis	histiocistozis	Pq3n-a
x	X	X
,	,	Z
idiopatska	idiopatski	Agpfsny
hemosideroza	hemosideroza	Ncfsn
,	,	Z
progresivne	progresivan	Agpfpny
granulomatoze	granulomatoza	Ncfpn
i	i	Cc
bolesti	bolest	Ncfsl
krvnih	krvni	Agpfpgy
žila	žila	Ncfpg
pluća	pluća	Ncnpg
i	i	Cc
drugih	drugi	Mlompg
sustava	sustav	Ncmpg
(	(	Z
M31	M31	Mds
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
3.	3.	Mdo
Difuzna	difuzan	Agpfsny
intersticijska	intersticijski	Agpfsny
fibroza	fibroza	Ncfsn
pluća	pluća	Ncnsg
i	i	Cc
plućne	plućni	Agpfsgy
lokalizacije	lokalizacija	Ncfsg
bolesti	bolest	Ncfsg
vezivnog	vezivni	Agpnsgy
tkiva	tkivo	Ncnsg
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
71.	71.	Mdo
*	*	Z
Astma	astma	Ncfsn
(	(	Z
J45	J45	X
,	,	Z
J46	J46	X
,	,	Z
J82	J82	X
)	)	Z
1.	1.	Mdo
Lakši	lak	Agcmsayn
oblik	oblik	Ncmsan
OS	OS	Npmsn
1	1	Mdc
1,3	1,3	Mdc
3	3	Mdc
3	3	Mdc
3	3	Mdc
2.	2.	Mdo
Teži	težak	Agcmpny
oblici	oblik	Ncmpn
OS	OS	Npmsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
72.	72.	Mdo
*	*	Z
Kronični	kroničan	Agpmsny
rinitis	rinitis	Ncmsn
,	,	Z
nazofaringitis	nazofaringitis	Ncmsn
i	i	Cc
faringitis	faringitis	Ncmsan
,	,	Z
tonzilitis	tonzilitis	Ncmsn
i	i	Cc
druge	drugi	Mlofpn
bolesti	bolest	Ncfpn
(	(	Z
J-30-J31	J-30-J31	Qr
,	,	Z
J35-J39	J35-J39	Mds
,	,	Z
J95-J99	J95-J99	Mdm
)	)	Z
U	u	Sl
,	,	Z
OS	OS	Npmsn
1,3	1,3	Mdc
,	,	Z
4	4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
1,3,4	1,3,4	Mdc
73.	73.	Mdo

Kronične	kroničan	Agpfpny
bolesti	bolest	Ncfpn
sinusa	sinus	Ncmpg
grkljana	grkljan	Ncmpg
i	i	Cc
dušnika	dušnik	Ncmpg
(	(	Z
J32	J32	X
,	,	Z
J37	J37	Mds
)	)	Z
U	u	Sl
,	,	Z
OS	os	Ncfsn
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
74.	74.	Mdo

Polyposis	Polyposis	Xf
nasi	nasi	Xf
juvenalis	juvenalis	Xf
deformans-Woakes	deformans-Woakes	Xf
(	(	Z
J33	J33	X
.	.	Z
1	1	Mdc
)	)	Z
OS	os	Ncfsn
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
1	1	Mdc
75.	75.	Mdo

Kongenitalni	kongenitalan	Agpmpny
i	i	Cc
stečeni	steći	Appmpny
defekti	defekt	Ncmpn
nosa	nos	Ncmsg
(	(	Z
Q30	Q30	X
)	)	Z
1.	1.	Mdo
Rinoskolioza	rinoskolioz	Ncmsg
i	i	Cc
rinolordoza	rinolordoz	Agpfsny
bez	bez	Sg
funkcionalnih	funkcionalan	Agpmpgy
poremećaja	poremećaj	Ncmpg
OS	OS	Npmsn
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
4	4	Mdc
2.	2.	Mdo
Rinoskolioza	Rinoskolioz	Npmsg
,	,	Z
rinolordoza	rinolordozo	Ncmpn
s	sa	Si
funkcionalnim	funkcionalan	Agpmpiy
poremećajima	poremećaj	Ncmpi
,	,	Z
veliki	velik	Agpmsny
estetski	estetski	Agpmsny
defekti	defekt	Ncmpn
nosa	nos	Ncmsg
ili	ili	Cc
potpun	potpun	Agpmsann
nedostatak	nedostatak	Ncmsan
nosa	nos	Ncmsg
OS	os	Ncfsn
1	1	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
1,3	1,3	Mdc
76.	76.	Mdo
*	*	Z
Mane	mana	Ncfsg
i	i	Cc
posljedice	posljedica	Ncfpa
ozljeda	ozljeda	Ncfpg
i	i	Cc
bolesti	bolest	Ncfsg
