jamstava	jamstvo	Ncnpg
,	,	Z
otpisa	otpis	Ncmsg
dugova	dug	Ncmpg
ili	ili	Cc
pretvaranja	pretvaranje	Ncnsg
potraživanja	potraživanje	Ncnsg
u	u	Sa
kapital	kapital	Ncmsan
.	.	Z

Navedene	naveden	Agpfpay
mjere	mjera	Ncfpa
i	i	Cc
dužnosti	dužnost	Ncfsg
davatelja	davatelj	Ncmpg
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
kao	kao	Cs
i	i	Cc
ovlasti	ovlast	Ncfsl
Ministarstva	ministarstvo	Ncnsg
financija	financije	Ncfpg
,	,	Z
trebale	trebati	Vmp-pf
bi	biti	Vaa3p
osigurati	osigurati	Vmn
uspostavu	uspostava	Ncfsa
jedinstvenog	jedinstven	Agpmsgy
sustava	sustav	Ncmsg
planiranja	planiranje	Ncnsg
,	,	Z
dodjele	dodjela	Ncfsg
i	i	Cc
uspješne	uspješan	Agpfsgy
provedbe	provedba	Ncfsg
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
,	,	Z
vođenih	voditi	Appmpgy
konciznom	koncizan	Agpfsiy
i	i	Cc
gospodarskom	gospodarski	Agpmsly
rastu	rast	Ncmsl
usmjerenom	usmjeriti	Agpfsiy
politikom	politika	Ncfsi
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
,	,	Z
te	te	Cc
učinkovitošću	učinkovitost	Ncfsi
kao	kao	Cs
osnovnim	osnovan	Agpnsiy
načelom	načelo	Ncnsi
.	.	Z

