pravo	prav	Agpnsny
na	na	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
područje	područje	Ncnsn
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
hrvatskih	hrvatski	Agpmpgy
državljana	državljanin	Ncmpg
.	.	Z

Učenje	učenje	Ncnsn
hrvatskog	hrvatski	Agpmsgy
jezika	jezik	Ncmsg
,	,	Z
povijesti	povijest	Ncfsg
i	i	Cc
kulture	kultura	Ncfsg

Članak	članak	Ncmsn
74.	74.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
obvezan	obvezati	Appmsnn
je	biti	Var3s
pohađati	pohađati	Agpmsny
tečaj	tečaj	Ncmsn
hrvatskog	hrvatski	Agpmsgy
jezika	jezik	Ncmsg
,	,	Z
povijesti	povijest	Ncfsg
i	i	Cc
kulture	kultura	Ncfsg
radi	radi	Sg
uključivanja	uključivanje	Ncnsg
u	u	Sa
hrvatsko	hrvatski	Agpnsay
društvo	društvo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
neispunjenja	neispunjenje	Ncnsg
obveze	obveza	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
nadoknadit	nadoknaditi	Vmn
će	htjeti	Var3s
troškove	trošak	Ncmpa
tečaja	tečaj	Ncmsg
ministarstvu	ministarstvo	Ncnsd
nadležnom	nadležan	Agpfsiy
za	za	Sa
obrazovanje	obrazovanje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
aktivnosti	aktivnost	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
isplaćuju	isplaćivati	Vmr3p
se	sebe	Px--sa
iz	iz	Sg
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
s	sa	Sg
pozicije	pozicija	Ncfsg
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpnsgy
za	za	Sa
poslove	posao	Ncmpa
obrazovanja	obrazovanje	Ncnsg
.	.	Z

Isprave	isprava	Ncfpn

Članak	članak	Ncmsn
75.	75.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Azilant	azilant	Ncmsn
i	i	Cc
stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
dozvole	dozvola	Ncfsg
boravka	boravak	Ncmsg
u	u	Sl
policijskoj	policijski	Agpfsly
upravi	uprava	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
policijskoj	policijski	Agpfsly
postaji	postaja	Ncfsl
prema	prema	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dozvola	dozvola	Ncfsn
boravka	boravak	Ncmsg
azilantu	azilant	Ncmsd
izdaje	izdaja	Ncfsg
se	sebe	Px--sa
na	na	Sa
vrijeme	vrijeme	Ncnsa
od	od	Sg
