osnovano	osnovati	Appnsny
osporava	osporavati	Vmr3s
i	i	Cc
prigovor	prigovor	Ncmsn
tužitelja	tužitelj	Ncmsg
vezan	vezan	Agpmsnn
uz	uz	Sa
sklapanje	sklapanje	Ncnsa
predmetnoga	predmetni	Agpmsgy
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
.	.	Z

Pri	pri	Sl
nespornim	nesporan	Agpfply
činjenicama	činjenica	Ncfpl
da	da	Cs
je	biti	Var3s
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
tužitelju	tužitelj	Ncmsd
dostavila	dostaviti	Vmp-sf
obavijest	obavijest	Ncfsn
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
zasnivanje	zasnivanje	Ncnsa
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
,	,	Z
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
ožujka	ožujak	Ncmsg
do	do	Sg
prosinca	prosinac	Ncmsg
2011.	2011.	Mdo
uredno	uredno	Rgp
podmirivao	podmirivati	Vmp-sm
račune	račun	Ncmpa
,	,	Z
te	te	Cc
da	da	Cs
u	u	Sl
tom	taj	Pd-nsl
razdoblju	razdoblje	Ncnsl
ni	ni	Qo
na	na	Sa
koji	koji	Pi-msan
način	način	Ncmsan
nije	biti	Var3s
osporavao	osporavati	Vmp-sm
postojanje	postojanje	Ncnsa
ugovora	ugovor	Ncmsg
,	,	Z
čak	čak	Qo
i	i	Qo
pod	pod	Ncmsan
pretpostavkom	pretpostavka	Ncfsi
na	na	Sa
tuženik	tuženik	Ncmsan
nije	biti	Var3s
osobno	osobno	Rgp
potpisao	potpisati	Vmp-sm
pretplatnički	pretplatnički	Agpmsayn
ugovor	ugovor	Ncmsan
taj	taj	Pd-msn
se	sebe	Px--sa
ugovor	ugovor	Ncmsn
može	moći	Vmr3s
smatrati	smatrati	Vmn
sklopljenim	sklopiti	Appfpiy
sukladno	sukladno	Rgp
normama	norma	Ncfpi
članka	članak	Ncmsg
252.	252.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
članka	članak	Ncmsg
262.	262.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
obveznim	obvezan	Agpmply
odnosima	odnos	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
35/05	35/05	Mdc
,	,	Z
41/08	41/08	Mdc
i	i	Cc
125/11	125/11	Mdc
)	)	Z
.	.	Z

Pored	pored	Sg
toga	taj	Pd-nsg
,	,	Z
prihvaćanje	prihvaćanje	Ncnsn
tužiteljeva	tužiteljev	Ncmpg
stajališta	stajalište	Ncnsg
,	,	Z
prema	prema	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
pravna	pravni	Agpfsny
egzistencija	egzistencija	Ncfsn
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
–	–	Z
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
zahtjeva	zahtjev	Ncmpg
za	za	Sa
čije	čiji	Agpnsay
sklapanje	sklapanje	Ncnsa
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
obaviješten	obavijestiti	Appmsnn
te	te	Cc
koji	koji	Pi-msn
ugovor	ugovor	Ncmsn
je	biti	Var3s
uredno	uredan	Agpnsny
i	i	Cc
bez	bez	Sg
osporavanja	osporavanje	Ncnsg
njegova	njegov	Ps3nsg
postojanja	postojanje	Ncnsg
ispunjavan	ispunjavati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
operatora	operator	Ncmpg
i	i	Cc
korisnika	korisnik	Ncmpg
–	–	Z
naknadno	naknadan	Agpnsny
(	(	Z
tj.	tj.	Y
tek	tek	Qo
slijedom	slijed	Ncmsi
nezadovoljstva	nezadovoljstvo	Ncnsg
korisnika	korisnik	Ncmpg
svotom	svota	Ncfsi
naknade	naknada	Ncfsg
za	za	Sa
pružene	pružiti	Agpfpay
usluge	usluga	Ncfpa
iskazanom	iskazati	Ncmsan
na	na	Sl
nekom	neki	Pi-msl
od	od	Sg
mjesečnih	mjesečan	Agpmpgy
računa	račun	Ncmpg
)	)	Z
može	moći	Vmr3s
dovesti	dovesti	Vmn
u	u	Sa
pitanje	pitanje	Ncnsa
osporavanjem	osporavanje	Ncnsi
potpisa	potpis	Ncmsg
korisnika	korisnik	Ncmpg
na	na	Sl
ugovoru	ugovor	Ncmsl
,	,	Z
otvorilo	otvoriti	Vmp-sn
bi	biti	Vaa3s
prostor	prostor	Ncmsan
zlouporabama	zlouporaba	Ncfpl
protivnima	protivan	Agpfpiy
svrsi	svrha	Ncfsl
odredaba	odredba	Ncfpg
ZEK-a	ZEK	Npmsg
kojima	koji	Pi-mpd
je	biti	Var3s
uređena	urediti	Appfsny
zaštita	zaštita	Ncfsn
prava	pravo	Ncnpg
krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
usluga	usluga	Ncfpg
,	,	Z
protivnima	protivan	Sl
načelu	načelo	Ncnsl
nediskriminacije	nediskriminacija	Ncfsg
u	u	Sl
rješavanju	rješavanje	Ncnsl
sporova	spor	Ncmpg
od	od	Sg
strane	strana	Ncfsg
tuženika	tuženik	Ncmpg
(	(	Z
čl.	čl.	Y
51.	51.	Mdo
st.	st.	Y
3.	3.	Mdo
ZEK-a	zek-	Ncmsg
)	)	Z
dovođenjem	dovođenje	Ncnsi
ostalih	ostali	Agpmpgy
krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
usluga	usluga	Ncfpg
u	u	Sa
neopravdano	neopravdano	Rgp
nepovoljniji	nepovoljan	Agcmsayn
položaj	položaj	Ncmsan
,	,	Z
te	te	Cc
protivnima	protivan	Agpnply
načelima	načelo	Ncnpl
savjesnosti	savjesnost	Ncfsg
i	i	Cc
poštenja	poštenje	Ncnsg
,	,	Z
zabrane	zabrana	Ncfsg
zlouporabe	zlouporaba	Ncfsg
prava	pravo	Ncnsg
,	,	Z
te	te	Cc
dužnosti	dužnost	Ncfsg
ispunjenja	ispunjenje	Ncnsg
obveze	obveza	Ncfsg
(	(	Z
čl.	čl.	Y
4.	4.	Mdo
,	,	Z
čl.	čl.	Y
6.	6.	Mdo
i	i	Cc
čl.	čl.	Y
9.	9.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
obveznim	obvezan	Agpmply
odnosima	odnos	Ncmpl
)	)	Z
.	.	Z

Sukladno	sukladno	Rgp
prethodnom	prethodan	Agpmsly
,	,	Z
osporena	osporiti	Appfsny
odluka	odluka	Ncfsn
tuženika	tuženik	Ncmpg
ocjenjuje	ocjenjivati	Vmr3s
se	sebe	Px--sa
zakonitom	zakonit	Agpfsiy
.	.	Z

Trebalo	trebati	Vmp-sn
je	biti	Var3s
stoga	stoga	Rgp
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
57.	57.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
