uglavnom	uglavnom	Rgp
ne	ne	Qz
izlazi	izlaziti	Vmr3s
ranije	rano	Rgc
s	sa	Sg
posla	posao	Ncmsg
i	i	Cc
ne	ne	Qz
izbiva	izbivati	Vmr3s
bez	bez	Sg
opravdanog	opravdati	Agpmsgy
razloga	razlog	Ncmsg
u	u	Sa
vrijeme	vrijeme	Ncnsa
posla	posao	Ncmsg
,	,	Z

c	C	Npmsn
)	)	Z
–	–	Z
ZADOVOLJAVAJUĆE	zadovoljavajući	Agpnsny
ODGOVORAN	odgovoran	Agpmsnn
–	–	Z
ponekad	ponekad	Rgp
kasni	kasniti	Vmr3s
na	na	Sa
posao	posao	Ncmsan
i	i	Cc
izlazi	izlaziti	Vmr3s
ranije	rano	Rgc
s	sa	Sg
posla	posao	Ncmsg
,	,	Z
te	te	Cc
ponekad	ponekad	Rgp
izbiva	izbivati	Vmr3s
u	u	Sa
vrijeme	vrijeme	Ncnsa
posla	posao	Ncmsg
bez	bez	Sg
dozvole	dozvola	Ncfsg
nadređenog	nadrediti	Appmsgy
radnika	radnik	Ncmpg
,	,	Z

d	d	Npmsn
)	)	Z
–	–	Z
NEDOVOLJNO	nedovoljno	Rgp
ODGOVORAN	odgovoran	Agpmsnn
–	–	Z
često	često	Rgp
kasni	kasniti	Vmr3s
na	na	Sa
posao	posao	Ncmsan
i	i	Cc
izlazi	izlaziti	Vmr3s
ranije	rano	Rgc
s	sa	Sg
posla	posao	Ncmsg
,	,	Z
te	te	Cc
bez	bez	Sg
opravdanog	opravdati	Agpmsgy
razloga	razlog	Ncmsg
često	često	Rgp
izbiva	izbivati	Vmr3s
u	u	Sa
vrijeme	vrijeme	Ncnsa
posla	posao	Ncmsg
.	.	Z

2.	2.	Mdo
NAČIN	način	Ncmsan
PROVOĐENJA	provođenje	Ncnsg
OCJENJIVANJA	ocjenjivanje	Ncnsg

Članak	članak	Ncmsn
8.	8.	Mdo

Rad	rad	Ncmsn
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
i	i	Cc
ravnatelja	ravnatelj	Ncmpg
ocjenjuje	ocjenjivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
kriterijima	kriterij	Ncmpl
iz	iz	Sg
članaka	članak	Ncmpg
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
zaokruživanjem	zaokruživanje	Ncnsi
oznake	oznaka	Ncfsg
ispred	ispred	Sg
odgovarajuće	odgovarajući	Agpfsgy
ocjene	ocjena	Ncfsg
za	za	Sa
pojedino	pojedini	Agpnsay
mjerilo	mjerilo	Ncnsa
,	,	Z
na	na	Sl
obrascu	obrazac	Ncmsl
OSR-1	OSR-	Npmsl
,	,	Z
koji	koji	Pi-msn
čini	činiti	Vmr3s
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Svakoj	svaki	Pi-fsl
ocjeni	ocjena	Ncfsl
određuje	određivati	Vmr3s
se	sebe	Px--sa
broj	broj	Ncmsn
bodova	bod	Ncmpg
prema	prema	Sl
mjerilima	mjerilo	Ncnpl
iz	iz	Sg
svih	sav	Agpfpgy
točaka	točka	Ncfpg
pod	pod	Si
slovnom	slovni	Agpfsiy
oznakom	oznaka	Ncfsi
,	,	Z
i	i	Cc
to	taj	Pd-nsn
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

»	»	Z
a	a	Cc
)	)	Z
«	«	Z
–	–	Z
određuje	određivati	Vmr3s
se	sebe	Px--sa
8	8	Mdc
bodova	bod	Ncmpg
,	,	Z

»	»	Z
b	b	X
)	)	Z
«	«	Z
–	–	Z
određuje	određivati	Vmr3s
se	sebe	Px--sa
6	6	Mdc
bodova	bod	Ncmpg
,	,	Z

»	»	Z
c	C	X
)	)	Z
«	«	Z
–	–	Z
određuje	određivati	Vmr3s
se	sebe	Px--sa
3	3	Mdc
boda	bod	Ncmsg
,	,	Z

»	»	Z
d	d	X
)	)	Z
«	«	Z
–	–	Z
određuje	određivati	Vmr3s
se	sebe	Px--sa
1	1	Mdc
bod	bod	Ncmsn
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

Ocjena	ocjena	Ncfsn
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
dobiva	dobivati	Vmr3s
se	sebe	Px--sa
zbrojem	zbroj	Ncmsi
broja	broj	Ncmsg
bodova	bod	Ncmpg
kojima	koji	Pi-mpi
je	biti	Var3s
njihov	njihov	Ps3msn
rad	rad	Ncmsn
ocijenjen	ocijeniti	Appmsnn
prema	prema	Sl
kriterijima	kriterij	Ncmpl
iz	iz	Sg
članaka	članak	Ncmpg
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
,	,	Z
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
i	i	Cc
to	taj	Pd-nsn
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

1.	1.	Mdo
»	»	Z
naročito	naročito	Rgp
uspješan	uspješan	Agpmsnn
«	«	Z
,	,	Z
ako	ako	Cs
je	biti	Var3s
zbroj	zbroj	Ncmsn
postignutih	postignuti	Agpmpgy
bodova	bod	Ncmpg
55	55	Mdc
do	do	Sg
64	64	Mdc
,	,	Z

2.	2.	Mdo
»	»	Z
uspješan	uspješan	Agpmsnn
«	«	Z
,	,	Z
ako	ako	Cs
je	biti	Var3s
zbroj	zbroj	Ncmsn
postignutih	postignuti	Agpmpgy
bodova	bod	Ncmpg
45	45	Mdc
do	do	Sg
54	54	Mdc
,	,	Z

3.	3.	Mdo
»	»	Z
zadovoljava	zadovoljavati	Vmr3s
«	«	Z
,	,	Z
ako	ako	Cs
je	biti	Var3s
zbroj	zbroj	Ncmsn
postignutih	postignuti	Agpmpgy
bodova	bod	Ncmpg
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
30	30	Mdc
do	do	Sg
44	44	Mdc
,	,	Z

4.	4.	Mdo
»	»	Z
ne	ne	Qz
zadovoljava	zadovoljavati	Vmr3s
«	«	Z
,	,	Z
ako	ako	Cs
je	biti	Var3s
zbroj	zbroj	Ncmsn
postignutih	postignuti	Agpmpgy
bodova	bod	Ncmpg
do	do	Sg
30.	30.	Mdo

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Stručni	stručan	Agpmpny
radnici	radnik	Ncmpn
i	i	Cc
ravnatelj	ravnatelj	Ncmsn
ocjenjuju	ocjenjivati	Vmr3p
se	sebe	Px--sa
svake	svaki	Pi-fsg
godine	godina	Ncfsg
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
ožujka	ožujak	Ncmsg
za	za	Sa
prethodnu	prethodan	Agpfsay
kalendarsku	kalendarski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Stručni	stručan	Agpmpny
radnici	radnik	Ncmpn
i	i	Cc
ravnatelj	ravnatelj	Ncmsn
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
prethodnoj	prethodan	Agpfsly
kalendarskoj	kalendarski	Agpfsly
godini	godina	Ncfsl
radili	raditi	Vmp-pm
manje	malo	Rgc
od	od	Sg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
razloge	razlog	Ncmpa
,	,	Z
ne	ne	Qz
ocjenjuju	ocjenjivati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Rad	rad	Ncmsan
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
ustanove	ustanova	Ncfsg
ocjenjuje	ocjenjivati	Vmr3s
ravnatelj	ravnatelj	Ncmsn
na	na	Sa
prijedlog	prijedlog	Ncmsan
neposredno	neposredno	Rgp
nadređenog	nadrediti	Agpmsgy
voditelja	voditelj	Ncmsg
ustrojbene	ustrojbeni	Agpfsgy
jedinice	jedinica	Ncfsg
,	,	Z
a	a	Cc
rad	rad	Ncmsan
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
ustanove	ustanova	Ncfsg
koja	koji	Pi-fsn
nema	nemati	Vmr3s
ustrojbenih	ustrojbeni	Agpfpgy
jedinica	jedinica	Ncfpg
i	i	Cc
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
voditelji	voditelj	Ncmpn
ustrojbenih	ustrojbeni	Agpfpgy
jedinica	jedinica	Ncfpg
,	,	Z
ocjenjuje	ocjenjivati	Vmr3s
ravnatelj	ravnatelj	Ncmsn
na	na	Sa
vlastiti	vlastit	Agpmsayn
prijedlog	prijedlog	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Rad	rad	Ncmsn
ravnatelja	ravnatelj	Ncmsg
ocjenjuje	ocjenjivati	Vmr3s
Upravno	upravan	Agpnsny
vijeće	vijeće	Ncnsn
ustanove	ustanova	Ncfsg
,	,	Z
na	na	Sa
prijedlog	prijedlog	Ncmsan
Stručnog	stručan	Agpnsgy
vijeća	vijeće	Ncnsg
ustanove	ustanova	Ncfsg
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadređeni	nadrediti	Agpmsny
voditelj	voditelj	Ncmsn
ustrojbene	ustrojbeni	Agpfsgy
jedinice	jedinica	Ncfsg
ustanove	ustanova	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
ravnatelj	ravnatelj	Ncmsn
ustanove	ustanova	Ncfsg
u	u	Sl
slučajevima	slučaj	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
11.	11.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
s	sa	Si
prijedlogom	prijedlog	Ncmsi
ocjene	ocjena	Ncfsg
upoznati	upoznati	Vmn
stručnog	stručan	Agpmsayn
