svom	svoj	Px-msl
izboru	izbor	Ncmsl

Zahtjev	zahtjev	Ncmsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
:	:	Z

a	a	Cc
)	)	Z
naziv	naziv	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
proizvođača	proizvođač	Ncmsg
,	,	Z
a	a	Cc
ako	ako	Cs
je	biti	Var3s
zahtjev	zahtjev	Ncmsn
podnio	podnijeti	Vmp-sm
njegov	njegov	Ps3msn
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
i	i	Cc
naziv	naziv	Ncmsn
i	i	Cc
adresu	adresa	Ncfsa
zastupnika	zastupnik	Ncmpg
;	;	Z

b	b	Mds
)	)	Z
pisanu	pisan	Agpfsay
izjavu	izjava	Ncfsa
kojom	koji	Pi-fsi
izjavljuje	izjavljivati	Vmr3s
da	da	Cs
isti	isti	Agpmsny
zahtjev	zahtjev	Ncmsn
nije	biti	Var3s
podnesen	podnijeti	Appmsnn
niti	niti	Qo
jednom	jednom	Rgp
drugom	drugi	Mlofsi
prijavljenom	prijaviti	Agpnsly
tijelu	tijelo	Ncnsl
;	;	Z

c	C	Npmsn
)	)	Z
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

Tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn
omogućuje	omogućivati	Vmr3s
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
proizvoda	proizvod	Ncmpg
s	sa	Si
primjenjivim	primjenjiv	Agpmpiy
zahtjevima	zahtjev	Ncmpi
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
uključuje	uključivati	Vmr3s
odgovarajuću	odgovarajući	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
procjenu	procjena	Ncfsa
rizika	rizik	Ncmsg
.	.	Z

Tehničkom	tehnički	Agpfsiy
dokumentacijom	dokumentacija	Ncfsi
određuju	određivati	Vmr3p
se	sebe	Px--sa
primjenjivi	primjenjiv	Agpmpny
zahtjevi	zahtjev	Ncmpn
i	i	Cc
ona	on	Pp3fsn
obuhvaća	obuhvaćati	Vmr3s
,	,	Z
u	u	Sl
mjeri	mjera	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
to	taj	Pd-nsn
bitno	bitan	Agpnsny
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
,	,	Z
projektiranje	projektiranje	Ncnsa
,	,	Z
proizvodnju	proizvodnja	Ncfsa
i	i	Cc
rad	rad	Ncmsan
proizvoda	proizvod	Ncmpg
.	.	Z

Tehnička	tehnički	Agpfsny
dokumentacija	dokumentacija	Ncfsn
sadrži	sadržati	Vmr3s
barem	barem	Rgp
sljedeće	sljedeći	Agpmpay
elemente	element	Ncmpa
:	:	Z

–	–	Z
opći	opći	Agpmsny
opis	opis	Ncmsn
proizvoda	proizvod	Ncmpg
;	;	Z

–	i	Agpnsay
idejno	idejni	Agpnsay
rješenje	rješenje	Ncnsa
i	i	Cc
nacrte	nacrt	Ncmpa
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
te	te	Cc
sheme	shema	Ncfpa
sastavnica	sastavnica	Ncfpg
,	,	Z
podsklopova	podsklop	Ncmpg
,	,	Z
strujnih	strujni	Agpmpgy
krugova	krug	Ncmpg
itd	itd	Ncfpg
;	;	Z

–	i	Agpmpay
opise	opis	Ncmpa
i	i	Cc
objašnjenja	objašnjenje	Ncnsg
potrebne	potreban	Agpfpny
za	za	Sa
razumijevanje	razumijevanje	Ncnsa
tih	taj	Pd-mpg
nacrta	nacrt	Ncmpg
,	,	Z
shema	shema	Ncfpg
i	i	Cc
rada	rad	Ncmsg
proizvoda	proizvod	Ncmpg
;	;	Z

–	–	Agpmsny
popis	popis	Ncmsn
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
djelomično	djelomično	Rgp
primijenjenih	primijeniti	Agpfpgy
usklađenih	uskladiti	Agpfpgy
normi	norma	Ncfpg
na	na	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
poziva	pozivati	Vmr3s
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
objavljene	objaviti	Appfpny
u	u	Sl
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
te	te	Cc
opise	opis	Ncmpa
rješenja	rješenje	Ncnpg
usvojenih	usvojen	Agpmpgy
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
udovoljilo	udovoljiti	Vmp-sn
bitnim	bitan	Agpmpiy
zdravstvenim	zdravstven	Agpmpiy
i	i	Cc
sigurnosnim	sigurnosni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
uključujući	uključivati	Rr
i	i	Cc
popis	popis	Ncmsan
drugih	drugi	Mlofpg
odgovarajućih	odgovarajući	Agpfpgy
primijenjenih	primijeniti	Agpfpgy
tehničkih	tehnički	Agpfpgy
specifikacija	specifikacija	Ncfpg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
kad	kad	Cs
te	taj	Pd-fsg
usklađene	uskladiti	Appfpny
norme	norma	Ncfpn
nisu	biti	Var3p
bile	biti	Vap-pf
primijenjene	primijeniti	Appfpny
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
djelomično	djelomično	Rgp
primijenjenih	primijeniti	Appfpgy
usklađenih	uskladiti	Agpfpgy
normi	norma	Ncfpg
,	,	Z
u	u	Sl
tehničkoj	tehnički	Agpfsly
se	sebe	Px--sa
dokumentaciji	dokumentacija	Ncfsl
navode	navoditi	Vmr3p
dijelovi	dio	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
primijenjeni	primijeniti	Appmpny
;	;	Z

–	i	Agpmpay
rezultate	rezultat	Ncmpa
projektnih	projektni	Agpmpgy
proračuna	proračun	Ncmpg
,	,	Z
obavljenih	obaviti	Appnpgy
ispitivanja	ispitivanje	Ncnsg
itd.	itd.	Y
,	,	Z

–	i	Agpmpay
izvještaje	izvještaj	Ncmpa
o	o	Sl
ispitivanju	ispitivanje	Ncnsl
.	.	Z

d	d	Qr
)	)	Z
reprezentativne	reprezentativan	Agpmpay
uzorke	uzorak	Ncmpa
za	za	Sa
predviđenu	predvidjeti	Agpfsay
proizvodnju	proizvodnja	Ncfsa
.	.	Z

Prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
može	moći	Vmr3s
zahtijevati	zahtijevati	Vmn
i	i	Qo
druge	drugi	Mlompa
uzorke	uzorak	Ncmpa
ako	ako	Cs
su	biti	Var3p
oni	onaj	Pd-mpn
potrebni	potreban	Agpmpny
za	za	Sa
provođenje	provođenje	Ncnsa
programa	program	Ncmsg
ispitivanja	ispitivanje	Ncnsg
.	.	Z

4.	4.	Mdo
