glavnoj	glavni	Agpfsly
raspravi	rasprava	Ncfsl
radi	radi	Sg
saslušanja	saslušanje	Ncnsg
je	biti	Var3s
moguće	moguć	Agpnsny
i	i	Cc
ne	ne	Qz
bi	biti	Vaa3s
bitno	bitno	Rgp
ugrozilo	ugroziti	Vmp-sn
njegovo	njegov	Ps3nsn
opće	opći	Agpnsny
zdravstveno	zdravstven	Agpnsay
stanje	stanje	Ncnsa
.	.	Z

8.	8.	Mdo
S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
veliki	velik	Agpmsayn
otpor	otpor	Ncmsan
i	i	Cc
negativizam	negativizam	Ncmsn
koji	koji	Pi-msan
majka	majka	Ncfsn
ispitanika	ispitanik	Ncmpg
,	,	Z
privremena	privremen	Agpfsny
skrbnica	skrbnica	Ncfsn
pokazuje	pokazivati	Vmr3s
prema	prema	Sl
ovom	ovaj	Pd-msl
postupku	postupak	Ncmsl
,	,	Z
preporučam	preporučati	Vmr1s
Sudu	sud	Ncmsd
razmotriti	razmotriti	Vmn
mogućnost	mogućnost	Ncfsa
eventualne	eventualan	Agpfsgy
odgode	odgoda	Ncfsg
cijelog	cijel	Agpmsgy
postupka	postupak	Ncmsg
dok	dok	Cs
ga	on	Pp3msa
sama	sam	Agpfsny
obitelj	obitelj	Ncfsn
ispitanika	ispitanik	Ncmpg
zatraži	zatražiti	Vmr3s
,	,	Z
jer	jer	Cs
u	u	Sl
ovom	ovaj	Pd-msl
trenutku	trenutak	Ncmsl
djeluje	djelovati	Vmr3s
kao	kao	Cs
okidač	okidač	Ncmsn
za	za	Sa
gotovo	gotovo	Rgp
paranoidnu	paranoidan	Agpfsay
reakciju	reakcija	Ncfsa
sa	sa	Si
vjerojatno	vjerojatno	Rgp
štetnim	štetan	Agpfpiy
posljedicama	posljedica	Ncfpi
za	za	Sa
sve	sav	Agpmpay
sudionike	sudionik	Ncmpa
.	.	Z
«	«	Z

3.4.	3.4.	Mdo
1.	1.	Mdo
ožujka	ožujak	Ncmsg
2013.	2013.	Mdo
upućen	uputiti	Appmsnn
je	biti	Var3s
podnesak	podnesak	Ncmsn
prvostupanjskom	prvostupanjski	Agpmsly
sudu	sud	Ncmsl
kojim	koji	Pi-msi
ga	on	Pp3msa
se	sebe	Px--sa
obavještava	obavještavati	Vmr3s
da	da	Cs
je	biti	Var3s
L.	L.	Y
K.	K.	Y
,	,	Z
odvjetnica	odvjetnica	Ncfsn
u	u	Sl
I.	I.	Mro
G.	G.	Y
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
punomoćnica	punomoćnica	Ncfsn
)	)	Z
opunomoćena	opunomoćiti	Appfsny
za	za	Sa
zastupanje	zastupanje	Ncnsa
podnositelja	podnositelj	Ncmpg
u	u	Sl
ovom	ovaj	Pd-msl
konkretnom	konkretan	Agpmsly
predmetu	predmet	Ncmsl
,	,	Z
uz	uz	Sa
koji	koji	Pi-msn
je	biti	Var3s
dostavljena	dostaviti	Appfsny
potpisana	potpisati	Appfsny
punomoć	punomoć	Ncfsn
podnositelja	podnositelj	Ncmpg
.	.	Z

Punomoćnica	Punomoćnica	Npfsn
je	biti	Var3s
tom	taj	Pd-fsi
prilikom	prilika	Ncfsi
zamolila	zamoliti	Vmp-sf
prvostupanjski	prvostupanjski	Agpmsayn
sud	sud	Ncmsan
za	za	Sa
odgodu	odgoda	Ncfsa
ročišta	ročište	Ncnsg
zakazanog	zakazan	Agpnsgy
za	za	Sa
5.	5.	Mdo
ožujka	ožujak	Ncmsg
2013.	2013.	Mdo
,	,	Z
jer	jer	Cs
je	biti	Var3s
istog	isti	Agpmsgy
dana	dan	Ncmsg
morala	morati	Vmp-sf
prisustvovati	prisustvovati	Vmn
raspravi	rasprava	Ncfsl
pred	pred	Si
Općinskim	općinski	Agpmsiy
kaznenim	kazneni	Agpmsiy
sudom	sud	Ncmsi
u	u	Sl
Z.	za	Ncfsl

3.5.	3.5.	Mdo

Prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
nije	biti	Var3s
uvažio	uvažiti	Vmp-sm
zamolbu	zamolba	Ncfsa
punomoćnice	punomoćnica	Ncfsg
te	te	Cc
je	biti	Var3s
5.	5.	Mdo
ožujka	ožujak	Ncmsg
2013.	2013.	Mdo
održao	održati	Vmp-sm
drugo	drugi	Mlonsa
ročište	ročište	Ncnsa
na	na	Sa
koje	koji	Pi-nsa
je	biti	Var3s
pristupio	pristupiti	Vmp-sm
punomoćnik	punomoćnik	Ncmsn
predlagatelja	predlagatelj	Ncmpg
,	,	Z
dok	dok	Cs
za	za	Sa
podnositelja	podnositelj	Ncmsay
nitko	nitko	Pi3m-n
,	,	Z
iako	iako	Cs
je	biti	Var3s
dostava	dostava	Ncfsn
bila	biti	Vap-sf
uredno	uredno	Rgp
iskazana	iskazati	Appfsny
.	.	Z

Na	na	Sl
ročištu	ročište	Ncnsl
je	biti	Var3s
pročitan	pročitati	Appmsnn
podnesak	podnesak	Ncmsn
punomoćnice	punomoćnica	Ncfsg
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
odbio	odbiti	Vmp-sm
uz	uz	Sa
obrazloženje	obrazloženje	Ncnsa
kako	kako	Cs
nema	nemati	Vmr3s
urednu	uredan	Agpfsay
punomoć	punomoć	Ncfsa
za	za	Sa
zastupanje	zastupanje	Ncnsa
podnositelja	podnositelj	Ncmpg
.	.	Z

3.6.	3.6.	Mdo

Sljedeći	sljedeći	Agpmsayn
dan	dan	Ncmsan
,	,	Z
telefonskim	telefonski	Agpmsiy
putem	put	Ncmsi
,	,	Z
uređujući	uređivati	Agpmsny
sudac	sudac	Ncmsn
izvijestio	izvijestiti	Vmp-sm
je	biti	Var3s
punomoćnicu	punomoćnica	Ncfsa
podnositelja	podnositelj	Ncmpg
da	da	Cs
nije	biti	Var3s
priznao	priznati	Vmp-sm
dostavljenu	dostaviti	Appfsay
punomoć	punomoć	Ncfsa
jer	jer	Cs
je	biti	Var3s
podnositelju	podnositelj	Ncmsd
imenovana	imenovati	Appfsny
posebna	poseban	Agpfsny
skrbnica	skrbnica	Ncfsn
za	za	Sa
zastupanje	zastupanje	Ncnsa
,	,	Z
stoga	stoga	Cc
podnositelj	podnositelj	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
izdati	izdati	Vmn
punomoć	punomoć	Ncfsa
i	i	Cc
odvjetniku	odvjetnik	Ncmsl
za	za	Sa
zastupanje	zastupanje	Ncnsa
.	.	Z

Iz	iz	Sg
tog	taj	Pd-msg
razloga	razlog	Ncmsg
rasprava	rasprava	Ncfsn
nije	biti	Var3s
odgođena	odgoditi	Appfsny
niti	niti	Cc
je	biti	Var3s
dostavljana	dostavljati	Appfsny
odluka	odluka	Ncfsn
punomoćnici	punomoćnik	Ncmpn
