spašavanje	spašavanje	Ncnsn
–	–	Z
sustav	sustav	Ncmsn
ZEOS	ZEOS	Npmsn
)	)	Z
,	,	Z
za	za	Sa
20/100	20/100	Mdc
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
;	;	Z

–	–	Z
bruto	bruto	Agpmsnn
domaći	domaći	Agpmsny
proizvod	proizvod	Ncmsn
(	(	Z
BDP	BDP	Npmsn
)	)	Z
po	po	Sl
stanovniku	stanovnik	Ncmsl
na	na	Sl
području	područje	Ncnsl
osnivača	osnivač	Ncmpg
i	i	Cc
suosnivača	suosnivač	Ncmpg
(	(	Z
preračunato	preračunati	Agpnsny
temeljem	temelj	Ncmsi
podataka	podatak	Ncmpg
na	na	Sl
razini	razina	Ncfsl
županija	županija	Ncfpg
)	)	Z
,	,	Z
za	za	Sa
5/100	5/100	Mdc
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
;	;	Z

–	–	Agpmsny
ukupni	ukupan	Agpmsny
broj	broj	Ncmsn
intervencija	intervencija	Ncfpg
javne	javan	Agpfsgy
vatrogasne	vatrogasan	Agpfsgy
postrojbe	postrojba	Ncfsg
(	(	Z
prosjek	prosjek	Ncmsn
2005.	2005.	Mdo
–	a	Ncfsg
2009.	2009.	Mdo
)	)	Z
na	na	Sl
području	područje	Ncnsl
osnivača	osnivač	Ncmpg
i	i	Cc
suosnivača	suosnivač	Ncmpg
,	,	Z
za	za	Sa
10/100	10/100	Mdc
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
;	;	Z

–	–	Agpmsnn
korigirani	korigirati	Agpmsny
broj	broj	Ncmsn
intervencija	intervencija	Ncfpg
javne	javan	Agpfsgy
vatrogasne	vatrogasan	Agpfsgy
postrojbe	postrojba	Ncfsg
(	(	Z
na	na	Sl
temelju	temelj	Ncmsl
prosjeka	prosjeka	Ncfsn
2005.	2005.	Mdo
–	a	Ncfsg
2009.	2009.	Mdo
)	)	Z
na	na	Sl
području	područje	Ncnsl
osnivača	osnivač	Ncmpg
i	i	Cc
suosnivača	suosnivač	Ncmpg
,	,	Z
za	za	Sa
5/100	5/100	Mdc
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
;	;	Z

–	–	Agpmsny
dosadašnji	dosadašnji	Agpmsny
prosjek	prosjek	Ncmsn
financiranja	financiranje	Ncnsg
(	(	Z
2003.	2003.	Mdo
–	–	Z
2015.	2015.	Mdo
,	,	Z
za	za	Sa
sve	sav	Agpfpay
godine	godina	Ncfpa
preračunato	preračunati	Appnsny
prema	prema	Sl
aktualnom	aktualan	Agpmsly
